pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
772894,397,2596.06,182,5,8
773386,1381,3765.79,187,5,8
772944,615,4635.0,190,5,8
772671,1628,848.69,198,5,8
772985,98,3935.77,198,5,8
772866,148,6226.46,213,5,8
772983,886,2676.43,234,5,8
772991,617,2821.13,244,5,8
772892,1192,6260.7,260,5,8
773002,615,7856.71,300,5,8
773369,337,5193.07,332,5,8
772978,584,7212.85,372,5,8
772999,1429,10556.39,386,5,8
772920,808,11592.72,502,5,8
773536,1237,5784.34,535,5,8
773001,615,10345.2,590,5,8
773535,897,11433.06,730,5,8
772992,617,8330.3,750,5,8
772885,325,19625.21,1034,5,8
773003,615,19029.98,1039,5,8
772988,98,15878.43,1045,5,8
772975,584,29036.58,1791,5,8
773336,1237,70265.92,4070,5,8
772874,71,1793.72,8,5,8
772904,679,2440.07,32,5,8
772912,238,2099.34,33,5,8
772903,432,1596.8,37,5,8
772921,140,1253.02,38,5,8
773356,371,1725.73,44,5,8
772900,337,1698.91,47,5,8
773353,1492,1574.9,48,5,8
772908,1192,1356.38,49,5,8
773333,329,1581.43,51,5,8
772917,432,1505.42,51,5,8
772910,728,1344.69,58,5,8
772952,432,2362.32,61,5,8
772936,227,1419.3,65,5,8
773331,1237,1894.69,66,5,8
772926,1306,2182.19,67,5,8
772923,1369,1932.31,67,5,8
772925,1542,2334.34,68,5,8
773328,1237,2530.69,69,5,8
772916,738,2505.9,70,5,8
772938,1306,2082.28,72,5,8
772887,40,2406.59,74,5,8
773549,1192,1573.09,75,5,8
772913,974,1818.64,78,5,8
773420,179,1502.59,87,5,8
773481,615,2333.61,94,5,8
772898,11,1348.32,95,5,8
773440,1170,1389.01,97,5,8
773372,1381,3502.39,98,5,8
772915,1192,1216.18,99,5,8
773428,708,3172.78,106,5,8
773330,1237,2540.59,112,5,8
773541,179,1223.93,112,5,8
773393,1303,1527.65,113,5,8
773341,1492,3493.51,114,5,8
772989,98,1845.11,126,5,8
772902,1210,1791.14,135,5,8
773335,329,2630.94,137,5,8
773540,179,3128.0,141,5,8
773464,708,3998.36,141,5,8
773359,1306,1446.0,153,5,8
773361,1492,5351.16,157,5,8
773487,356,2057.04,169,5,8
772935,128,4856.57,172,5,8
773463,290,2104.12,179,5,8
772945,177,4052.57,189,5,8
773538,897,5053.09,189,5,8
772657,1628,2194.14,221,5,8
773587,1278,2496.0,226,5,8
772906,481,6205.28,232,5,8
772911,1369,2184.55,261,5,8
773430,173,15112.95,282,5,8
773537,808,3367.89,296,5,8
772901,844,5245.57,303,5,8
773387,110,5089.89,307,5,8
773484,282,6932.29,327,5,8
773345,1492,9231.26,462,5,8
772878,40,14567.76,578,5,8
773339,329,12779.69,637,5,8
773332,329,12756.12,811,5,8
772980,584,16836.73,922,5,8
773329,329,13833.99,946,5,8
773598,1220,15382.97,1121,5,8
772982,886,18465.55,1284,5,8
773351,1492,30308.15,1343,5,8
773354,1364,39550.44,2171,5,8
773362,371,32288.41,2224,5,8
773338,30,58797.3,2931,5,8
773539,897,1213.49,12,6,7
773514,738,1257.49,27,6,7
773503,171,1204.11,29,6,7
773358,1306,1311.69,30,6,7
773511,137,1402.75,31,6,7
773509,953,1755.81,31,6,7
773506,579,1228.9,34,6,7
773504,227,1950.11,36,6,7
773478,37,1211.4,38,6,7
773517,201,1145.02,38,6,7
