pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
771994,745,2144.0,281,1,7
772578,37,9311.72,605,1,7
772607,1152,1247.4,113,1,7
772675,1628,272.58,29,1,7
772599,686,3123.62,211,1,7
772584,129,2253.64,142,1,7
772606,183,2237.19,85,1,7
772594,615,1253.81,50,1,7
772554,1305,10550.62,581,1,7
771995,745,10326.52,622,1,7
772570,1306,10101.74,773,1,7
772548,1638,11700.52,1431,1,7
772647,178,7491.86,480,1,7
768980,1506,2124.0,11,1,7
772547,1638,36616.69,4880,1,7
768978,1506,2124.0,11,1,7
772559,932,49254.58,2790,1,7
772613,1634,2288.34,90,2,6
772601,227,1372.53,73,2,6
772612,154,2707.48,127,2,6
772579,129,1510.44,132,2,6
772617,234,4023.4,314,2,6
768934,1506,3398.4,18,2,6
768970,1506,2124.0,11,2,6
772676,1628,160.0,20,2,6
771996,745,5416.8,806,2,6
772199,745,3859.2,505,2,6
768993,1506,1699.2,9,2,6
768992,1506,1699.2,9,2,6
768931,1506,3398.4,18,2,6
772562,932,9301.41,627,2,6
772551,1305,60318.45,3583,2,6
772603,1465,2208.83,74,2,6
772580,129,6811.28,330,2,6
768986,1506,2124.0,11,2,6
768982,1506,2124.0,11,2,6
772557,808,1660.55,112,2,6
772590,1237,10433.4,1399,2,6
768969,1506,2124.0,11,2,6
772575,684,13717.4,851,2,6
768979,1506,2124.0,11,2,6
772564,21,21243.3,2393,2,6
772569,282,22746.73,1343,2,6
768960,1506,2124.0,11,2,6
772563,710,41296.19,2409,2,6
768985,1506,2124.0,11,2,6
768928,1506,3398.4,18,2,6
772861,183,3158.71,46,2,6
772577,498,7314.51,746,2,6
772572,164,1246.0,61,2,6
772602,728,7217.67,355,2,6
772567,957,1518.83,59,2,6
772646,1637,2155.55,86,2,6
772648,615,12130.73,748,2,6
772552,110,55345.86,3038,2,6
772605,89,2814.38,164,2,6
772624,891,3857.4,180,2,6
768984,1506,2124.0,11,2,6
772571,312,10836.37,377,2,6
772582,1306,2110.92,234,2,6
768930,1506,3398.4,18,2,6
772574,1306,3187.6,226,2,6
772550,1638,84414.2,12472,3,2
772560,8,15379.1,923,3,2
772862,183,32745.13,3662,3,2
772581,1303,7926.18,500,3,2
768991,1506,1699.2,9,3,2
772632,897,2728.49,273,3,2
772553,110,61153.34,4078,3,2
772616,870,3027.91,244,3,2
772615,82,2441.89,156,3,2
768977,1506,2124.0,11,3,2
772583,1306,8476.13,420,3,2
768987,1506,2124.0,11,4,4
768929,1506,3398.4,18,4,4
772623,419,1801.95,57,4,4
768926,1506,3398.4,18,4,4
772634,897,1452.6,155,4,4
772645,957,33225.67,2032,4,4
768925,1506,3398.4,18,4,4
772576,1485,13507.26,470,4,4
772626,932,1192.06,65,4,4
772561,8,1524.65,134,4,4
772592,1558,25557.67,1419,4,4
772644,932,2601.78,257,4,4
