pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
772550,1638,84414.2,12472,1,2
772547,1638,36616.69,4880,1,2
772553,110,61153.34,4078,1,2
772549,1638,23562.92,3361,1,2
772555,8,63460.75,4071,2,8
772862,183,32745.13,3662,2,8
772551,1305,60318.45,3583,2,8
772552,110,55345.86,3038,2,8
772559,932,49254.58,2790,2,8
772563,710,41296.19,2409,2,8
772564,21,21243.3,2393,2,8
772635,808,36578.03,2140,3,4
772645,957,33225.67,2032,3,4
772548,1638,11700.52,1431,3,4
772592,1558,25557.67,1419,3,4
772590,1237,10433.4,1399,3,4
772569,282,22746.73,1343,3,4
772589,1380,12773.68,975,3,4
772560,8,15379.1,923,3,4
772575,684,13717.4,851,3,4
771996,745,5416.8,806,3,4
772570,1306,10101.74,773,3,4
772648,615,12130.73,748,3,4
772577,498,7314.51,746,3,4
772556,808,10967.76,731,3,4
772598,419,15032.04,708,3,4
772562,932,9301.41,627,3,4
771995,745,10326.52,622,3,4
772578,37,9311.72,605,3,4
772554,1305,10550.62,581,3,4
772591,676,11874.04,533,3,4
772199,745,3859.2,505,3,4
772581,1303,7926.18,500,3,4
772647,178,7491.86,480,3,4
772576,1485,13507.26,470,3,4
772583,1306,8476.13,420,3,4
772571,312,10836.37,377,3,4
772602,728,7217.67,355,3,4
772580,129,6811.28,330,3,4
772617,234,4023.4,314,3,4
771994,745,2144.0,281,3,4
772632,897,2728.49,273,3,4
772568,312,6436.15,258,3,4
772644,932,2601.78,257,3,4
772587,164,3873.6,254,3,4
772616,870,3027.91,244,3,4
772582,1306,2110.92,234,3,4
772574,1306,3187.6,226,3,4
772599,686,3123.62,211,3,4
772633,897,2490.34,188,3,4
772624,891,3857.4,180,3,4
772605,89,2814.38,164,3,4
772615,82,2441.89,156,3,4
772634,897,1452.6,155,3,4
772584,129,2253.64,142,3,4
772561,8,1524.65,134,3,4
772579,129,1510.44,132,3,4
772612,154,2707.48,127,3,4
772607,1152,1247.4,113,3,4
772557,808,1660.55,112,3,4
772613,1634,2288.34,90,3,4
772646,1637,2155.55,86,3,4
772606,183,2237.19,85,3,4
772608,307,1249.83,84,3,4
772603,1465,2208.83,74,3,4
772601,227,1372.53,73,3,4
772626,932,1192.06,65,3,4
772572,164,1246.0,61,3,4
772567,957,1518.83,59,3,4
772623,419,1801.95,57,3,4
772565,957,1415.83,53,3,4
772614,213,1254.3,50,3,4
772594,615,1253.81,50,3,4
772620,470,2032.88,49,3,4
772861,183,3158.71,46,3,4
772675,1628,272.58,29,3,4
772676,1628,160.0,20,3,4
768925,1506,3398.4,18,3,4
768926,1506,3398.4,18,3,4
768927,1506,3398.4,18,3,4
768928,1506,3398.4,18,3,4
768929,1506,3398.4,18,3,4
768930,1506,3398.4,18,3,4
768931,1506,3398.4,18,3,4
768932,1506,3398.4,18,3,4
768934,1506,3398.4,18,3,4
768960,1506,2124.0,11,3,4
768967,1506,2124.0,11,3,4
768969,1506,2124.0,11,3,4
768970,1506,2124.0,11,4,5
768976,1506,2124.0,11,4,5
768977,1506,2124.0,11,4,5
768978,1506,2124.0,11,4,5
768979,1506,2124.0,11,4,5
768980,1506,2124.0,11,4,5
768981,1506,2124.0,11,4,5
