pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
772647,178,7491.86,480,1,3
772613,1634,2288.34,90,1,3
772592,1558,25557.67,1419,1,3
772624,891,3857.4,180,1,3
772591,676,11874.04,533,1,3
772569,282,22746.73,1343,1,3
772555,8,63460.75,4071,1,3
768934,1506,3398.4,18,1,3
772862,183,32745.13,3662,1,3
772572,164,1246.0,61,1,3
768982,1506,2124.0,11,1,3
772614,213,1254.3,50,1,3
772583,1306,8476.13,420,1,3
772676,1628,160.0,20,1,3
768992,1506,1699.2,9,1,3
772616,870,3027.91,244,1,3
772577,498,7314.51,746,1,3
772582,1306,2110.92,234,1,3
772556,808,10967.76,731,1,3
772601,227,1372.53,73,1,3
768980,1506,2124.0,11,1,3
768989,1506,1699.2,9,1,3
772620,470,2032.88,49,1,3
768927,1506,3398.4,18,1,3
768967,1506,2124.0,11,1,3
772635,808,36578.03,2140,1,3
772576,1485,13507.26,470,1,3
768929,1506,3398.4,18,1,3
772648,615,12130.73,748,1,3
772605,89,2814.38,164,1,3
768983,1506,2124.0,11,1,3
772617,234,4023.4,314,1,3
768932,1506,3398.4,18,1,3
772557,808,1660.55,112,1,3
772581,1303,7926.18,500,1,3
772563,710,41296.19,2409,1,3
768991,1506,1699.2,9,1,3
768969,1506,2124.0,11,1,3
772599,686,3123.62,211,1,3
772548,1638,11700.52,1431,1,3
772632,897,2728.49,273,1,3
772199,745,3859.2,505,1,3
772634,897,1452.6,155,1,3
768981,1506,2124.0,11,1,3
772565,957,1415.83,53,1,3
772608,307,1249.83,84,1,3
768960,1506,2124.0,11,1,3
768987,1506,2124.0,11,1,3
768926,1506,3398.4,18,1,3
772646,1637,2155.55,86,1,3
772644,932,2601.78,257,1,3
772552,110,55345.86,3038,2,6
772575,684,13717.4,851,2,6
768985,1506,2124.0,11,2,6
772626,932,1192.06,65,2,6
768993,1506,1699.2,9,2,6
768928,1506,3398.4,18,2,6
772607,1152,1247.4,113,2,6
772580,129,6811.28,330,2,6
768978,1506,2124.0,11,2,6
772602,728,7217.67,355,2,6
772554,1305,10550.62,581,2,6
772633,897,2490.34,188,2,6
772645,957,33225.67,2032,2,6
772571,312,10836.37,377,2,6
772623,419,1801.95,57,2,6
772561,8,1524.65,134,2,6
772594,615,1253.81,50,2,6
772579,129,1510.44,132,2,6
772675,1628,272.58,29,2,6
772568,312,6436.15,258,2,6
772615,82,2441.89,156,2,6
772578,37,9311.72,605,2,6
768931,1506,3398.4,18,2,6
768970,1506,2124.0,11,2,6
772584,129,2253.64,142,2,6
771996,745,5416.8,806,2,6
768984,1506,2124.0,11,2,6
768977,1506,2124.0,11,2,6
768930,1506,3398.4,18,2,6
772861,183,3158.71,46,2,6
772551,1305,60318.45,3583,2,6
772564,21,21243.3,2393,2,6
772562,932,9301.41,627,2,6
768925,1506,3398.4,18,2,6
772560,8,15379.1,923,2,6
772547,1638,36616.69,4880,2,6
768979,1506,2124.0,11,3,5
771994,745,2144.0,281,3,5
772598,419,15032.04,708,3,5
768976,1506,2124.0,11,3,5
772567,957,1518.83,59,3,5
772559,932,49254.58,2790,3,5
772570,1306,10101.74,773,3,5
772590,1237,10433.4,1399,3,5
772589,1380,12773.68,975,3,5
772549,1638,23562.92,3361,3,5
768986,1506,2124.0,11,3,5
772587,164,3873.6,254,3,5
772606,183,2237.19,85,3,5
772574,1306,3187.6,226,3,5
772612,154,2707.48,127,3,5
771995,745,10326.52,622,3,5
772603,1465,2208.83,74,3,5
772611,1139,5020.16,184,3,5
772871,729,15410.52,1611,3,5
772950,36,269.12,28,3,5
772553,110,61153.34,4078,3,5
772659,1506,424.17,3,3,5
772955,1354,1454.78,147,3,5
772973,708,5593.16,93,3,5
772972,708,68652.4,3537,3,5
772600,154,4126.53,139,3,5
772882,129,1236.76,45,3,5
772618,1148,6442.92,370,3,5
772960,478,1511.11,81,3,5
772881,129,14835.48,1082,3,5
772622,227,5708.49,171,3,5
772886,1237,19462.2,670,3,5
772660,1506,159.83,6,3,5
772961,305,2108.61,222,3,5
772880,305,10511.03,693,3,5
772550,1638,84414.2,12472,4,7
772974,708,1847.98,52,4,7
772888,767,7921.17,483,4,7
772929,1381,3412.29,122,5,3
772971,708,197917.73,11466,5,3
772876,129,8467.35,350,5,3
772609,1385,10092.28,381,5,3
772621,7,9728.51,339,5,3
772877,529,38828.24,1974,5,3
772941,1536,2724.94,118,5,3
772610,453,8020.33,385,5,3
772625,673,8419.83,368,5,3
772883,137,12212.01,644,5,3
772604,168,6826.73,401,5,3
772619,1152,3748.21,116,5,3
772949,1620,6014.99,255,5,3
772879,767,17862.65,900,5,3
772870,1262,11441.01,622,5,3
772658,1506,28059.46,1589,5,3
772661,1506,99.57,3,5,3
772872,1492,18621.58,1157,5,3
772918,1510,6798.53,371,5,3
772978,584,7212.85,372,5,3
772890,8,1413.64,42,5,3
772999,1429,10556.39,386,5,3
772671,1628,848.69,198,5,3
772981,584,1230.33,56,5,3
772942,1642,1894.64,33,5,3
773336,1237,70265.92,4070,5,3
772932,530,2948.42,70,5,3
772894,397,2596.06,182,5,3
772953,1306,1772.45,68,5,3
772992,617,8330.3,750,5,3
773004,329,1260.32,29,5,3
772991,617,2821.13,244,5,3
772919,432,2446.33,95,5,3
772995,1278,3823.98,40,5,3
772931,679,1348.35,38,5,3
772998,432,2972.02,101,5,3
772975,584,29036.58,1791,5,3
772875,40,2254.24,71,5,3
772946,487,2141.39,83,5,3
772939,481,1228.01,31,5,3
772899,753,3313.79,87,5,3
772889,1625,2070.19,106,5,3
772866,148,6226.46,213,5,3
772909,1306,2837.61,71,5,3
772933,1210,2037.15,127,5,3
773386,1381,3765.79,187,5,3
772954,584,1256.23,45,5,3
772957,1247,1584.21,102,5,3
772924,851,2614.31,92,5,3
773536,1237,5784.34,535,5,3
772943,710,2720.99,101,5,3
772922,382,5932.54,173,5,3
772959,593,1645.47,76,5,3
772988,98,15878.43,1045,5,3
773005,615,3004.63,90,5,3
772927,891,2416.55,113,5,3
773002,615,7856.71,300,5,3
773535,897,11433.06,730,5,3
772891,1192,1612.13,131,5,3
772937,615,1354.63,77,5,3
772985,98,3935.77,198,5,3
772962,36,1832.15,27,5,3
772863,584,1332.55,53,5,3
772948,8,1105.23,15,5,3
772907,1210,2321.1,73,5,3
772930,530,1288.99,48,5,3
773000,1313,5446.75,78,5,3
