pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
772550,1638,84414.2,12472,1,3
772547,1638,36616.69,4880,1,3
772553,110,61153.34,4078,1,3
772555,8,63460.75,4071,1,3
772862,183,32745.13,3662,2,7
772551,1305,60318.45,3583,2,7
772549,1638,23562.92,3361,2,7
772552,110,55345.86,3038,2,7
772559,932,49254.58,2790,3,1
772563,710,41296.19,2409,3,1
772564,21,21243.3,2393,3,1
772635,808,36578.03,2140,3,1
772645,957,33225.67,2032,3,1
772548,1638,11700.52,1431,3,1
772592,1558,25557.67,1419,4,1
772590,1237,10433.4,1399,4,1
772569,282,22746.73,1343,4,1
772589,1380,12773.68,975,4,1
772560,8,15379.1,923,4,1
772575,684,13717.4,851,4,1
771996,745,5416.8,806,4,1
772570,1306,10101.74,773,4,1
772648,615,12130.73,748,4,1
772577,498,7314.51,746,4,1
772556,808,10967.76,731,4,1
772598,419,15032.04,708,4,1
772562,932,9301.41,627,4,1
771995,745,10326.52,622,4,1
772578,37,9311.72,605,5,3
772554,1305,10550.62,581,5,3
772591,676,11874.04,533,5,3
772199,745,3859.2,505,5,3
772581,1303,7926.18,500,5,3
772647,178,7491.86,480,5,3
772576,1485,13507.26,470,5,3
772583,1306,8476.13,420,5,3
772571,312,10836.37,377,5,3
772602,728,7217.67,355,5,3
772580,129,6811.28,330,5,3
772617,234,4023.4,314,5,3
771994,745,2144.0,281,5,3
772632,897,2728.49,273,5,3
772568,312,6436.15,258,5,3
772644,932,2601.78,257,5,3
772587,164,3873.6,254,5,3
772616,870,3027.91,244,5,3
772582,1306,2110.92,234,5,3
772574,1306,3187.6,226,5,3
772599,686,3123.62,211,5,3
772633,897,2490.34,188,5,3
772624,891,3857.4,180,5,3
772605,89,2814.38,164,5,3
772615,82,2441.89,156,5,3
772634,897,1452.6,155,5,3
772584,129,2253.64,142,5,3
772561,8,1524.65,134,5,3
772579,129,1510.44,132,5,3
772612,154,2707.48,127,5,3
772607,1152,1247.4,113,5,3
772557,808,1660.55,112,5,3
772613,1634,2288.34,90,5,3
772646,1637,2155.55,86,5,3
772606,183,2237.19,85,5,3
772608,307,1249.83,84,5,3
772603,1465,2208.83,74,5,3
772601,227,1372.53,73,5,3
772626,932,1192.06,65,5,3
772572,164,1246.0,61,5,3
772567,957,1518.83,59,5,3
772623,419,1801.95,57,5,3
772565,957,1415.83,53,5,3
772614,213,1254.3,50,5,3
772594,615,1253.81,50,5,3
772620,470,2032.88,49,5,3
772861,183,3158.71,46,5,3
772675,1628,272.58,29,5,3
772676,1628,160.0,20,5,3
768925,1506,3398.4,18,5,3
768926,1506,3398.4,18,5,3
768927,1506,3398.4,18,5,3
768928,1506,3398.4,18,5,3
768929,1506,3398.4,18,5,3
768930,1506,3398.4,18,5,3
768931,1506,3398.4,18,5,3
768932,1506,3398.4,18,5,3
768934,1506,3398.4,18,5,3
768960,1506,2124.0,11,5,3
768967,1506,2124.0,11,5,3
768969,1506,2124.0,11,5,3
768970,1506,2124.0,11,5,3
768976,1506,2124.0,11,5,3
768977,1506,2124.0,11,5,3
768978,1506,2124.0,11,5,3
768979,1506,2124.0,11,5,3
768980,1506,2124.0,11,5,3
768981,1506,2124.0,11,5,3
768982,1506,2124.0,11,5,3
768983,1506,2124.0,11,5,3
768984,1506,2124.0,11,5,3
768985,1506,2124.0,11,5,3
768986,1506,2124.0,11,5,3
768987,1506,2124.0,11,5,3
768989,1506,1699.2,9,5,3
768991,1506,1699.2,9,5,3
768992,1506,1699.2,9,5,3
768993,1506,1699.2,9,5,3
772971,708,197917.73,11466,5,3
772972,708,68652.4,3537,5,3
772877,529,38828.24,1974,5,3
772871,729,15410.52,1611,5,3
772658,1506,28059.46,1589,5,3
772872,1492,18621.58,1157,5,3
772881,129,14835.48,1082,5,3
772879,767,17862.65,900,5,3
772880,305,10511.03,693,5,3
772886,1237,19462.2,670,5,3
772883,137,12212.01,644,6,1
772870,1262,11441.01,622,6,1
772888,767,7921.17,483,6,1
772604,168,6826.73,401,6,1
772610,453,8020.33,385,6,1
772609,1385,10092.28,381,6,1
772918,1510,6798.53,371,6,1
772618,1148,6442.92,370,6,1
772625,673,8419.83,368,6,1
772876,129,8467.35,350,6,1
772621,7,9728.51,339,6,1
772949,1620,6014.99,255,6,1
772961,305,2108.61,222,6,1
772611,1139,5020.16,184,6,1
772622,227,5708.49,171,6,1
772955,1354,1454.78,147,6,1
772600,154,4126.53,139,6,1
772929,1381,3412.29,122,6,1
772941,1536,2724.94,118,6,1
772619,1152,3748.21,116,6,1
772973,708,5593.16,93,6,1
772960,478,1511.11,81,6,1
772974,708,1847.98,52,6,1
772882,129,1236.76,45,6,1
772950,36,269.12,28,6,1
772660,1506,159.83,6,6,1
772659,1506,424.17,3,6,1
772661,1506,99.57,3,6,1
773336,1237,70265.92,4070,6,1
772975,584,29036.58,1791,6,1
772988,98,15878.43,1045,6,1
773003,615,19029.98,1039,6,1
772885,325,19625.21,1034,6,1
772992,617,8330.3,750,6,1
773535,897,11433.06,730,6,1
773001,615,10345.2,590,6,1
773536,1237,5784.34,535,6,1
772920,808,11592.72,502,6,1
772999,1429,10556.39,386,6,1
772978,584,7212.85,372,6,1
773369,337,5193.07,332,7,4
773002,615,7856.71,300,7,4
772892,1192,6260.7,260,7,4
772991,617,2821.13,244,7,4
772983,886,2676.43,234,7,4
772866,148,6226.46,213,7,4
772671,1628,848.69,198,7,4
772985,98,3935.77,198,7,4
772944,615,4635.0,190,7,4
773386,1381,3765.79,187,7,4
772894,397,2596.06,182,7,4
772922,382,5932.54,173,7,4
772897,264,1666.83,136,7,4
772891,1192,1612.13,131,7,4
772933,1210,2037.15,127,7,4
772927,891,2416.55,113,7,4
772889,1625,2070.19,106,7,4
772957,1247,1584.21,102,7,4
772998,432,2972.02,101,7,4
772943,710,2720.99,101,7,4
