,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,91,21968,2017-09-01,8,14,14249.687151935483
1,2,10,24596,2017-09-01,2,3,3373.0236559139785
2,3,31,12742,2017-09-02,5,9,8651.38987311828
3,4,62,22079,2017-09-04,8,14,16112.16410784947
4,5,68,22228,2017-09-05,6,12,4977.383397849464
5,6,158,22639,2017-09-06,2,3,10008.191397849498
6,7,10,13537,2017-09-06,5,8,3312.662832258065
7,8,61,23647,2017-09-11,2,3,16104.232258064552
8,9,113,12630,2017-09-12,7,13,17466.76243634409
9,10,28,21738,2017-09-12,6,12,2281.8252903225803
10,11,9,26233,2017-09-12,3,4,5121.837634408602
11,12,127,22096,2017-09-13,8,14,22162.798253763438
12,13,12,13179,2017-09-13,7,13,3903.607035806452
13,14,37,12739,2017-09-14,1,2,5184.709677419351
14,15,41,12609,2017-09-14,7,13,8067.878635483874
15,16,14,12774,2017-09-14,5,8,3127.35976344086
16,17,17,12737,2017-09-15,5,8,5861.485322580647
17,18,14,12607,2017-09-15,1,2,2726.9247311827958
18,19,13,26992,2017-09-15,3,4,5370.554838709678
19,20,34,12663,2017-09-16,7,13,8338.541428494626
20,21,72,24593,2017-09-18,2,3,7640.193548387107
21,22,4,21883,2017-09-18,6,10,4329.505535483871
22,23,87,22768,2017-09-19,2,3,6139.946236559152
23,24,13,13496,2017-09-19,5,8,3277.4018795698935
24,25,13,23739,2017-09-19,8,14,5719.3613939784955
25,26,9,26874,2017-09-19,3,4,5241.077419354839
26,27,59,22288,2017-09-20,6,12,4133.883774193549
27,28,17,24316,2017-09-20,2,3,3438.808602150538
28,29,70,21869,2017-09-21,8,14,16941.52886989247
29,30,24,23296,2017-09-21,6,12,2155.0698494623657
30,31,64,25486,2017-09-22,3,4,10754.727956989258
31,32,23,12605,2017-09-23,7,13,7549.381650322581
32,33,47,26343,2017-09-23,3,4,5996.720430107525
33,34,26,21811,2017-09-26,6,12,4422.9851290322595
34,35,20,22101,2017-09-26,8,14,6480.193913655914
35,36,10,22838,2017-09-26,8,14,5143.05821
36,37,90,23185,2017-09-27,2,3,7329.096774193565
37,38,15,22698,2017-09-27,2,3,3197.2645161290325
38,39,37,12641,2017-09-28,7,13,9682.80791408602
39,40,9,12675,2017-09-28,7,13,3290.2513873118282
40,41,58,22860,2017-09-28,2,3,4206.774193548388
41,42,21,22150,2017-09-28,6,11,5477.014552688172
42,43,8,13461,2017-09-28,1,2,2820.4086021505377
43,44,33,24643,2017-09-29,3,4,10346.50752688174
44,45,5,13448,2017-09-30,1,2,5539.52688172043
45,46,7,26835,2017-09-30,3,4,5180.059139784946
46,47,5,12641,2017-09-30,1,1,1908.909677419355
47,48,47,13202,2017-09-30,7,13,9252.265169247314
48,49,31,12693,2017-09-30,5,9,4817.531496774192
49,50,17,13800,2017-09-30,7,13,4742.692041827958
50,51,87,23013,2017-10-02,2,3,7459.111827957007
51,52,17,24517,2017-10-02,3,4,5017.678494623654
52,53,65,12733,2017-10-03,5,9,6478.459612903228
53,54,21,24634,2017-10-03,3,4,5146.969892473117
54,55,6,13769,2017-10-03,5,7,2950.879711827957
55,56,56,22502,2017-10-04,2,3,4382.29247311828
56,57,96,24489,2017-10-05,3,4,11832.561290322607
57,58,2,12906,2017-10-06,5,8,5905.332627956988
58,59,82,22818,2017-10-06,2,3,5495.567741935491
59,60,19,23899,2017-10-06,2,3,3413.395698924732
60,61,7,23711,2017-10-06,6,11,5528.821083870968
