,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,4,23839,2017-09-01,6,10,4553.834326881721
1,2,11,29920,2017-09-01,4,6,5861.462365591398
2,3,16,12971,2017-09-01,7,13,4389.224049462366
3,4,7,22416,2017-09-02,8,14,14503.854192043013
4,5,11,29643,2017-09-06,4,6,21135.127956989298
5,6,35,21669,2017-09-06,8,14,8660.213855483873
6,7,14,12624,2017-09-08,7,13,23398.859736021506
7,8,14,12805,2017-09-09,5,9,5317.298415053763
8,9,18,21999,2017-09-11,8,14,11737.625652688175
9,10,2,13945,2017-09-12,5,9,7089.194567741937
10,11,8,24490,2017-09-12,3,4,4770.720430107527
11,12,11,12948,2017-09-12,7,13,3701.1610692473123
12,13,11,25028,2017-09-13,3,4,13784.05913978495
13,14,61,21681,2017-09-13,8,14,12517.167105268822
14,15,3,13130,2017-09-14,7,13,11302.157846344086
15,16,10,22347,2017-09-14,6,11,5128.103012903225
16,17,23,12773,2017-09-14,1,2,3090.4731182795704
17,18,6,28976,2017-09-15,4,6,9314.060215053762
18,19,6,12668,2017-09-15,7,13,2896.25534139785
19,20,14,12725,2017-09-16,1,2,6121.075268817204
20,21,6,26071,2017-09-18,3,4,6984.5311827957
21,22,14,13008,2017-09-18,1,2,2894.021505376344
22,23,11,29822,2017-09-19,4,6,9331.770967741933
23,24,12,28836,2017-09-20,4,6,12168.26129032258
24,25,65,30424,2017-09-20,4,6,7793.326881720426
25,26,9,21664,2017-09-21,6,11,8536.429243010753
26,27,12,13030,2017-09-21,5,8,3136.5986021505378
27,28,12,23795,2017-09-22,6,12,6025.3060645161295
28,29,54,29737,2017-09-22,4,6,7380.262365591396
29,30,13,22115,2017-09-22,8,14,5386.144094193548
30,31,12,22213,2017-09-23,6,12,4663.993075268817
31,32,4,25726,2017-09-25,3,4,9397.239784946236
32,33,10,28887,2017-09-26,4,6,9895.469892473116
33,34,10,12809,2017-09-26,1,2,2747.978494623656
34,35,22,21669,2017-09-27,8,14,12954.216491935487
35,36,3,23887,2017-09-28,8,14,11071.46868376344
36,37,5,22577,2017-09-28,2,3,3034.9397849462366
37,38,44,22258,2017-09-28,8,14,9330.11903247312
38,39,8,23136,2017-09-29,2,3,3730.666666666667
39,40,8,31452,2017-09-30,4,6,8810.668817204301
40,41,24,28858,2017-09-30,4,6,5940.273118279569
41,42,7,13396,2017-10-02,1,2,3668.043010752688
42,43,21,21987,2017-10-02,8,14,6655.378101397851
43,44,87,29615,2017-10-02,4,6,8017.876344086018
44,45,17,21956,2017-10-03,6,12,5200.420569892472
45,46,43,23354,2017-10-03,2,3,4472.374193548387
46,47,40,22729,2017-10-03,2,3,3676.5440860215053
47,48,51,13145,2017-10-03,1,2,4442.645161290322
48,49,13,22659,2017-10-04,8,14,6597.28146870968
49,50,74,30449,2017-10-04,4,6,8206.588172043008
50,51,43,29072,2017-10-04,4,6,6442.468817204299
51,52,7,23612,2017-10-05,2,3,4430.541935483871
52,53,17,12820,2017-10-05,7,13,4577.572955268818
53,54,5,26766,2017-10-06,3,4,10224.183870967741
54,55,17,28890,2017-10-06,4,6,5831.1505376344085
55,56,14,28985,2017-10-07,4,6,13692.697849462373
56,57,26,12836,2017-10-07,7,13,5871.916681935483
57,58,16,29813,2017-10-10,4,6,12708.444086021507
58,59,33,21731,2017-10-10,8,14,8355.064473978497
59,60,3,13419,2017-10-11,7,13,9269.33839451613
60,61,17,29334,2017-10-11,4,6,5913.7440860215065
61,62,3,23375,2017-10-13,8,14,17792.296784623657
62,63,10,21642,2017-10-13,8,14,4989.356913225807
63,64,14,24820,2017-10-14,3,4,9505.609677419354
64,65,12,22184,2017-10-16,8,14,17965.900606451614
65,66,24,12871,2017-10-16,1,2,3136.322580645161
66,67,8,23410,2017-10-17,8,14,19808.19692666667
67,68,8,12693,2017-10-17,7,13,3249.7405102150537
68,69,7,30502,2017-10-18,4,6,14253.41505376344
69,70,8,12753,2017-10-18,1,2,2683.3763440860216
70,71,16,12925,2017-10-18,7,13,4416.232576344087
71,72,39,12604,2017-10-18,5,9,4910.667047311827
72,73,5,23705,2017-10-19,6,12,2878.1332365591393
73,74,12,25523,2017-10-19,3,4,5070.4075268817205
74,75,75,28828,2017-10-19,4,6,7470.815053763437
75,76,6,22310,2017-10-20,8,14,6333.0689636559155
76,77,19,21822,2017-10-20,8,14,6319.717432903226
77,78,18,29540,2017-10-23,4,6,15987.229032258063
78,79,27,23047,2017-10-23,2,3,3418.789247311829
79,80,4,29530,2017-10-24,4,6,14489.731182795724
80,81,10,22638,2017-10-24,6,11,5385.205393548387
81,82,18,21730,2017-10-24,6,11,5156.4592
82,83,45,12628,2017-10-24,7,13,8790.00771795699
83,84,10,29291,2017-10-25,4,6,5776.712903225807
84,85,5,22551,2017-10-26,2,3,6329.85376344086
85,86,71,29986,2017-10-26,4,6,7778.259139784943
86,87,5,23651,2017-10-27,8,14,7370.702261827958
87,88,6,13605,2017-10-27,1,1,1931.1290322580649
88,89,15,12749,2017-10-27,7,13,4226.439944193549
89,90,9,23917,2017-10-28,8,14,8388.908950107525
90,91,21,21860,2017-10-28,8,14,6546.344487849464
91,92,41,13220,2017-10-28,1,2,3904.7956989247314
