,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,772550,2017-09-01,2017-09-01,2017-09-01,1,1638,2,3,84414.2,1650.7569892473118
1,772547,2017-09-01,2017-09-01,2017-09-01,1,1638,2,3,36616.69,654.8172043010753
2,772553,2017-09-01,2017-09-01,2017-09-01,1,110,2,3,61153.34,549.6086021505376
3,772549,2017-09-01,2017-09-01,2017-09-01,1,1638,2,3,23562.92,455.5505376344086
4,772555,2017-09-01,2017-09-01,2017-09-01,2,8,8,14,63460.75,796.4533844086022
5,772862,2017-09-01,2017-09-01,2017-09-01,2,183,8,14,32745.13,701.5204267741937
6,772551,2017-09-01,2017-09-01,2017-09-01,2,1305,8,14,60318.45,723.8955360215054
7,772552,2017-09-01,2017-09-01,2017-09-01,2,110,8,14,55345.86,641.084754623656
8,772559,2017-09-01,2017-09-01,2017-09-01,2,932,8,14,49254.58,598.7501886021505
9,772563,2017-09-01,2017-09-01,2017-09-01,2,710,8,14,41296.19,535.4125749462365
10,772564,2017-09-01,2017-09-01,2017-09-01,2,21,8,14,21243.3,508.7934720430108
11,772635,2017-09-01,2017-09-01,2017-09-01,3,808,4,6,36578.03,424.96774193548384
12,772645,2017-09-01,2017-09-01,2017-09-01,3,957,4,6,33225.67,404.8774193548388
13,772548,2017-09-01,2017-09-01,2017-09-01,3,1638,4,6,11700.52,293.0784946236559
14,772592,2017-09-01,2017-09-01,2017-09-01,3,1558,4,6,25557.67,290.8462365591397
15,772590,2017-09-01,2017-09-01,2017-09-01,3,1237,4,6,10433.4,287.1258064516129
16,772569,2017-09-01,2017-09-01,2017-09-01,3,282,4,6,22746.73,276.7086021505376
17,772589,2017-09-01,2017-09-01,2017-09-01,3,1380,4,6,12773.68,208.252688172043
18,772560,2017-09-01,2017-09-01,2017-09-01,3,8,4,6,15379.1,198.57956989247316
19,772575,2017-09-01,2017-09-01,2017-09-01,3,684,4,6,13717.4,185.18602150537637
