,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,32,23959,2017-09-01,6,12,2515.2630107526884
1,2,27,30320,2017-09-01,4,6,6566.69139784946
2,3,33,28814,2017-09-02,4,6,12236.710752688181
3,4,67,21925,2017-09-05,6,12,8207.438935483873
4,5,39,12821,2017-09-06,1,2,4055.7849462365584
5,6,70,21634,2017-09-06,8,14,12701.411347849467
6,7,60,24506,2017-09-06,2,3,5532.679569892482
7,8,27,13026,2017-09-08,5,9,6103.226524731183
8,9,49,22955,2017-09-11,8,14,21127.84941989248
9,10,31,23769,2017-09-12,8,14,10246.641219569892
10,11,44,12955,2017-09-12,5,9,5203.216079569895
11,12,46,24489,2017-09-12,3,4,6264.230107526878
12,13,62,22029,2017-09-13,6,12,5691.718279569895
13,14,48,21675,2017-09-13,8,14,9950.679132580648
14,15,56,29697,2017-09-14,4,6,9876.774193548397
15,16,27,29031,2017-09-15,4,6,12464.237634408613
16,17,40,30258,2017-09-18,4,6,16801.77634408604
17,18,29,22842,2017-09-19,2,3,7418.668817204307
18,19,42,29987,2017-09-19,4,6,6862.7021505376315
19,20,17,23686,2017-09-19,8,14,6276.65699204301
20,21,35,29072,2017-09-20,4,6,9637.318279569894
21,22,10,12994,2017-09-20,5,8,3255.804318279571
22,23,22,21696,2017-09-20,8,14,6514.0269584946245
23,24,47,22520,2017-09-21,2,3,8294.722580645173
24,25,36,22636,2017-09-21,2,3,4183.116129032258
25,26,25,13492,2017-09-22,1,2,5549.784946236558
26,27,28,22608,2017-09-22,6,12,2229.2735806451615
27,28,46,29103,2017-09-23,4,6,9394.705376344089
28,29,5,13754,2017-09-25,1,2,5039.053763440861
29,30,20,30041,2017-09-25,4,6,6170.9
30,31,31,23073,2017-09-26,2,3,4100.546236559139
31,32,19,25013,2017-09-26,3,4,5232.064516129033
32,33,26,13110,2017-09-27,5,9,5645.524847311826
33,34,21,12930,2017-09-27,1,2,3118.580645161291
34,35,35,28957,2017-09-27,4,6,6431.61935483871
35,36,20,12915,2017-09-27,7,13,4800.399839247313
36,37,8,21711,2017-09-27,8,14,4636.622070645161
37,38,26,12732,2017-09-28,5,9,4808.576703225806
38,39,30,25846,2017-09-28,3,4,5692.511827956989
39,40,47,25885,2017-09-28,3,4,6186.6580645161275
40,41,28,22012,2017-09-28,6,11,5560.805987096774
41,42,44,30358,2017-09-29,4,6,7917.190322580644
42,43,30,28888,2017-09-29,4,6,6280.983870967741
43,44,13,13070,2017-09-29,5,8,3270.1461397849466
44,45,30,23268,2017-09-30,2,3,6608.326881720441
45,46,19,13684,2017-09-30,5,8,3587.9599634408605
46,47,40,22526,2017-10-02,2,3,5025.169892473122
47,48,36,12632,2017-10-02,7,13,7088.8045827957
48,49,17,12825,2017-10-03,5,9,8054.506886021507
49,50,23,12775,2017-10-03,5,9,4696.171236559139
50,51,31,12696,2017-10-03,5,9,4810.435873118278
51,52,49,29074,2017-10-04,4,6,9770.87419354839
52,53,12,12646,2017-10-04,5,8,3135.494047311828
53,54,33,12708,2017-10-05,7,13,7871.016503225807
54,55,9,13309,2017-10-05,7,13,3190.2343449462364
55,56,27,24461,2017-10-06,3,4,11702.3311827957
56,57,40,23769,2017-10-06,2,3,4324.4580645161295
57,58,33,22904,2017-10-06,2,3,3769.1462365591397
58,59,49,24243,2017-10-07,2,3,6559.477419354846
59,60,25,21868,2017-10-07,8,14,7259.960744408602
60,61,19,13357,2017-10-09,5,8,3855.6030967741935
61,62,44,29993,2017-10-10,4,6,8458.554838709673
62,63,40,24359,2017-10-10,3,4,5799.69569892473
63,64,41,24363,2017-10-11,3,4,6528.36451612903
64,65,5,13550,2017-10-11,5,7,2743.937395698925
65,66,45,21750,2017-10-11,6,12,3014.8386451612896
66,67,39,21622,2017-10-13,6,12,2943.738838709678
67,68,26,29562,2017-10-13,4,6,6203.363440860214
68,69,29,25645,2017-10-13,3,4,5623.598924731183
69,70,45,22522,2017-10-16,6,12,6494.645204301071
70,71,70,21696,2017-10-16,6,12,4061.53046236559
71,72,29,13565,2017-10-17,5,9,6609.032851612904
72,73,27,21702,2017-10-17,6,12,2119.0641290322587
73,74,57,24541,2017-10-17,3,4,6448.282795698924
74,75,61,29199,2017-10-18,4,6,8104.649462365593
75,76,22,12639,2017-10-18,7,13,5178.040677419356
76,77,15,12891,2017-10-18,1,2,2887.032258064516
77,78,33,28996,2017-10-19,4,6,9729.244086021508
78,79,19,12858,2017-10-19,1,2,3060.36559139785
79,80,8,12714,2017-10-19,7,13,3197.0016159139786
80,81,39,24629,2017-10-20,3,4,11563.92043010753
