,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,772550,2017-09-01,2017-09-01,2017-09-01,1,1638,2,3,84414.2,1650.7569892473118
1,772547,2017-09-01,2017-09-01,2017-09-01,1,1638,2,3,36616.69,654.8172043010753
2,772553,2017-09-01,2017-09-01,2017-09-01,1,110,2,3,61153.34,549.6086021505376
3,772549,2017-09-01,2017-09-01,2017-09-01,1,1638,2,3,23562.92,455.5505376344086
4,772555,2017-09-01,2017-09-01,2017-09-01,2,8,2,3,63460.75,548.6903225806452
5,772862,2017-09-01,2017-09-01,2017-09-01,2,183,2,3,32745.13,495.03655913978497
6,772551,2017-09-01,2017-09-01,2017-09-01,2,1305,2,3,60318.45,484.6731182795699
7,772552,2017-09-01,2017-09-01,2017-09-01,2,110,2,3,55345.86,413.1784946236559
8,772559,2017-09-01,2017-09-01,2017-09-01,2,932,2,3,49254.58,380.6451612903226
9,772563,2017-09-01,2017-09-01,2017-09-01,2,710,2,3,41296.19,330.6645161290322
10,772564,2017-09-01,2017-09-01,2017-09-01,2,21,2,3,21243.3,328.56559139784946
11,772635,2017-09-01,2017-09-01,2017-09-01,2,808,2,3,36578.03,295.3763440860215
12,772645,2017-09-01,2017-09-01,2017-09-01,3,957,6,12,33225.67,141.03878494623655
13,772548,2017-09-01,2017-09-01,2017-09-01,3,1638,6,12,11700.52,99.2818494623656
14,772592,2017-09-01,2017-09-01,2017-09-01,3,1558,6,12,25557.67,113.81039784946236
15,772590,2017-09-01,2017-09-01,2017-09-01,3,1237,6,12,10433.4,96.9283870967742
16,772569,2017-09-01,2017-09-01,2017-09-01,3,282,6,12,22746.73,108.43433333333334
17,772589,2017-09-01,2017-09-01,2017-09-01,3,1380,6,12,12773.68,86.31449462365592
18,772560,2017-09-01,2017-09-01,2017-09-01,3,8,6,12,15379.1,87.50569892473119
