,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,4,24791,2017-09-01,2,3,3310.7333333333336
1,2,7,21946,2017-09-01,8,14,4505.910337419355
2,3,78,28811,2017-09-01,4,6,8068.161290322575
3,4,2,13440,2017-09-02,5,7,3587.839068817205
4,5,11,12988,2017-09-02,5,8,3200.754969892473
5,6,54,21606,2017-09-05,6,12,8614.256731182799
6,7,3,13012,2017-09-06,1,2,3427.05376344086
7,8,14,24719,2017-09-06,3,4,4974.609677419354
8,9,154,24314,2017-09-06,3,4,10627.240860215072
9,10,14,12624,2017-09-08,5,8,3448.077840860215
10,11,6,30890,2017-09-12,4,6,19253.21397849465
11,12,8,13159,2017-09-12,7,13,3271.397529892474
12,13,66,24405,2017-09-12,3,4,6186.143010752683
13,14,11,25028,2017-09-13,3,4,9150.36989247312
14,15,19,12735,2017-09-13,5,8,3341.248169892473
15,16,5,24359,2017-09-14,2,3,10159.718279569912
16,17,10,12854,2017-09-14,5,8,3027.7826
17,18,5,24955,2017-09-15,2,3,8835.739784946243
18,19,13,22075,2017-09-15,6,11,5228.6905462365585
19,20,6,26071,2017-09-18,3,4,11776.28602150538
20,21,11,29822,2017-09-19,4,6,12127.882795698919
21,22,8,13731,2017-09-19,7,13,3359.557158387097
22,23,6,22593,2017-09-20,8,14,11293.370751075268
23,24,15,12841,2017-09-20,7,13,4253.73470139785
24,25,55,13883,2017-09-20,1,2,4532.365591397848
25,26,7,21853,2017-09-20,8,14,4585.51592623656
26,27,4,13423,2017-09-21,5,8,3751.149260215054
27,28,23,24742,2017-09-21,3,4,5220.823655913978
28,29,42,12745,2017-09-21,5,9,5003.416520430108
29,30,8,13156,2017-09-22,1,2,4738.989247311829
30,31,13,21784,2017-09-22,8,14,5421.688953333334
31,32,48,25173,2017-09-22,3,4,6369.969892473117
32,33,58,28845,2017-09-22,4,6,7014.693548387092
33,34,4,12720,2017-09-23,5,8,3355.4511311827955
34,35,6,31313,2017-09-25,4,6,12471.26129032258
35,36,13,12729,2017-09-25,1,2,2777.52688172043
36,37,3,13104,2017-09-26,1,2,3090.021505376344
37,38,6,13906,2017-09-26,1,1,1971.909677419355
38,39,4,30246,2017-09-28,4,6,18785.248387096806
39,40,3,13348,2017-09-28,5,7,2714.43588172043
40,41,26,21677,2017-09-28,8,14,7263.692091290323
41,42,7,21722,2017-09-29,6,12,2721.1049139784946
42,43,8,31452,2017-09-30,4,6,9100.58494623656
43,44,5,13875,2017-09-30,1,1,1953.0645161290324
44,45,12,12963,2017-09-30,5,8,3215.0198408602155
45,46,20,28980,2017-10-02,4,6,7306.4731182795695
46,47,19,13034,2017-10-02,1,2,3033.4623655913974
47,48,76,22984,2017-10-02,2,3,5667.782795698927
48,49,24,24477,2017-10-03,3,4,10450.647311827955
49,50,32,13762,2017-10-03,5,9,5126.920602150538
50,51,8,12621,2017-10-03,1,2,2657.8279569892475
51,52,84,24754,2017-10-03,3,4,7210.631182795695
52,53,15,24523,2017-10-04,3,4,6575.475268817204
53,54,69,22060,2017-10-04,6,12,4019.029774193548
54,55,8,13590,2017-10-04,7,13,3350.2917808602156
55,56,16,12682,2017-10-04,7,13,4355.492468279571
56,57,6,21976,2017-10-05,8,14,12377.271440645163
57,58,15,12932,2017-10-05,7,13,4302.258927526883
58,59,4,23791,2017-10-06,8,14,18267.60128967742
59,60,10,22400,2017-10-06,6,11,5329.0826
60,61,26,22871,2017-10-06,2,3,3381.0559139784946
61,62,8,22210,2017-10-07,6,12,5260.97782795699
62,63,15,12909,2017-10-07,1,2,2901.741935483871
63,64,12,24949,2017-10-10,3,4,13348.810752688172
64,65,28,22792,2017-10-10,2,3,3386.651612903225
65,66,6,23239,2017-10-11,8,14,13220.933391075272
66,67,17,21904,2017-10-11,6,11,5355.64573763441
67,68,33,12713,2017-10-11,1,2,3185.2258064516127
68,69,3,23375,2017-10-13,8,14,10072.330491290326
69,70,10,21642,2017-10-13,8,14,4989.356913225807
70,71,10,21827,2017-10-14,8,14,14521.166411505375
71,72,15,24497,2017-10-16,3,4,10943.359139784945
72,73,88,22529,2017-10-16,2,3,5752.19139784947
73,74,9,25291,2017-10-17,3,4,6484.239784946237
74,75,25,24394,2017-10-17,3,4,5209.851612903225
75,76,4,22926,2017-10-18,8,14,18022.339817849468
76,77,20,29089,2017-10-18,4,6,5948.813978494623
77,78,28,12686,2017-10-18,5,9,4730.587320430107
78,79,2,13311,2017-10-19,1,2,5646.215053763441
79,80,4,13770,2017-10-19,5,7,2868.583292473119
80,81,11,22147,2017-10-19,6,11,5094.824922580646
81,82,13,13122,2017-10-19,7,13,4008.0036184946243
82,83,36,12693,2017-10-19,7,13,7332.611563548386
83,84,3,13464,2017-10-20,7,13,8847.83708043011
84,85,6,13832,2017-10-20,7,13,3189.453091397849
85,86,24,21803,2017-10-20,6,12,2112.5588387096777
86,87,12,22048,2017-10-23,6,12,6832.325913978497
87,88,11,13062,2017-10-23,1,2,2823.8279569892475
88,89,31,21970,2017-10-23,8,14,8083.439384516131
89,90,38,12671,2017-10-23,1,2,3191.2473118279563
90,91,3,23297,2017-10-24,2,3,8083.778494623667
91,92,7,21622,2017-10-24,6,10,4444.950075268818
92,93,15,22378,2017-10-24,8,14,5728.31117139785
93,94,6,23366,2017-10-25,6,12,4527.119096774195
94,95,30,21807,2017-10-25,6,12,2320.1814946236564
95,96,5,22551,2017-10-26,6,11,5852.353092473118
96,97,11,13166,2017-10-26,1,2,2843.956989247312
97,98,5,24289,2017-10-27,2,3,8667.991397849464
98,99,6,12967,2017-10-27,5,7,2684.703511827957
99,100,15,12749,2017-10-27,5,8,3166.8733483870974
100,101,7,13740,2017-10-28,1,2,4146.0
101,102,10,22901,2017-10-28,2,3,3150.668817204301
102,103,56,24486,2017-10-28,3,4,6331.127956989246
