NotaFiscal	DataEmissao	Peso	ValorNFs	TranspRedespacho
774298	13/09/2017	59	2964.33	1287
775816	18/09/2017	63	2354.47	66
775773	18/09/2017	1028	19540.08	213
775820	18/09/2017	112	2341.42	382
775796	18/09/2017	635	11080.2	974
775779	18/09/2017	1079	17671.25	1305
775802	18/09/2017	766	12029.04	1306
775801	18/09/2017	651	14514.92	1328
775830	18/09/2017	326	8366.96	1492
775898	19/09/2017	3125	61389.62	1506
775899	19/09/2017	533	4572.16	1506
775900	19/09/2017	418	11992.46	1506
775901	19/09/2017	16	949.96	1506
775902	19/09/2017	108	2234.44	1506
776115	19/09/2017	1140	16754.73	82
776117	19/09/2017	192	2351.48	82
776110	19/09/2017	3217	45581.66	82
776111	19/09/2017	501	8727.09	82
776113	19/09/2017	472	6987.51	82
776114	19/09/2017	67	2011.23	82
776260	19/09/2017	2535	20441.9	122
776261	19/09/2017	2535	20441.9	122
776262	19/09/2017	2535	20441.9	122
776263	19/09/2017	129	987.84	122
776265	19/09/2017	2163	55393.86	240
776116	19/09/2017	4066	75919.63	1303
776112	19/09/2017	1288	24094.68	1303
776153	19/09/2017	1755	35047.64	8
776143	19/09/2017	533	7901.59	40
776140	19/09/2017	1539	22640.29	40
776133	19/09/2017	2172	38773.37	183
776135	19/09/2017	770	12835.43	377
776136	19/09/2017	1841	31374.74	377
776137	19/09/2017	1520	30015.16	736
776138	19/09/2017	266	6184.64	736
776132	19/09/2017	790	14888.55	736
776134	19/09/2017	2204	19506.41	1381
776126	19/09/2017	396	7007.38	213
776127	19/09/2017	2357	35573.66	213
776124	19/09/2017	742	13129.54	851
776130	19/09/2017	1854	31573.81	851
776120	19/09/2017	79	1771.09	851
776141	19/09/2017	1950	36669.04	1229
776122	19/09/2017	36	2012.55	1306
776131	19/09/2017	2913	51319.65	1306
776129	19/09/2017	737	12306.38	1453
776121	19/09/2017	698	11267.1	1453
776123	19/09/2017	872	16799.54	1453
776125	19/09/2017	509	7657.68	1453
776156	19/09/2017	91	2195.65	66
776157	19/09/2017	27	1235.72	66
776172	19/09/2017	227	4823.68	66
776258	19/09/2017	846	10637.6	179
776259	19/09/2017	1973	12708	179
776109	19/09/2017	1299	12455.53	179
776170	19/09/2017	75	2359.58	234
776161	19/09/2017	113	5876.23	307
776145	19/09/2017	80	1245.49	686
776139	19/09/2017	1137	12241.38	686
776174	19/09/2017	41	1318.49	728
776176	19/09/2017	981	9129.44	813
776196	19/09/2017	180	4743.96	1112
776155	19/09/2017	97	2853.28	1192
776163	19/09/2017	158	3683.72	1192
776166	19/09/2017	861	15669.66	1192
776106	19/09/2017	211	2657.11	1509
776160	19/09/2017	1576	24248.17	1524
776105	19/09/2017	173	9020.38	1615
776271	19/09/2017	308	12215.71	1639
776278	19/09/2017	120	2042.28	329
776274	19/09/2017	798	12234.07	329
776181	19/09/2017	86	2356.24	329
776272	19/09/2017	119	2144.31	615
776183	19/09/2017	84	2545.63	819
776275	19/09/2017	558	12192.85	833
776277	19/09/2017	3591	33621.69	833
776276	19/09/2017	327	4736.65	957
775296	14/09/2017	47	1253.64	24
774310	12/09/2017	158	2031.3	317
776167	19/09/2017	1321	21183.36	59
776171	19/09/2017	161	3387.11	66
776159	19/09/2017	89	1396.29	110
776229	19/09/2017	223	6017.3	246
776173	19/09/2017	700	11213.55	478
776226	19/09/2017	51	1617.67	498
776186	19/09/2017	123	2163.57	530
776210	19/09/2017	656	12953.25	679
776148	19/09/2017	520	6224.12	686
776168	19/09/2017	1045	19243.89	906
776208	19/09/2017	296	4089.09	1285
776177	19/09/2017	572	13341.53	66
776169	19/09/2017	750	9104.14	110
776213	19/09/2017	185	3030.8	142
776193	19/09/2017	196	5910.41	154
776224	19/09/2017	71	1449.05	177
776214	19/09/2017	39	3094.98	238
776165	19/09/2017	875	16877.15	307
776225	19/09/2017	62	1971.43	328
776202	19/09/2017	150	3856.49	328
776227	19/09/2017	125	2230.02	329
776205	19/09/2017	63	1370.7	337
776216	19/09/2017	235	3181.28	353
776192	19/09/2017	79	1925.16	393
776215	19/09/2017	125	1592.64	393
776199	19/09/2017	39	1321.12	432
776209	19/09/2017	164	3004.77	453
776164	19/09/2017	242	3862.87	478
776211	19/09/2017	206	4097.53	481
776234	19/09/2017	79	1407.53	481
776221	19/09/2017	69	1821.64	481
776219	19/09/2017	54	1213.64	494
776158	19/09/2017	200	3965.62	728
776175	19/09/2017	741	11344.63	728
776220	19/09/2017	98	2866.1	744
776195	19/09/2017	477	6623.92	767
776212	19/09/2017	111	2355.76	767
776162	19/09/2017	1048	18485.21	809
776185	19/09/2017	678	9122.79	825
776198	19/09/2017	52	1322.11	841
776222	19/09/2017	770	18954.12	859
776204	19/09/2017	370	7609.44	966
776280	19/09/2017	1277	22207	1007
776200	19/09/2017	68	2339.1	1117
776191	19/09/2017	146	14085.61	1186
776233	19/09/2017	90	1708.03	1237
776207	19/09/2017	287	5660.02	1328
776217	19/09/2017	73	3279.04	1328
776201	19/09/2017	65	1231.88	1348
776152	19/09/2017	250	4738.72	1385
776151	19/09/2017	57	1370.43	1385
776232	19/09/2017	46	1513.93	1492
775934	20/09/2017	702	11676.47	1506
776333	20/09/2017	6	101.81	1506
776334	20/09/2017	32	280	1506
776255	19/09/2017	827	6643.53	49
776256	19/09/2017	1871	34872.43	49
776257	19/09/2017	10502	129659.81	49
776264	19/09/2017	3732	74896.76	646
776469	20/09/2017	2602	48084.54	530
776463	20/09/2017	2258	39653.27	891
776464	20/09/2017	1027	11662.92	1385
776466	20/09/2017	764	10898.3	1385
776467	20/09/2017	565	10494.26	1385
776468	20/09/2017	387	6306.16	1385
776465	20/09/2017	53	1362.54	1385
776536	20/09/2017	6643	138049.03	103
776537	20/09/2017	113	1935.18	103
776461	20/09/2017	5558	107601.22	838
776332	20/09/2017	143	2266.14	745
776462	20/09/2017	3127	41498.3	189
776460	20/09/2017	3020	53503.15	753
776532	20/09/2017	1071	21973	897
776533	20/09/2017	37	1226.83	897
776456	20/09/2017	1758	15135.7	1237
776455	20/09/2017	3417	27130.7	1237
775584	20/09/2017	3748	59720.85	1381
