,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,4,25501,2017-09-01,3,4,4851.261290322581
1,2,4,13644,2017-09-01,7,13,2714.4653406451616
2,3,6,13195,2017-09-01,1,1,1875.5806451612905
3,4,14,12671,2017-09-01,1,2,2828.795698924731
4,5,10,24679,2017-09-02,3,4,10076.833333333336
5,6,12,12844,2017-09-04,1,2,5021.978494623656
6,7,11,29643,2017-09-06,4,6,15743.694623655923
7,8,12,12991,2017-09-06,5,8,3266.528113978495
8,9,48,12657,2017-09-06,1,2,3694.516129032257
9,10,18,21999,2017-09-11,6,12,11920.291677419356
10,11,2,13945,2017-09-12,7,13,9390.409953118282
11,12,7,22906,2017-09-12,6,11,5248.103858064515
12,13,25,21864,2017-09-12,8,14,7184.271456881719
13,14,79,12663,2017-09-12,7,13,14190.720187419356
14,15,8,22051,2017-09-13,8,14,8167.219424946236
15,16,44,21794,2017-09-13,8,14,10024.428681612902
16,17,5,22722,2017-09-14,8,14,16526.346813440865
17,18,43,28936,2017-09-14,4,6,6387.711827956988
18,19,6,28976,2017-09-15,4,6,8508.43870967742
19,20,21,22582,2017-09-15,2,3,3290.531182795699
20,21,8,29055,2017-09-18,4,6,11342.226881720435
21,22,20,12644,2017-09-18,1,2,2953.7634408602153
22,23,9,25487,2017-09-19,3,4,7821.775268817204
23,24,7,13708,2017-09-19,7,13,3245.7190535483874
24,25,12,28836,2017-09-20,4,6,10290.273118279569
25,26,32,12675,2017-09-20,1,2,3181.1182795698924
26,27,36,25629,2017-09-20,3,4,6252.670967741937
27,28,11,24439,2017-09-21,3,4,6356.213978494623
28,29,66,28947,2017-09-21,4,6,7371.156989247311
29,30,12,23795,2017-09-22,6,12,2710.129258064516
30,31,54,29737,2017-09-22,4,6,7380.262365591396
31,32,7,13959,2017-09-22,7,13,3198.938062150538
32,33,24,28987,2017-09-23,4,6,12045.18494623656
33,34,2,13652,2017-09-25,5,9,7921.5851483870965
34,35,3,13670,2017-09-25,7,13,2503.417832688172
35,36,8,25069,2017-09-26,3,4,8807.70430107527
36,37,24,22561,2017-09-26,2,3,3289.176344086021
37,38,22,21669,2017-09-27,6,12,3092.639634408602
38,39,2,13957,2017-09-28,7,13,9338.544939462363
39,40,6,31195,2017-09-28,4,5,4180.118279569892
40,41,14,12841,2017-09-28,5,8,3170.4669741935486
41,42,6,22297,2017-09-29,8,14,10369.383322258065
42,43,3,13181,2017-09-30,1,2,5742.36559139785
43,44,4,13822,2017-09-30,1,1,1931.2387096774196
44,45,13,29110,2017-09-30,4,6,5764.548387096774
45,46,7,13853,2017-10-02,1,2,4959.161290322581
46,47,21,22643,2017-10-02,2,3,3277.920430107527
47,48,90,29274,2017-10-02,4,6,8031.334408602147
48,49,14,22930,2017-10-03,2,3,7350.7376344086015
49,50,45,21868,2017-10-03,8,14,9711.667103440861
50,51,10,12695,2017-10-03,7,13,3530.8028348387097
51,52,19,29057,2017-10-04,4,6,13459.977419354836
52,53,68,24552,2017-10-04,3,4,6972.807526881717
53,54,37,29043,2017-10-04,4,6,6397.246236559138
54,55,2,12906,2017-10-05,5,9,6313.050303225807
55,56,7,13432,2017-10-05,1,1,1922.3354838709677
56,57,67,21661,2017-10-05,6,12,3987.3679139784963
57,58,2,13851,2017-10-06,5,9,5738.2936021505375
58,59,6,21730,2017-10-06,6,10,4547.180402150538
59,60,24,28833,2017-10-06,4,6,6008.7193548387095
60,61,29,12649,2017-10-06,1,2,3158.2795698924733
61,62,4,13485,2017-10-07,1,2,5674.516129032258
62,63,19,21634,2017-10-07,8,14,6260.659610752688
63,64,10,22211,2017-10-10,8,14,22495.815615161297
64,65,11,12998,2017-10-10,7,13,3737.864174193549
65,66,20,12984,2017-10-10,1,2,3050.666666666667
66,67,3,13419,2017-10-11,5,9,8382.578322580646
67,68,11,22759,2017-10-11,2,3,3146.686021505377
68,69,62,24309,2017-10-11,3,4,6204.57634408602
