,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,15,21940,2017-09-01,8,14,5227.092848924731
1,2,46,30589,2017-09-01,4,6,7467.002150537631
2,3,37,30096,2017-09-02,4,6,12795.074193548404
3,4,64,29942,2017-09-06,4,6,20950.301075268893
4,5,64,21779,2017-09-06,6,12,3809.4733225806444
5,6,25,12730,2017-09-08,7,13,14066.695260000004
6,7,54,23552,2017-09-11,2,3,9688.522580645176
7,8,46,23033,2017-09-12,8,14,12084.26712634408
8,9,65,22555,2017-09-12,2,3,5593.443010752695
9,10,37,12648,2017-09-13,7,13,13385.178043118276
10,11,48,12975,2017-09-13,5,9,5522.404539784945
11,12,42,29068,2017-09-14,4,6,14030.291397849473
12,13,22,12899,2017-09-14,7,13,5076.8783232258065
13,14,24,24579,2017-09-14,3,4,5353.461290322579
14,15,10,13003,2017-09-15,5,8,3952.1785870967747
15,16,13,21925,2017-09-15,6,11,5015.873458064515
16,17,13,13863,2017-09-15,5,8,3328.001931182795
17,18,55,24793,2017-09-18,2,3,9927.662365591419
18,19,34,23086,2017-09-19,2,3,7691.507526881728
19,20,12,12681,2017-09-19,5,8,3055.7418430107527
20,21,27,12697,2017-09-19,1,2,3292.193548387096
21,22,25,29795,2017-09-19,4,6,6315.034408602148
22,23,17,13335,2017-09-20,5,9,8861.294946236558
23,24,16,12670,2017-09-20,5,8,3199.5466150537636
24,25,15,13661,2017-09-20,1,2,3140.7741935483873
25,26,15,13215,2017-09-20,1,2,2939.41935483871
26,27,24,29298,2017-09-20,4,6,6227.45698924731
27,28,10,12701,2017-09-21,1,2,3527.4193548387093
28,29,46,21881,2017-09-21,6,12,3060.951053763441
29,30,44,25808,2017-09-22,3,4,11076.97204301077
30,31,35,21608,2017-09-23,8,14,15820.409186451618
31,32,17,24795,2017-09-25,2,3,6720.89677419355
32,33,8,13050,2017-09-25,1,2,2752.021505376345
33,34,30,24424,2017-09-26,3,4,6849.239784946236
34,35,21,21781,2017-09-26,6,11,5415.298131182794
35,36,20,21667,2017-09-27,8,14,7218.214837956991
36,37,23,22787,2017-09-27,2,3,3636.335483870968
37,38,47,21668,2017-09-27,8,14,9626.842192473117
38,39,22,26885,2017-09-28,3,4,10266.611827956995
39,40,25,13934,2017-09-28,1,2,3394.236559139785
40,41,44,30943,2017-09-28,4,6,7049.65698924731
41,42,21,13278,2017-09-28,7,13,5248.792692365591
42,43,14,24517,2017-09-29,3,4,6329.379569892471
43,44,29,13475,2017-09-29,7,13,6420.613001290324
44,45,32,26328,2017-09-29,3,4,5853.695698924731
45,46,20,12805,2017-09-29,5,8,3348.9145913978487
46,47,42,24609,2017-09-30,3,4,8971.570967741935
47,48,50,22995,2017-10-02,2,3,7521.430107526898
48,49,46,21829,2017-10-02,8,14,10071.077682903227
49,50,40,21679,2017-10-03,6,12,2764.9332903225823
50,51,14,12732,2017-10-03,5,8,3211.6800172043013
51,52,42,28882,2017-10-04,4,6,10975.289247311834
52,53,32,24648,2017-10-05,3,4,8989.808602150533
53,54,32,12619,2017-10-05,7,13,6616.342045591397
54,55,38,24807,2017-10-06,2,3,7448.967741935497
55,56,14,13410,2017-10-06,5,8,3165.651675268817
56,57,22,22140,2017-10-06,6,11,5527.146967741935
57,58,32,22832,2017-10-06,2,3,3814.402150537634
58,59,13,13545,2017-10-07,7,13,4997.676704946237
59,60,35,21917,2017-10-07,6,12,2579.7493225806447
60,61,23,13542,2017-10-09,7,13,11360.93735258065
61,62,44,21818,2017-10-10,8,14,12048.025454623661
62,63,16,12833,2017-10-10,1,2,2935.010752688172
63,64,49,29649,2017-10-11,4,6,12198.008602150549
64,65,14,13039,2017-10-11,7,13,3976.7437621505383
65,66,42,23270,2017-10-13,2,3,7546.077419354846
66,67,36,21628,2017-10-13,6,12,2609.9668172043025
67,68,2,12682,2017-10-13,7,13,2318.0210423655913
68,69,23,13671,2017-10-13,5,8,3611.4287505376333
69,70,26,13066,2017-10-16,1,2,8584.731182795695
70,71,32,12674,2017-10-16,1,2,3534.8602150537627
71,72,37,12684,2017-10-16,1,2,3598.68817204301
72,73,3,12614,2017-10-16,1,1,1745.210752688172
73,74,38,24899,2017-10-17,3,4,8401.827956989246
74,75,57,22730,2017-10-17,6,12,3582.9448494623653
75,76,34,22748,2017-10-18,2,3,6831.264516129034
76,77,43,29411,2017-10-18,4,6,6770.420430107526
77,78,40,23547,2017-10-19,2,3,7503.135483870976
78,79,21,12774,2017-10-19,5,8,3310.2184946236557
79,80,38,28876,2017-10-19,4,6,6651.747311827956
80,81,33,22796,2017-10-20,2,3,5762.021505376348
81,82,46,22156,2017-10-20,8,14,10254.039192795703
82,83,51,21767,2017-10-23,8,14,22165.641907204303
83,84,42,22663,2017-10-23,2,3,4239.520430107527
84,85,49,21943,2017-10-23,8,14,10380.870725053765
85,86,18,22609,2017-10-24,6,12,3644.1825053763446
86,87,30,29989,2017-10-24,4,6,6394.075268817204
87,88,15,24812,2017-10-24,3,4,5017.312903225807
88,89,39,24676,2017-10-25,3,4,7896.299999999999
89,90,15,22570,2017-10-25,2,3,3319.6107526881724
90,91,28,22988,2017-10-25,2,3,3680.651612903226
91,92,20,24490,2017-10-26,3,4,10230.201075268817
92,93,15,23052,2017-10-26,8,14,5872.306242043011
93,94,31,24687,2017-10-26,3,4,5574.482795698924
94,95,42,29062,2017-10-27,4,6,11020.089247311833
95,96,27,12956,2017-10-27,5,9,4790.780535483871
96,97,37,24320,2017-10-27,3,4,5538.752688172041
97,98,31,12607,2017-10-27,7,13,6471.583081720432
98,99,61,22288,2017-10-28,8,14,16455.44862462366
