pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
768982,1506,2124.0,11,1,2
772616,870,3027.91,244,1,2
772615,82,2441.89,156,1,2
772575,684,13717.4,851,1,2
772568,312,6436.15,258,1,2
772617,234,4023.4,314,1,2
772574,1306,3187.6,226,1,2
772634,897,1452.6,155,1,2
772633,897,2490.34,188,1,2
768977,1506,2124.0,11,1,2
772598,419,15032.04,708,1,2
768930,1506,3398.4,18,1,2
768984,1506,2124.0,11,1,2
768928,1506,3398.4,18,1,2
772603,1465,2208.83,74,1,2
772580,129,6811.28,330,1,2
772565,957,1415.83,53,1,2
772583,1306,8476.13,420,1,2
768932,1506,3398.4,18,1,2
772614,213,1254.3,50,1,2
768980,1506,2124.0,11,1,2
772612,154,2707.48,127,1,2
772620,470,2032.88,49,1,2
772608,307,1249.83,84,1,2
768929,1506,3398.4,18,1,2
772572,164,1246.0,61,1,2
768979,1506,2124.0,11,1,2
772861,183,3158.71,46,1,2
772676,1628,160.0,20,1,2
768987,1506,2124.0,11,1,2
768978,1506,2124.0,11,1,2
768931,1506,3398.4,18,1,2
772548,1638,11700.52,1431,1,2
772624,891,3857.4,180,1,2
768986,1506,2124.0,11,1,2
772563,710,41296.19,2409,1,2
772591,676,11874.04,533,1,2
772626,932,1192.06,65,1,2
768970,1506,2124.0,11,1,2
772562,932,9301.41,627,1,2
771994,745,2144.0,281,1,2
772605,89,2814.38,164,1,2
772587,164,3873.6,254,1,2
772567,957,1518.83,59,1,2
768983,1506,2124.0,11,1,2
768927,1506,3398.4,18,1,2
771996,745,5416.8,806,1,2
772547,1638,36616.69,4880,1,2
768989,1506,1699.2,9,1,2
772606,183,2237.19,85,1,2
768981,1506,2124.0,11,1,2
772635,808,36578.03,2140,1,2
772607,1152,1247.4,113,1,2
772632,897,2728.49,273,1,2
772571,312,10836.37,377,1,2
772602,728,7217.67,355,1,2
772199,745,3859.2,505,1,2
772599,686,3123.62,211,1,2
772623,419,1801.95,57,1,2
772594,615,1253.81,50,1,2
772613,1634,2288.34,90,1,2
768985,1506,2124.0,11,1,2
772589,1380,12773.68,975,1,2
768934,1506,3398.4,18,1,2
772576,1485,13507.26,470,1,2
772560,8,15379.1,923,1,2
772551,1305,60318.45,3583,2,7
772579,129,1510.44,132,2,7
772645,957,33225.67,2032,2,7
772862,183,32745.13,3662,2,7
772601,227,1372.53,73,2,7
768991,1506,1699.2,9,2,7
772569,282,22746.73,1343,2,7
768926,1506,3398.4,18,2,7
768993,1506,1699.2,9,2,7
772578,37,9311.72,605,2,7
772648,615,12130.73,748,2,7
772561,8,1524.65,134,2,7
768992,1506,1699.2,9,2,7
772557,808,1660.55,112,2,7
772675,1628,272.58,29,2,7
772647,178,7491.86,480,2,7
772549,1638,23562.92,3361,3,8
772555,8,63460.75,4071,3,8
772553,110,61153.34,4078,3,8
772581,1303,7926.18,500,3,8
772564,21,21243.3,2393,3,8
772554,1305,10550.62,581,3,8
768967,1506,2124.0,11,3,8
772582,1306,2110.92,234,3,8
772559,932,49254.58,2790,3,8
772644,932,2601.78,257,3,8
768976,1506,2124.0,11,3,8
772592,1558,25557.67,1419,3,8
772584,129,2253.64,142,3,8
772556,808,10967.76,731,3,8
772570,1306,10101.74,773,3,8
768925,1506,3398.4,18,3,8
772577,498,7314.51,746,3,8
772550,1638,84414.2,12472,4,2
768960,1506,2124.0,11,4,2
768969,1506,2124.0,11,4,2
772552,110,55345.86,3038,4,2
772590,1237,10433.4,1399,4,2
772646,1637,2155.55,86,4,2
771995,745,10326.52,622,4,2
772611,1139,5020.16,184,4,2
772600,154,4126.53,139,4,2
772877,529,38828.24,1974,4,2
772880,305,10511.03,693,4,2
772661,1506,99.57,3,4,2
772971,708,197917.73,11466,4,2
772879,767,17862.65,900,4,2
