,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,93,24818,2017-09-01,3,4,8243.692473118275
1,2,8,21746,2017-09-01,6,11,5038.041075268818
2,3,34,23473,2017-09-02,2,3,6374.266666666677
3,4,164,29327,2017-09-06,4,6,28525.734408602304
4,5,138,30097,2017-09-12,4,6,33192.63978494639
5,6,49,22530,2017-09-13,2,3,8622.916129032277
6,7,70,12772,2017-09-13,5,9,5569.65526236559
7,8,25,26010,2017-09-13,3,4,5510.462365591398
8,9,86,22283,2017-09-14,6,12,5389.224688172042
9,10,8,13356,2017-09-14,1,2,2800.0860215053767
10,11,14,12704,2017-09-15,7,13,5787.705754516128
11,12,22,13622,2017-09-15,5,8,3511.077369892473
12,13,5,13270,2017-09-15,1,1,1871.0967741935485
13,14,45,22690,2017-09-16,2,3,7008.180645161299
14,15,64,12948,2017-09-18,7,13,11045.221253333337
15,16,26,12617,2017-09-19,5,9,8803.194898924736
16,17,52,24818,2017-09-19,3,4,6037.8516129032205
17,18,23,22308,2017-09-19,8,14,6937.6960819354845
18,19,12,23919,2017-09-19,2,3,3313.503225806452
19,20,9,12653,2017-09-20,1,2,4996.4946236559135
20,21,36,21832,2017-09-20,8,14,8421.697652903227
21,22,23,13178,2017-09-20,7,13,5467.658282258065
22,23,15,22464,2017-09-20,8,14,5750.37164075269
23,24,70,21645,2017-09-21,8,14,16927.763708064518
24,25,20,13167,2017-09-21,1,2,3086.0860215053767
25,26,11,22295,2017-09-21,8,14,5217.340860215054
26,27,55,12884,2017-09-22,7,13,12071.208590107526
27,28,9,12602,2017-09-22,5,8,3032.758746236559
28,29,65,22746,2017-09-23,6,12,5094.056935483873
29,30,24,25134,2017-09-25,3,4,8136.630107526879
30,31,46,25380,2017-09-26,3,4,9950.763440860217
31,32,3,13104,2017-09-27,5,8,5967.472268817204
32,33,90,23185,2017-09-27,2,3,6063.408602150545
33,34,17,29811,2017-09-27,4,6,6002.476344086021
34,35,4,21677,2017-09-28,6,10,8788.646989247312
35,36,78,12640,2017-09-28,1,2,4703.096774193546
36,37,41,23008,2017-09-28,2,3,3572.8602150537636
37,38,18,21981,2017-09-28,6,11,5349.093926881721
38,39,7,12866,2017-09-28,1,2,2678.365591397849
39,40,10,25830,2017-09-28,3,4,5073.752688172043
40,41,34,25440,2017-09-29,3,4,10415.980645161293
41,42,5,12641,2017-09-29,5,7,2776.417627956989
42,43,51,21648,2017-09-29,6,12,3261.0533870967756
43,44,52,21932,2017-09-30,8,14,10804.395221290326
44,45,84,22490,2017-10-02,6,12,5505.51335483871
45,46,77,22641,2017-10-03,2,3,8788.643010752709
46,47,13,23539,2017-10-03,6,11,5653.816070967742
47,48,56,22502,2017-10-04,2,3,5061.7247311828005
48,49,9,13310,2017-10-04,5,8,3181.1903440860215
49,50,99,29439,2017-10-05,4,6,10116.13118279571
50,51,36,12717,2017-10-06,7,13,9593.035614408604
51,52,51,22901,2017-10-06,2,3,3901.5634408602145
52,53,11,13119,2017-10-06,5,8,3257.292808602151
53,54,5,23928,2017-10-07,2,3,6092.6967741935505
54,55,65,21991,2017-10-07,6,12,3851.7530430107527
55,56,8,13493,2017-10-07,7,13,3354.688291612904
56,57,72,24345,2017-10-10,3,4,13711.611827957006
57,58,16,23818,2017-10-10,6,11,5853.907507526883
58,59,76,21679,2017-10-11,8,14,16453.28451268817
59,60,14,24588,2017-10-11,3,4,4950.2408602150535
60,61,103,29201,2017-10-13,4,6,11410.932258064518
61,62,19,22134,2017-10-13,6,11,5493.905655913979
62,63,92,24404,2017-10-16,3,4,15930.654838709745
63,64,35,24671,2017-10-16,3,4,5530.196774193548
64,65,96,21761,2017-10-17,6,12,5886.099064516127
65,66,17,24679,2017-10-17,3,4,5047.813978494624
66,67,51,12721,2017-10-18,5,9,8807.604875268818
67,68,38,21733,2017-10-18,8,14,9057.576456451612
68,69,8,12753,2017-10-18,1,2,2683.3763440860216
69,70,6,23315,2017-10-18,6,10,4598.606941935485
70,71,84,24415,2017-10-19,3,4,8556.701075268813
71,72,9,13963,2017-10-19,5,8,3276.579941935484
72,73,6,12820,2017-10-19,7,13,2922.4255568817207
73,74,75,21672,2017-10-20,8,14,18368.588448279574
74,75,19,13088,2017-10-20,7,13,4903.775436236559
75,76,16,28902,2017-10-20,4,6,5806.501075268816
76,77,122,21671,2017-10-23,8,14,25179.95638172043
77,78,20,12943,2017-10-23,1,2,3042.731182795699
78,79,20,22043,2017-10-23,6,11,5412.144193548386
79,80,38,12724,2017-10-24,7,13,10876.473357956993
80,81,25,22815,2017-10-24,2,3,3319.513978494623
81,82,12,23770,2017-10-24,8,14,5566.429355913979
82,83,3,13389,2017-10-24,7,13,2528.7806508602152
83,84,88,22160,2017-10-25,8,14,19403.91460870968
84,85,26,24930,2017-10-25,3,4,5336.440860215054
85,86,8,13610,2017-10-25,5,8,3261.1108086021504
86,87,8,31031,2017-10-25,4,6,5987.487096774193
87,88,24,12672,2017-10-26,7,13,6427.679375268818
88,89,69,25081,2017-10-26,3,4,6563.001075268815
89,90,11,12857,2017-10-26,7,13,3665.2178500000005
90,91,13,29418,2017-10-26,4,6,5821.843010752687
91,92,75,29002,2017-10-27,4,6,11852.824731182818
92,93,34,22616,2017-10-27,2,3,3450.6473118279578
93,94,11,13701,2017-10-27,1,2,2947.5053763440865
