,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,768982,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
1,772616,2017-09-01,2017-09-01,2017-09-01,1,870,2,3,3027.91,61.52688172043011
2,772615,2017-09-01,2017-09-01,2017-09-01,1,82,2,3,2441.89,61.52688172043011
3,772575,2017-09-01,2017-09-01,2017-09-01,1,684,2,3,13717.4,126.28172043010754
4,772568,2017-09-01,2017-09-01,2017-09-01,1,312,2,3,6436.15,61.52688172043011
5,772617,2017-09-01,2017-09-01,2017-09-01,1,234,2,3,4023.4,61.52688172043011
6,772574,2017-09-01,2017-09-01,2017-09-01,1,1306,2,3,3187.6,61.52688172043011
7,772634,2017-09-01,2017-09-01,2017-09-01,1,897,2,3,1452.6,61.52688172043011
8,772633,2017-09-01,2017-09-01,2017-09-01,1,897,2,3,2490.34,61.52688172043011
9,768977,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
10,772598,2017-09-01,2017-09-01,2017-09-01,1,419,2,3,15032.04,107.52258064516133
11,768930,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
12,768984,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
13,768928,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
14,772603,2017-09-01,2017-09-01,2017-09-01,1,1465,2,3,2208.83,61.52688172043011
15,772580,2017-09-01,2017-09-01,2017-09-01,1,129,2,3,6811.28,61.52688172043011
16,772565,2017-09-01,2017-09-01,2017-09-01,1,957,2,3,1415.83,61.52688172043011
17,772583,2017-09-01,2017-09-01,2017-09-01,1,1306,2,3,8476.13,61.52688172043011
18,768932,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
19,772614,2017-09-01,2017-09-01,2017-09-01,1,213,2,3,1254.3,61.52688172043011
20,768980,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
21,772612,2017-09-01,2017-09-01,2017-09-01,1,154,2,3,2707.48,61.52688172043011
22,772620,2017-09-01,2017-09-01,2017-09-01,1,470,2,3,2032.88,61.52688172043011
23,772608,2017-09-01,2017-09-01,2017-09-01,1,307,2,3,1249.83,61.52688172043011
24,768929,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
25,772572,2017-09-01,2017-09-01,2017-09-01,1,164,2,3,1246.0,61.52688172043011
26,768979,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
27,772861,2017-09-01,2017-09-01,2017-09-01,1,183,2,3,3158.71,61.52688172043011
28,772676,2017-09-01,2017-09-01,2017-09-01,1,1628,2,3,160.0,61.52688172043011
29,768987,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
30,768978,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
31,768931,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
32,772548,2017-09-01,2017-09-01,2017-09-01,1,1638,2,3,11700.52,202.36774193548388
33,772624,2017-09-01,2017-09-01,2017-09-01,1,891,2,3,3857.4,61.52688172043011
34,768986,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
