,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,2,13903,2017-09-01,5,7,2568.830735483871
1,2,3,13029,2017-09-01,7,13,2468.8814853763442
2,3,8,23376,2017-09-01,8,14,4849.209935268817
3,4,33,21740,2017-09-01,6,12,2434.467978494624
4,5,2,13440,2017-09-02,1,2,6203.440860215052
5,6,54,21606,2017-09-05,6,12,9724.633838709684
6,7,3,13012,2017-09-06,7,13,3766.0110947311828
7,8,6,13017,2017-09-06,1,1,1851.4645161290325
8,9,25,21619,2017-09-06,6,12,2156.946741935484
9,10,28,24342,2017-09-11,3,4,22734.948387096818
10,11,2,13945,2017-09-12,5,9,6115.7878924731185
11,12,4,13946,2017-09-12,5,7,2799.7814150537633
12,13,33,24597,2017-09-12,3,4,5412.222580645161
13,14,5,22161,2017-09-13,6,12,6623.333634408605
14,15,28,24562,2017-09-13,3,4,5321.748387096774
15,16,5,22722,2017-09-14,8,14,20764.448469569892
16,17,8,12755,2017-09-14,5,8,2949.132264516129
17,18,5,25776,2017-09-15,3,4,11686.241935483873
18,19,18,24354,2017-09-15,3,4,5014.238709677419
19,20,8,29055,2017-09-18,4,6,11674.062365591402
20,21,20,12644,2017-09-18,5,8,3263.77244516129
21,22,8,23283,2017-09-19,2,3,6124.78064516129
22,23,13,22698,2017-09-19,6,11,5418.910507526882
23,24,3,13949,2017-09-20,5,8,6529.67330967742
24,25,25,24341,2017-09-20,3,4,5152.151612903226
25,26,48,13312,2017-09-20,5,9,5415.446731182796
26,27,9,21664,2017-09-21,6,11,10335.519264516131
27,28,12,13030,2017-09-21,1,2,2844.5161290322585
28,29,13,25990,2017-09-22,3,4,11729.89892473118
29,30,52,22327,2017-09-22,8,14,10515.62264430108
30,31,10,22607,2017-09-22,6,11,5100.259565591397
31,32,13,23116,2017-09-23,2,3,7687.838709677423
32,33,4,25726,2017-09-25,3,4,9202.380645161289
33,34,10,28887,2017-09-26,4,6,9895.469892473116
34,35,22,21669,2017-09-27,6,12,4930.335537634409
35,36,2,13957,2017-09-28,1,2,5496.731182795699
36,37,4,24135,2017-09-28,2,3,3224.677419354839
37,38,13,21660,2017-09-28,8,14,5288.88116967742
38,39,7,21722,2017-09-29,6,12,3596.13035483871
39,40,3,13181,2017-09-30,1,2,5745.440860215054
40,41,4,13822,2017-09-30,5,7,2845.942305376345
41,42,9,24733,2017-09-30,3,4,4842.805376344086
42,43,7,13396,2017-10-02,7,13,9530.876766344085
43,44,10,12655,2017-10-02,7,13,3503.5850860215055
44,45,47,24342,2017-10-02,3,4,5591.293548387098
45,46,62,21824,2017-10-02,8,14,12518.77976075269
46,47,24,24477,2017-10-03,3,4,8812.059139784946
47,48,37,22479,2017-10-03,6,12,2697.6796021505384
48,49,47,22623,2017-10-03,2,3,3938.1870967741925
49,50,13,22659,2017-10-04,2,3,7074.273118279571
50,51,74,30449,2017-10-04,4,6,8206.588172043008
51,52,25,22137,2017-10-04,6,11,5457.551759139786
52,53,6,21976,2017-10-05,6,12,3410.4237419354836
53,54,6,31187,2017-10-06,4,6,14246.46451612903
54,55,16,24469,2017-10-06,3,4,4981.867741935484
55,56,17,12912,2017-10-06,5,8,3358.9617935483866
56,57,8,22210,2017-10-07,8,14,17752.310944946243
57,58,55,24315,2017-10-07,3,4,5817.494623655913
58,59,10,22211,2017-10-10,6,12,4517.224655913979
59,60,28,24600,2017-10-10,3,4,5328.817204301075
60,61,10,30207,2017-10-11,4,6,9578.967741935483
61,62,54,28929,2017-10-11,4,6,6713.160215053762
62,63,4,29690,2017-10-13,4,6,7345.559139784948
63,64,16,21975,2017-10-13,6,11,5469.4366150537635
64,65,2,13337,2017-10-14,7,13,9872.013105913979
65,66,22,28983,2017-10-16,4,6,13760.4
66,67,39,12780,2017-10-16,7,13,7750.166731935484
67,68,8,23410,2017-10-17,6,12,4588.961322580645
68,69,33,29103,2017-10-17,4,6,6300.88064516129
69,70,5,25875,2017-10-18,3,4,9614.274193548385
70,71,17,24444,2017-10-18,3,4,5004.098924731183
71,72,5,24798,2017-10-19,2,3,8763.436559139791
72,73,6,13672,2017-10-19,1,1,1940.2064516129035
73,74,18,23140,2017-10-19,2,3,3299.1827956989255
74,75,6,22310,2017-10-20,6,12,5619.766666666666
75,76,9,12619,2017-10-20,1,2,2684.322580645161
76,77,70,28890,2017-10-20,4,6,7045.96451612903
77,78,12,22048,2017-10-23,8,14,13017.418811935488
78,79,11,13062,2017-10-23,5,8,3170.4501569892477
79,80,37,24556,2017-10-23,3,4,5562.567741935484
80,81,3,23297,2017-10-24,8,14,21754.45030236559
81,82,11,28871,2017-10-24,4,6,5666.325806451614
82,83,20,23192,2017-10-24,2,3,3335.2946236559137
83,84,7,24936,2017-10-25,3,4,8140.720430107525
84,85,5,22551,2017-10-26,6,12,4091.483150537635
85,86,11,13166,2017-10-26,1,2,2843.956989247312
86,87,5,24289,2017-10-27,2,3,8667.991397849464
87,88,18,24557,2017-10-27,3,4,5052.001075268817
88,89,10,26342,2017-10-28,3,4,6731.296774193549
89,90,10,12868,2017-10-28,1,2,2759.397849462366
90,91,46,13688,2017-10-28,1,2,4129.784946236558
91,92,13,13098,2017-10-28,5,8,3189.617320430107
