,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,772557,2017-09-01,2017-09-01,2017-09-01,1,808,8,14,1660.55,163.69722741935487
1,768980,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
2,772598,2017-09-01,2017-09-01,2017-09-01,1,419,8,14,15032.04,263.8969948387097
3,772561,2017-09-01,2017-09-01,2017-09-01,1,8,8,14,1524.65,166.63102634408605
4,768934,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,3398.4,70.82816344086022
5,772582,2017-09-01,2017-09-01,2017-09-01,1,1306,8,14,2110.92,181.42939741935484
6,772549,2017-09-01,2017-09-01,2017-09-01,1,1638,8,14,23562.92,647.9646232258065
7,772602,2017-09-01,2017-09-01,2017-09-01,1,728,8,14,7217.67,204.67845924731185
8,772624,2017-09-01,2017-09-01,2017-09-01,1,891,8,14,3857.4,175.9450129032258
9,772559,2017-09-01,2017-09-01,2017-09-01,1,932,8,14,49254.58,598.7501886021505
10,768989,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,1699.2,68.76354408602151
11,768976,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
12,772560,2017-09-01,2017-09-01,2017-09-01,1,8,8,14,15379.1,294.6036376344087
13,772550,2017-09-01,2017-09-01,2017-09-01,1,1638,8,14,84414.2,2005.2796193548388
14,771995,2017-09-01,2017-09-01,2017-09-01,1,745,8,14,10326.52,246.0655565591398
15,772648,2017-09-01,2017-09-01,2017-09-01,2,615,4,6,12130.73,166.0258064516129
16,768928,2017-09-01,2017-09-01,2017-09-01,2,1506,4,6,3398.4,59.13978494623656
17,772644,2017-09-01,2017-09-01,2017-09-01,2,932,4,6,2601.78,59.13978494623656
18,768926,2017-09-01,2017-09-01,2017-09-01,2,1506,4,6,3398.4,59.13978494623656
19,772599,2017-09-01,2017-09-01,2017-09-01,2,686,4,6,3123.62,59.13978494623656
20,772547,2017-09-01,2017-09-01,2017-09-01,2,1638,4,6,36616.69,934.6666666666666
21,772584,2017-09-01,2017-09-01,2017-09-01,2,129,4,6,2253.64,59.13978494623656
22,772620,2017-09-01,2017-09-01,2017-09-01,2,470,4,6,2032.88,59.13978494623656
23,768981,2017-09-01,2017-09-01,2017-09-01,2,1506,4,6,2124.0,59.13978494623656
24,772634,2017-09-01,2017-09-01,2017-09-01,2,897,4,6,1452.6,59.13978494623656
25,772646,2017-09-01,2017-09-01,2017-09-01,2,1637,4,6,2155.55,59.13978494623656
26,772562,2017-09-01,2017-09-01,2017-09-01,2,932,4,6,9301.41,143.51720430107528
27,772579,2017-09-01,2017-09-01,2017-09-01,2,129,4,6,1510.44,59.13978494623656
28,772647,2017-09-01,2017-09-01,2017-09-01,2,178,4,6,7491.86,116.17204301075267
29,772606,2017-09-01,2017-09-01,2017-09-01,2,183,4,6,2237.19,59.13978494623656
30,772623,2017-09-01,2017-09-01,2017-09-01,2,419,4,6,1801.95,59.13978494623656
31,772556,2017-09-01,2017-09-01,2017-09-01,2,808,4,6,10967.76,162.86344086021506
32,768985,2017-09-01,2017-09-01,2017-09-01,2,1506,4,6,2124.0,59.13978494623656
33,772564,2017-09-01,2017-09-01,2017-09-01,2,21,4,6,21243.3,472.03118279569895
34,772552,2017-09-01,2017-09-01,2017-09-01,2,110,4,6,55345.86,592.0150537634408
35,772614,2017-09-01,2017-09-01,2017-09-01,2,213,4,6,1254.3,59.13978494623656
36,772592,2017-09-01,2017-09-01,2017-09-01,2,1558,4,6,25557.67,290.8462365591397
37,772615,2017-09-01,2017-09-01,2017-09-01,2,82,4,6,2441.89,59.13978494623656
38,768931,2017-09-01,2017-09-01,2017-09-01,2,1506,4,6,3398.4,59.13978494623656
39,772568,2017-09-01,2017-09-01,2017-09-01,2,312,4,6,6436.15,59.13978494623656
40,772572,2017-09-01,2017-09-01,2017-09-01,2,164,4,6,1246.0,59.13978494623656
41,768991,2017-09-01,2017-09-01,2017-09-01,2,1506,4,6,1699.2,59.13978494623656
42,768927,2017-09-01,2017-09-01,2017-09-01,2,1506,4,6,3398.4,59.13978494623656
43,772861,2017-09-01,2017-09-01,2017-09-01,2,183,4,6,3158.71,59.13978494623656
44,768986,2017-09-01,2017-09-01,2017-09-01,2,1506,4,6,2124.0,59.13978494623656
45,768970,2017-09-01,2017-09-01,2017-09-01,2,1506,4,6,2124.0,59.13978494623656
46,772601,2017-09-01,2017-09-01,2017-09-01,2,227,4,6,1372.53,59.13978494623656
47,768925,2017-09-01,2017-09-01,2017-09-01,2,1506,4,6,3398.4,59.13978494623656
48,772571,2017-09-01,2017-09-01,2017-09-01,2,312,4,6,10836.37,97.01182795698924
49,768982,2017-09-01,2017-09-01,2017-09-01,2,1506,4,6,2124.0,59.13978494623656
50,772553,2017-09-01,2017-09-01,2017-09-01,2,110,4,6,61153.34,785.4774193548386
51,772555,2017-09-01,2017-09-01,2017-09-01,2,8,4,6,63460.75,784.1752688172043
52,771994,2017-09-01,2017-09-01,2017-09-01,2,745,4,6,2144.0,59.13978494623656
53,772675,2017-09-01,2017-09-01,2017-09-01,2,1628,4,6,272.58,59.13978494623656
54,772676,2017-09-01,2017-09-01,2017-09-01,2,1628,4,6,160.0,59.13978494623656
55,772633,2017-09-01,2017-09-01,2017-09-01,2,897,4,6,2490.34,59.13978494623656
56,772577,2017-09-01,2017-09-01,2017-09-01,2,498,4,6,7314.51,165.65376344086022
57,772626,2017-09-01,2017-09-01,2017-09-01,2,932,4,6,1192.06,59.13978494623656
58,772570,2017-09-01,2017-09-01,2017-09-01,2,1306,4,6,10101.74,170.6763440860215
59,772613,2017-09-01,2017-09-01,2017-09-01,2,1634,4,6,2288.34,59.13978494623656
60,772551,2017-09-01,2017-09-01,2017-09-01,2,1305,4,6,60318.45,693.3967741935484
61,768984,2017-09-01,2017-09-01,2017-09-02,3,1506,4,6,2124.0,59.13978494623656
62,772605,2017-09-01,2017-09-01,2017-09-02,3,89,4,6,2814.38,59.13978494623656
63,772199,2017-09-01,2017-09-01,2017-09-02,3,745,4,6,3859.2,120.8225806451613
64,772617,2017-09-01,2017-09-01,2017-09-02,3,234,4,6,4023.4,59.13978494623656
65,772587,2017-09-01,2017-09-01,2017-09-02,3,164,4,6,3873.6,59.13978494623656
66,772563,2017-09-01,2017-09-01,2017-09-02,3,710,4,6,41296.19,475.0075268817204
67,772616,2017-09-01,2017-09-01,2017-09-02,3,870,4,6,3027.91,59.13978494623656
68,772603,2017-09-01,2017-09-01,2017-09-02,3,1465,4,6,2208.83,59.13978494623656
69,772608,2017-09-01,2017-09-01,2017-09-02,3,307,4,6,1249.83,59.13978494623656
70,772576,2017-09-01,2017-09-01,2017-09-02,3,1485,4,6,13507.26,114.31182795698923
71,772635,2017-09-01,2017-09-01,2017-09-02,3,808,4,6,36578.03,424.96774193548384
72,772583,2017-09-01,2017-09-01,2017-09-02,3,1306,4,6,8476.13,105.01075268817203
73,768983,2017-09-01,2017-09-01,2017-09-02,3,1506,4,6,2124.0,59.13978494623656
74,772565,2017-09-01,2017-09-01,2017-09-02,3,957,4,6,1415.83,59.13978494623656
75,772591,2017-09-01,2017-09-01,2017-09-02,3,676,4,6,11874.04,126.03118279569892
76,772862,2017-09-01,2017-09-01,2017-09-02,3,183,4,6,32745.13,708.0924731182796
77,772645,2017-09-01,2017-09-01,2017-09-02,3,957,4,6,33225.67,404.8774193548388
78,772607,2017-09-01,2017-09-01,2017-09-02,3,1152,4,6,1247.4,59.13978494623656
79,772575,2017-09-01,2017-09-01,2017-09-02,3,684,4,6,13717.4,185.18602150537637
80,768932,2017-09-01,2017-09-01,2017-09-02,3,1506,4,6,3398.4,59.13978494623656
81,772612,2017-09-01,2017-09-01,2017-09-02,3,154,4,6,2707.48,59.13978494623656
82,772581,2017-09-01,2017-09-01,2017-09-02,3,1303,4,6,7926.18,119.89247311827958
