pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
768989,1506,1699.2,9,1,2
768991,1506,1699.2,9,1,2
768992,1506,1699.2,9,1,2
768993,1506,1699.2,9,1,2
768960,1506,2124.0,11,1,2
768967,1506,2124.0,11,1,2
768969,1506,2124.0,11,1,2
768970,1506,2124.0,11,1,2
768976,1506,2124.0,11,1,2
768977,1506,2124.0,11,1,2
768978,1506,2124.0,11,1,2
768979,1506,2124.0,11,1,2
768980,1506,2124.0,11,1,2
768981,1506,2124.0,11,1,2
768982,1506,2124.0,11,1,2
768983,1506,2124.0,11,1,2
768984,1506,2124.0,11,1,2
768985,1506,2124.0,11,1,2
768986,1506,2124.0,11,1,2
768987,1506,2124.0,11,1,2
768925,1506,3398.4,18,1,2
768926,1506,3398.4,18,1,2
768927,1506,3398.4,18,1,2
768928,1506,3398.4,18,1,2
768929,1506,3398.4,18,1,2
768930,1506,3398.4,18,1,2
768931,1506,3398.4,18,1,2
768932,1506,3398.4,18,1,2
768934,1506,3398.4,18,1,2
772676,1628,160.0,20,1,2
772675,1628,272.58,29,1,2
772861,183,3158.71,46,1,2
772620,470,2032.88,49,1,2
772614,213,1254.3,50,1,2
772594,615,1253.81,50,1,2
772565,957,1415.83,53,1,2
772623,419,1801.95,57,1,2
772567,957,1518.83,59,1,2
772572,164,1246.0,61,1,2
772626,932,1192.06,65,1,2
772601,227,1372.53,73,1,2
772603,1465,2208.83,74,1,2
772608,307,1249.83,84,1,2
772606,183,2237.19,85,1,2
772646,1637,2155.55,86,1,2
772613,1634,2288.34,90,1,2
772557,808,1660.55,112,1,2
772607,1152,1247.4,113,1,2
772612,154,2707.48,127,1,2
772579,129,1510.44,132,1,2
772561,8,1524.65,134,1,2
772584,129,2253.64,142,1,2
772634,897,1452.6,155,1,2
772615,82,2441.89,156,1,2
772605,89,2814.38,164,1,2
772624,891,3857.4,180,1,2
772633,897,2490.34,188,1,2
772599,686,3123.62,211,1,2
772574,1306,3187.6,226,1,2
772582,1306,2110.92,234,1,2
772616,870,3027.91,244,1,2
772587,164,3873.6,254,1,2
772644,932,2601.78,257,1,2
772568,312,6436.15,258,1,2
772632,897,2728.49,273,1,2
771994,745,2144.0,281,1,2
772617,234,4023.4,314,1,2
772580,129,6811.28,330,1,2
772602,728,7217.67,355,1,2
772571,312,10836.37,377,1,2
772583,1306,8476.13,420,1,2
772576,1485,13507.26,470,1,2
772647,178,7491.86,480,1,2
772581,1303,7926.18,500,1,2
772199,745,3859.2,505,1,2
