,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,66,22994,2017-09-01,2,3,5715.264516129042
1,2,16,12978,2017-09-01,7,13,4012.013930322581
2,3,17,22116,2017-09-01,8,14,5723.821402473119
3,4,20,22887,2017-09-02,2,3,6063.913978494629
4,5,55,13096,2017-09-04,5,9,8642.214948387094
5,6,46,12615,2017-09-05,7,13,11451.363611827963
6,7,29,12968,2017-09-06,7,13,10915.652687311827
7,8,55,12954,2017-09-06,1,2,4670.688172043007
8,9,84,30844,2017-09-06,4,6,9036.365591397855
9,10,25,12984,2017-09-08,7,13,7570.0469696774235
10,11,49,22902,2017-09-11,8,14,21412.991287419354
11,12,72,29575,2017-09-12,4,6,9394.103225806453
12,13,47,12605,2017-09-12,5,9,5125.653589247312
13,14,15,23599,2017-09-12,8,14,5668.022041612901
14,15,66,21685,2017-09-13,6,12,5029.498322580645
15,16,28,21920,2017-09-14,8,14,20061.523069354847
16,17,31,12960,2017-09-14,1,2,3487.52688172043
17,18,39,31893,2017-09-14,4,6,7106.182795698924
18,19,19,29074,2017-09-15,4,6,5995.0
19,20,24,24527,2017-09-15,3,4,5285.749462365591
20,21,38,21687,2017-09-18,6,12,5516.838860215053
21,22,29,12709,2017-09-18,5,9,4821.170447311827
22,23,28,22524,2017-09-19,2,3,5567.37419354839
23,24,24,23171,2017-09-19,2,3,3850.9526881720426
24,25,39,30761,2017-09-19,4,6,7047.170967741934
25,26,38,29706,2017-09-20,4,6,9454.884946236563
26,27,28,24268,2017-09-20,2,3,3905.105376344086
27,28,33,22088,2017-09-20,8,14,8184.625310215056
28,29,37,21631,2017-09-21,8,14,11310.732767204305
29,30,51,24669,2017-09-21,3,4,6239.699999999998
30,31,26,21602,2017-09-22,6,12,2864.0882903225806
31,32,27,12872,2017-09-22,7,13,6042.087387204302
32,33,46,22005,2017-09-23,8,14,14719.797959247311
33,34,14,22136,2017-09-25,6,12,3324.332720430108
34,35,24,26699,2017-09-26,3,4,10403.35806451613
35,36,28,23242,2017-09-26,2,3,3750.6215053763435
36,37,31,24799,2017-09-27,3,4,5691.479569892474
37,38,22,12855,2017-09-27,7,13,5002.2125239784955
38,39,28,22851,2017-09-27,2,3,3815.2623655913976
39,40,29,21861,2017-09-27,6,12,2339.0573548387097
40,41,11,12658,2017-09-28,1,2,4230.967741935484
41,42,46,25336,2017-09-28,3,4,5992.509677419352
42,43,19,22804,2017-09-28,8,14,6363.8506486021515
43,44,21,21723,2017-09-28,6,11,5213.429651612903
44,45,40,21640,2017-09-29,8,14,12513.04445075269
45,46,29,23531,2017-09-29,8,14,8033.7417613978505
46,47,34,23574,2017-09-29,2,3,4060.356989247312
47,48,25,21732,2017-09-30,8,14,15746.164136021507
48,49,55,24532,2017-10-02,3,4,10628.718279569901
49,50,49,30460,2017-10-03,4,6,12275.80107526883
50,51,32,12906,2017-10-03,5,9,4892.217711827956
51,52,44,22675,2017-10-04,8,14,12823.351409784946
52,53,54,23250,2017-10-05,2,3,8124.604301075286
53,54,39,22742,2017-10-05,2,3,4318.258064516129
54,55,17,12773,2017-10-06,5,9,5950.041096774194
55,56,7,13803,2017-10-06,1,2,2846.3010752688174
56,57,27,23542,2017-10-06,2,3,3848.4838709677415
57,58,18,13114,2017-10-06,1,2,3062.3225806451605
58,59,33,13814,2017-10-06,7,13,7111.853883548388
59,60,19,12605,2017-10-07,5,9,7085.987395698923
60,61,55,31837,2017-10-07,4,6,7417.54193548387
61,62,28,12873,2017-10-09,7,13,6795.317397419354
62,63,32,22012,2017-10-10,6,12,2992.6184838709673
63,64,17,13381,2017-10-10,5,8,3363.5680365591406
64,65,25,12836,2017-10-10,5,8,3585.400544086021
65,66,29,24359,2017-10-11,2,3,5661.288172043015
66,67,22,12848,2017-10-11,7,13,5291.140633225807
67,68,38,21620,2017-10-11,6,12,2677.3205806451615
68,69,32,21749,2017-10-13,8,14,9098.429820107529
69,70,25,24360,2017-10-13,3,4,5269.517204301074
70,71,24,22951,2017-10-13,6,11,5642.120787096774
71,72,24,13117,2017-10-13,1,2,3241.9354838709673
72,73,18,13444,2017-10-14,1,2,5201.720430107526
73,74,40,13238,2017-10-16,5,9,5371.684806451615
74,75,23,13676,2017-10-16,7,13,5466.345009462366
75,76,30,22851,2017-10-17,6,12,6194.5335376344065
76,77,25,12712,2017-10-17,7,13,5419.012661505377
77,78,44,21707,2017-10-17,8,14,9984.156276989248
78,79,26,12732,2017-10-18,7,13,9533.493366451612
79,80,12,12732,2017-10-18,5,8,2941.163378494624
80,81,13,13209,2017-10-18,7,13,4047.60026483871
81,82,31,22221,2017-10-18,6,12,2329.6068387096775
82,83,21,12675,2017-10-19,7,13,9671.887889247313
83,84,25,21775,2017-10-19,8,14,7210.264916236561
84,85,29,22653,2017-10-19,2,3,3796.8666666666663
85,86,10,13379,2017-10-19,1,2,2886.8817204301076
86,87,48,23826,2017-10-20,2,3,6330.858064516136
87,88,32,21761,2017-10-20,8,14,8024.030306559141
88,89,45,21651,2017-10-23,6,12,6523.304204301076
89,90,42,21725,2017-10-23,8,14,9278.723064838712
90,91,30,12631,2017-10-23,5,9,4814.199931182795
91,92,30,22072,2017-10-24,8,14,19126.101860107527
92,93,3,13598,2017-10-24,7,13,2499.1302449462364
93,94,7,12604,2017-10-24,7,13,3014.1282116129037
94,95,24,24086,2017-10-24,2,3,3690.1225806451607
95,96,13,12981,2017-10-24,5,8,3182.7029548387104
96,97,12,21943,2017-10-25,8,14,5678.193744301076
97,98,38,21832,2017-10-25,8,14,8859.369513548389
98,99,28,24328,2017-10-25,3,4,5418.32258064516
99,100,32,21648,2017-10-25,8,14,8169.976767741934
100,101,40,24220,2017-10-26,2,3,4660.243010752691
101,102,17,21646,2017-10-26,6,11,5147.761258064516
102,103,25,23508,2017-10-26,2,3,3711.4408602150534
103,104,57,29355,2017-10-27,4,6,12109.818279569903
104,105,23,12673,2017-10-27,5,9,4564.686141935485
105,106,6,13553,2017-10-27,1,1,2004.7139784946235
106,107,13,12892,2017-10-27,5,8,3136.966086021505
107,108,38,24346,2017-10-28,3,4,10821.251612903236
