,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,91,21968,2017-09-01,8,14,14249.687151935483
1,2,10,24596,2017-09-01,2,3,3373.0236559139785
2,3,33,22316,2017-09-02,8,14,11135.671945376342
3,4,26,12643,2017-09-04,7,13,7161.873588387095
4,5,43,13413,2017-09-04,5,9,5188.957023655916
5,6,64,13559,2017-09-05,1,2,5708.279569892468
6,7,160,24474,2017-09-06,3,4,12702.226881720464
7,8,13,22185,2017-09-06,6,11,5329.25273548387
8,9,61,23647,2017-09-11,6,12,9810.685053763438
9,10,134,25161,2017-09-12,3,4,10314.190322580658
10,11,47,12607,2017-09-13,7,13,9614.129166129038
11,12,12,12622,2017-09-13,5,8,3133.4407225806453
12,13,65,12818,2017-09-13,7,13,11990.281291290326
13,14,60,22679,2017-09-14,2,3,8884.477419354862
14,15,9,12839,2017-09-14,5,8,3247.566845161291
15,16,21,13185,2017-09-14,7,13,5188.5787101075275
16,17,9,21931,2017-09-14,8,14,4745.860957741936
17,18,37,21616,2017-09-15,6,12,3219.2199892473122
18,19,38,21637,2017-09-16,8,14,11768.801125913977
19,20,72,24593,2017-09-18,2,3,7367.606451612913
20,21,32,12679,2017-09-19,5,9,8499.329449462368
21,22,58,22452,2017-09-19,8,14,12132.181242365588
22,23,21,30626,2017-09-19,4,6,6261.610752688172
23,24,44,21755,2017-09-20,6,12,4245.739591397849
24,25,21,23415,2017-09-20,2,3,3331.4774193548383
25,26,33,21618,2017-09-21,6,12,4043.8743010752682
26,27,58,28871,2017-09-21,4,6,6982.259139784942
27,28,14,22325,2017-09-21,8,14,5658.989457741935
28,29,64,25486,2017-09-22,3,4,9306.452688172047
29,30,23,12605,2017-09-23,1,2,5572.817204301073
30,31,45,22581,2017-09-23,8,14,10227.470920215055
31,32,4,12720,2017-09-23,1,1,1781.9354838709678
32,33,21,13705,2017-09-25,1,2,3250.645161290322
33,34,6,31313,2017-09-25,4,5,4195.597849462366
34,35,45,23439,2017-09-26,8,14,10166.688623010752
35,36,97,29719,2017-09-27,4,6,13835.078494623684
36,37,6,24900,2017-09-28,2,3,6415.5741935483875
37,38,39,22665,2017-09-28,2,3,4771.627956989251
38,39,43,12720,2017-09-28,1,2,3312.688172043011
39,40,20,13061,2017-09-28,7,13,5043.010971290324
40,41,20,24511,2017-09-28,3,4,5097.20752688172
41,42,12,25949,2017-09-28,3,4,5149.652688172043
42,43,8,23422,2017-09-28,6,11,5389.317711827958
43,44,6,24963,2017-09-28,2,3,3362.5870967741935
44,45,74,24320,2017-09-29,3,4,8456.333333333332
45,46,27,12763,2017-09-29,1,2,3067.612903225807
46,47,54,26188,2017-09-30,3,4,7824.231182795694
47,48,84,22490,2017-10-02,8,14,17042.029297096775
48,49,12,22334,2017-10-02,6,11,5360.166049462366
49,50,79,25413,2017-10-03,3,4,7398.2827956989195
50,51,12,23234,2017-10-03,2,3,3223.6430107526885
51,52,62,29671,2017-10-04,4,6,7746.736559139783
52,53,94,22289,2017-10-05,8,14,19793.982731397842
53,54,66,21973,2017-10-06,6,12,5192.658516129034
54,55,20,12673,2017-10-06,1,2,2990.4731182795704
55,56,18,25077,2017-10-06,3,4,5148.732258064516
56,57,25,12765,2017-10-07,1,2,5305.010752688169
57,58,34,24311,2017-10-07,3,4,5232.573118279568
58,59,20,24892,2017-10-07,2,3,3558.3053763440857
59,60,71,23292,2017-10-10,2,3,9971.29032258067
60,61,11,13497,2017-10-10,1,2,2908.021505376344
61,62,38,12668,2017-10-11,1,2,6318.086021505372
62,63,44,22026,2017-10-11,6,12,2981.2269892473123
63,64,55,21745,2017-10-13,6,12,4855.818021505379
64,65,52,24923,2017-10-13,3,4,5831.286021505377
65,66,18,23215,2017-10-13,6,11,5741.0608
66,67,5,13137,2017-10-14,7,13,5265.265077096774
67,68,11,13162,2017-10-14,5,8,3233.31568172043
68,69,92,12653,2017-10-16,7,13,16900.141694516136
69,70,33,22641,2017-10-16,2,3,3390.107526881721
70,71,103,28885,2017-10-17,4,6,11113.740860215066
71,72,8,13442,2017-10-17,5,8,3285.447821505376
72,73,89,29949,2017-10-18,4,6,12385.310752688167
73,74,11,22174,2017-10-18,6,11,5153.948735483871
74,75,82,22335,2017-10-19,6,12,5566.373881720431
75,76,14,22083,2017-10-19,6,11,5199.878376344087
76,77,62,22713,2017-10-20,2,3,8319.578494623674
77,78,27,13257,2017-10-20,7,13,6102.737262795698
78,79,19,23304,2017-10-20,8,14,6629.055187634409
79,80,124,22652,2017-10-23,2,3,12814.733333333386
80,81,29,22928,2017-10-23,2,3,3432.4688172043016
81,82,17,23177,2017-10-23,8,14,6159.6781194623645
82,83,58,25567,2017-10-24,3,4,8045.679569892473
83,84,13,22940,2017-10-24,8,14,5532.334773655914
84,85,84,28887,2017-10-25,4,6,13147.188172043045
85,86,17,13096,2017-10-25,5,8,3321.9064817204307
86,87,18,24208,2017-10-25,2,3,3439.2860215053774
87,88,7,22383,2017-10-25,8,14,4608.096409892473
88,89,72,22725,2017-10-26,2,3,8169.634408602173
89,90,29,22422,2017-10-26,6,12,2287.043462365592
90,91,13,23005,2017-10-26,8,14,5584.50568075269
91,92,5,13618,2017-10-26,7,13,2886.1283632258064
92,93,61,22634,2017-10-27,2,3,8360.238709677444
93,94,45,24887,2017-10-27,3,4,5813.413978494622
94,95,12,13914,2017-10-27,7,13,3978.277708709678
