,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,17,13095,2017-09-01,7,13,4210.839756666667
1,2,45,21686,2017-09-01,6,12,2963.8247956989244
2,3,11,22748,2017-09-01,2,3,3280.52688172043
3,4,32,28803,2017-09-02,4,6,11073.534408602154
4,5,67,30411,2017-09-06,4,6,21532.012903225885
5,6,91,25349,2017-09-06,3,4,8371.572043010747
6,7,55,21743,2017-09-11,6,12,9698.57815053763
7,8,48,12761,2017-09-12,1,2,5406.817204301073
8,9,18,24337,2017-09-12,3,4,5179.674193548386
9,10,32,13374,2017-09-12,7,13,6455.94945075269
10,11,82,22501,2017-09-13,2,3,11073.56989247315
11,12,39,12689,2017-09-13,5,9,5114.00713548387
12,13,13,12796,2017-09-13,7,13,3807.2580633333337
13,14,51,30198,2017-09-14,4,6,8143.609677419355
14,15,21,22631,2017-09-15,6,12,4972.73559139785
15,16,11,21966,2017-09-15,8,14,4917.134445483872
16,17,8,13164,2017-09-15,1,2,2791.311827956989
17,18,27,21738,2017-09-18,8,14,16440.283815376344
18,19,37,22278,2017-09-18,6,12,2687.9890107526876
19,20,34,24964,2017-09-19,3,4,6609.991397849461
20,21,11,24412,2017-09-19,2,3,3483.5806451612907
21,22,26,24337,2017-09-19,3,4,5297.319354838709
22,23,21,12689,2017-09-19,5,8,3341.973167741936
23,24,19,12678,2017-09-20,1,2,4128.279569892474
24,25,20,24348,2017-09-20,2,3,3768.69247311828
25,26,34,22931,2017-09-20,2,3,4140.002150537634
26,27,13,13114,2017-09-20,5,8,3227.103946236559
27,28,11,13015,2017-09-21,5,9,8937.807529032258
28,29,62,21643,2017-09-21,6,12,3734.42459139785
29,30,47,21811,2017-09-22,6,12,4996.493021505376
30,31,22,23868,2017-09-22,2,3,3718.0107526881725
31,32,53,28818,2017-09-23,4,6,7203.364516129028
32,33,18,28844,2017-09-25,4,6,7906.321505376342
33,34,8,13306,2017-09-25,7,13,3280.733589892473
