,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
34,35,20,23552,2017-09-26,2,3,4020.7784946236557
35,36,18,13847,2017-09-26,1,2,3269.290322580646
36,37,14,22315,2017-09-27,8,14,10031.29175784946
37,38,5,13962,2017-09-27,5,7,2824.8649505376343
38,39,45,21661,2017-09-27,6,12,2972.6800752688173
39,40,4,12993,2017-09-27,5,7,2749.10636344086
40,41,33,21783,2017-09-28,8,14,16698.04047698925
41,42,29,23009,2017-09-28,6,12,2373.129806451613
42,43,41,24309,2017-09-28,2,3,4332.870967741935
43,44,12,12837,2017-09-28,5,8,3201.25559139785
44,45,39,29274,2017-09-29,4,6,8177.020430107525
45,46,20,12720,2017-09-29,5,8,3275.2406774193555
46,47,46,29875,2017-09-29,4,6,6925.736559139781
47,48,16,12788,2017-09-29,1,2,2976.0430107526877
48,49,39,24143,2017-09-30,2,3,5300.105376344091
49,50,44,23041,2017-10-02,8,14,15829.000646021503
50,51,52,29361,2017-10-03,4,6,12927.967741935498
51,52,23,12953,2017-10-03,1,2,3221.569892473118
52,53,36,29939,2017-10-04,4,6,8682.956989247312
53,54,58,24312,2017-10-05,3,4,9843.856989247324
54,55,42,24811,2017-10-05,2,3,4608.210752688173
55,56,12,13337,2017-10-06,5,8,3533.299047311828
56,57,28,24516,2017-10-06,3,4,5245.990322580645
57,58,40,28908,2017-10-06,4,6,6573.578494623653
58,59,23,13935,2017-10-06,1,2,3392.0215053763427
59,60,41,26532,2017-10-07,3,4,7020.299999999998
60,61,43,21689,2017-10-10,8,14,25844.20746032259
61,62,37,29572,2017-10-10,4,6,6646.434408602149
62,63,20,13592,2017-10-11,7,13,7702.597615053763
63,64,35,24373,2017-10-11,3,4,5643.040860215053
64,65,28,13133,2017-10-11,5,9,4852.16725376344
65,66,40,24600,2017-10-13,3,4,8032.799999999998
66,67,24,22185,2017-10-13,6,11,5568.884556989247
67,68,6,12963,2017-10-13,7,13,2967.263943763441
68,69,37,28880,2017-10-13,4,6,6381.878494623653
69,70,89,28817,2017-10-16,4,6,12218.122580645175
70,71,44,25525,2017-10-17,3,4,10952.291397849469
71,72,35,22204,2017-10-17,6,12,2525.9712473118284
72,73,28,12617,2017-10-17,7,13,6018.867125268819
73,74,16,13627,2017-10-18,7,13,6599.119479139786
74,75,35,21753,2017-10-18,8,14,8627.932409892474
75,76,18,12967,2017-10-18,5,8,3249.7772172043015
76,77,11,13141,2017-10-18,1,2,2846.860215053763
77,78,30,22032,2017-10-19,8,14,13054.90479494624
78,79,9,12622,2017-10-19,1,2,2742.1290322580644
79,80,42,29409,2017-10-19,4,6,6775.687096774194
80,81,19,12816,2017-10-19,5,8,3272.4074387096775
81,82,26,21960,2017-10-20,6,12,2499.214397849463
82,83,29,22596,2017-10-20,2,3,3821.660215053763
83,84,77,28907,2017-10-23,4,6,16820.631182795725
84,85,32,13335,2017-10-23,5,9,5077.694969892474
85,86,43,21731,2017-10-23,8,14,9472.738910215056
86,87,20,13172,2017-10-23,1,2,3178.6021505376348
87,88,21,22535,2017-10-24,2,3,3461.630107526882
88,89,31,22650,2017-10-24,8,14,8202.418635806453
89,90,10,12604,2017-10-24,5,8,2944.999701075269
90,91,18,13731,2017-10-25,1,2,5736.021505376344
91,92,12,23173,2017-10-25,8,14,5327.378440430107
92,93,40,28915,2017-10-25,4,6,6548.999999999998
93,94,44,29713,2017-10-26,4,6,12118.420430107539
94,95,14,13579,2017-10-26,5,8,3325.0918365591397
95,96,17,12605,2017-10-26,5,8,3143.37275483871
96,97,10,13961,2017-10-26,1,2,2997.8494623655915
97,98,38,21870,2017-10-27,8,14,14812.940411612906
98,99,43,22239,2017-10-27,8,14,9730.58060043011
99,100,25,12614,2017-10-27,5,9,4657.3562236559155
100,101,27,28896,2017-10-27,4,6,6110.032258064515
101,102,41,13086,2017-10-28,1,2,4953.075268817201
102,103,40,29739,2017-10-28,4,6,6857.752688172041
