,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,772550,2017-09-01,2017-09-01,2017-09-01,1,1638,3,4,84414.2,2346.941935483871
1,772547,2017-09-01,2017-09-01,2017-09-01,1,1638,3,4,36616.69,934.6666666666666
2,772553,2017-09-01,2017-09-01,2017-09-01,1,110,3,4,61153.34,785.4774193548386
3,772555,2017-09-01,2017-09-01,2017-09-01,1,8,3,4,63460.75,784.1752688172043
4,772862,2017-09-01,2017-09-01,2017-09-01,2,183,7,13,32745.13,701.5204267741937
5,772551,2017-09-01,2017-09-01,2017-09-01,2,1305,7,13,60318.45,723.8955360215054
6,772549,2017-09-01,2017-09-01,2017-09-01,2,1638,7,13,23562.92,647.9646232258065
7,772552,2017-09-01,2017-09-01,2017-09-01,2,110,7,13,55345.86,641.084754623656
8,772559,2017-09-01,2017-09-01,2017-09-01,3,932,1,1,49254.58,392.6451612903226
9,772563,2017-09-01,2017-09-01,2017-09-01,3,710,1,1,41296.19,341.02580645161294
10,772564,2017-09-01,2017-09-01,2017-09-01,3,21,1,1,21243.3,338.8580645161291
11,772635,2017-09-01,2017-09-01,2017-09-01,3,808,1,1,36578.03,304.5806451612903
12,772645,2017-09-01,2017-09-01,2017-09-01,3,957,1,1,33225.67,289.9483870967742
13,772548,2017-09-01,2017-09-01,2017-09-01,3,1638,1,1,11700.52,208.52258064516133
14,772592,2017-09-01,2017-09-01,2017-09-01,4,1558,1,2,25557.67,301.5268817204301
15,772590,2017-09-01,2017-09-01,2017-09-01,4,1237,1,2,10433.4,297.65591397849465
16,772569,2017-09-01,2017-09-01,2017-09-01,4,282,1,2,22746.73,286.8172043010753
17,772589,2017-09-01,2017-09-01,2017-09-01,4,1380,1,2,12773.68,215.5913978494624
18,772560,2017-09-01,2017-09-01,2017-09-01,4,8,1,2,15379.1,205.5268817204301
19,772575,2017-09-01,2017-09-01,2017-09-01,4,684,1,2,13717.4,191.5913978494624
20,771996,2017-09-01,2017-09-01,2017-09-01,4,745,1,2,5416.8,182.88172043010752
21,772570,2017-09-01,2017-09-01,2017-09-01,4,1306,1,2,10101.74,176.49462365591398
22,772648,2017-09-01,2017-09-01,2017-09-01,4,615,1,2,12130.73,171.65591397849462
23,772577,2017-09-01,2017-09-01,2017-09-01,4,498,1,2,7314.51,171.2688172043011
24,772556,2017-09-01,2017-09-01,2017-09-01,4,808,1,2,10967.76,168.36559139784944
25,772598,2017-09-01,2017-09-01,2017-09-01,4,419,1,2,15032.04,163.91397849462368
26,772562,2017-09-01,2017-09-01,2017-09-01,4,932,1,2,9301.41,148.23655913978496
27,771995,2017-09-01,2017-09-01,2017-09-01,4,745,1,2,10326.52,147.26881720430106
28,772578,2017-09-01,2017-09-01,2017-09-02,5,37,3,4,9311.72,139.4247311827957
29,772554,2017-09-01,2017-09-01,2017-09-02,5,1305,3,4,10550.62,134.96021505376345
30,772591,2017-09-01,2017-09-01,2017-09-02,5,676,3,4,11874.04,126.03118279569892
31,772199,2017-09-01,2017-09-01,2017-09-02,5,745,3,4,3859.2,120.8225806451613
32,772581,2017-09-01,2017-09-01,2017-09-02,5,1303,3,4,7926.18,119.89247311827958
33,772647,2017-09-01,2017-09-01,2017-09-02,5,178,3,4,7491.86,116.17204301075267
34,772576,2017-09-01,2017-09-01,2017-09-02,5,1485,3,4,13507.26,114.31182795698923
