,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,768989,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,1699.2,61.52688172043011
1,768991,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,1699.2,61.52688172043011
2,768992,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,1699.2,61.52688172043011
3,768993,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,1699.2,61.52688172043011
4,768960,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
5,768967,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
6,768969,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
7,768970,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
8,768976,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
9,768977,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
10,768978,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
11,768979,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
12,768980,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
13,768981,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
14,768982,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
15,768983,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
16,768984,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
17,768985,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
18,768986,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
19,768987,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,2124.0,61.52688172043011
20,768925,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
21,768926,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
22,768927,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
23,768928,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
24,768929,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
25,768930,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
26,768931,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
27,768932,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
28,768934,2017-09-01,2017-09-01,2017-09-01,1,1506,2,3,3398.4,61.52688172043011
29,772676,2017-09-01,2017-09-01,2017-09-01,1,1628,2,3,160.0,61.52688172043011
30,772675,2017-09-01,2017-09-01,2017-09-01,1,1628,2,3,272.58,61.52688172043011
31,772861,2017-09-01,2017-09-01,2017-09-01,1,183,2,3,3158.71,61.52688172043011
32,772620,2017-09-01,2017-09-01,2017-09-01,1,470,2,3,2032.88,61.52688172043011
33,772614,2017-09-01,2017-09-01,2017-09-01,1,213,2,3,1254.3,61.52688172043011
34,772594,2017-09-01,2017-09-01,2017-09-01,1,615,2,3,1253.81,61.52688172043011
35,772565,2017-09-01,2017-09-01,2017-09-01,1,957,2,3,1415.83,61.52688172043011
36,772623,2017-09-01,2017-09-01,2017-09-01,1,419,2,3,1801.95,61.52688172043011
37,772567,2017-09-01,2017-09-01,2017-09-01,1,957,2,3,1518.83,61.52688172043011
38,772572,2017-09-01,2017-09-01,2017-09-01,1,164,2,3,1246.0,61.52688172043011
39,772626,2017-09-01,2017-09-01,2017-09-01,1,932,2,3,1192.06,61.52688172043011
40,772601,2017-09-01,2017-09-01,2017-09-01,1,227,2,3,1372.53,61.52688172043011
41,772603,2017-09-01,2017-09-01,2017-09-01,1,1465,2,3,2208.83,61.52688172043011
42,772608,2017-09-01,2017-09-01,2017-09-01,1,307,2,3,1249.83,61.52688172043011
43,772606,2017-09-01,2017-09-01,2017-09-01,1,183,2,3,2237.19,61.52688172043011
44,772646,2017-09-01,2017-09-01,2017-09-01,1,1637,2,3,2155.55,61.52688172043011
45,772613,2017-09-01,2017-09-01,2017-09-01,1,1634,2,3,2288.34,61.52688172043011
46,772557,2017-09-01,2017-09-01,2017-09-01,1,808,2,3,1660.55,61.52688172043011
47,772607,2017-09-01,2017-09-01,2017-09-01,1,1152,2,3,1247.4,61.52688172043011
48,772612,2017-09-01,2017-09-01,2017-09-01,1,154,2,3,2707.48,61.52688172043011
49,772579,2017-09-01,2017-09-01,2017-09-01,1,129,2,3,1510.44,61.52688172043011
50,772561,2017-09-01,2017-09-01,2017-09-01,1,8,2,3,1524.65,61.52688172043011
51,772584,2017-09-01,2017-09-01,2017-09-01,1,129,2,3,2253.64,61.52688172043011
52,772634,2017-09-01,2017-09-01,2017-09-01,1,897,2,3,1452.6,61.52688172043011
53,772615,2017-09-01,2017-09-01,2017-09-01,1,82,2,3,2441.89,61.52688172043011
54,772605,2017-09-01,2017-09-01,2017-09-01,1,89,2,3,2814.38,61.52688172043011
55,772624,2017-09-01,2017-09-01,2017-09-01,1,891,2,3,3857.4,61.52688172043011
56,772633,2017-09-01,2017-09-01,2017-09-01,1,897,2,3,2490.34,61.52688172043011
57,772599,2017-09-01,2017-09-01,2017-09-01,1,686,2,3,3123.62,61.52688172043011
