,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,772550,2017-09-01,2017-09-01,2017-09-01,1,1638,6,10,84414.2,2285.755311827957
1,772547,2017-09-01,2017-09-01,2017-09-01,1,1638,6,10,36616.69,913.883352688172
2,772553,2017-09-01,2017-09-01,2017-09-01,1,110,6,10,61153.34,838.9502666666667
3,772563,2017-09-01,2017-09-01,2017-09-01,1,710,6,10,41296.19,515.2453956989249
4,772555,2017-09-01,2017-09-01,2017-09-01,2,8,4,6,63460.75,784.1752688172043
5,772862,2017-09-01,2017-09-01,2017-09-01,2,183,4,6,32745.13,708.0924731182796
6,772551,2017-09-01,2017-09-01,2017-09-01,2,1305,4,6,60318.45,693.3967741935484
7,772549,2017-09-01,2017-09-01,2017-09-01,2,1638,4,6,23562.92,652.1
8,772552,2017-09-01,2017-09-01,2017-09-01,2,110,4,6,55345.86,592.0150537634408
9,772559,2017-09-01,2017-09-01,2017-09-01,2,932,4,6,49254.58,545.8817204301075
10,772564,2017-09-01,2017-09-01,2017-09-01,2,21,4,6,21243.3,472.03118279569895
11,772635,2017-09-01,2017-09-01,2017-09-01,2,808,4,6,36578.03,424.96774193548384
12,772645,2017-09-01,2017-09-01,2017-09-01,2,957,4,6,33225.67,404.8774193548388
13,772548,2017-09-01,2017-09-01,2017-09-01,2,1638,4,6,11700.52,293.0784946236559
14,772592,2017-09-01,2017-09-01,2017-09-01,2,1558,4,6,25557.67,290.8462365591397
15,772590,2017-09-01,2017-09-01,2017-09-01,3,1237,7,13,10433.4,355.64380860215056
16,772569,2017-09-01,2017-09-01,2017-09-01,3,282,7,13,22746.73,362.7169945161292
17,772589,2017-09-01,2017-09-01,2017-09-01,3,1380,7,13,12773.68,298.76264344086024
18,772560,2017-09-01,2017-09-01,2017-09-01,3,8,7,13,15379.1,294.6036376344087
19,772575,2017-09-01,2017-09-01,2017-09-01,3,684,7,13,13717.4,282.44264731182795
20,771996,2017-09-01,2017-09-01,2017-09-01,3,745,7,13,5416.8,266.0182623655914
21,772570,2017-09-01,2017-09-01,2017-09-01,3,1306,7,13,10101.74,267.0623292473119
22,772648,2017-09-01,2017-09-01,2017-09-01,3,615,7,13,12130.73,266.00615580645166
23,772577,2017-09-01,2017-09-01,2017-09-01,3,498,7,13,7314.51,259.872469139785
24,772556,2017-09-01,2017-09-01,2017-09-01,3,808,7,13,10967.76,262.1984610752688
25,772598,2017-09-01,2017-09-01,2017-09-01,3,419,7,13,15032.04,263.8969948387097
26,772562,2017-09-01,2017-09-01,2017-09-01,3,932,7,13,9301.41,245.5242938709677
27,771995,2017-09-01,2017-09-01,2017-09-01,3,745,7,13,10326.52,246.0655565591398
28,772578,2017-09-01,2017-09-01,2017-09-01,3,37,7,13,9311.72,242.43789634408608
29,772554,2017-09-01,2017-09-01,2017-09-01,3,1305,7,13,10550.62,240.56258129032256
30,772591,2017-09-01,2017-09-01,2017-09-01,3,676,7,13,11874.04,235.4093174193549
31,772199,2017-09-01,2017-09-01,2017-09-02,4,745,8,14,3859.2,221.72676989247316
32,772581,2017-09-01,2017-09-01,2017-09-02,4,1303,8,14,7926.18,225.96406817204303
33,772647,2017-09-01,2017-09-01,2017-09-02,4,178,8,14,7491.86,222.6191417204301
34,772576,2017-09-01,2017-09-01,2017-09-02,4,1485,8,14,13507.26,228.5195739784946
35,772583,2017-09-01,2017-09-01,2017-09-02,4,1306,8,14,8476.13,215.36346978494623
36,772571,2017-09-01,2017-09-01,2017-09-02,4,312,8,14,10836.37,212.1742990322581
37,772602,2017-09-01,2017-09-01,2017-09-02,4,728,8,14,7217.67,204.67845924731185
38,772580,2017-09-01,2017-09-01,2017-09-02,4,129,8,14,6811.28,200.66316817204304
39,772617,2017-09-01,2017-09-01,2017-09-02,4,234,8,14,4023.4,195.0219806451613
40,771994,2017-09-01,2017-09-01,2017-09-02,4,745,8,14,2144.0,188.0900215053764
41,772632,2017-09-01,2017-09-01,2017-09-02,4,897,8,14,2728.49,187.6733265591398
42,772568,2017-09-01,2017-09-01,2017-09-02,4,312,8,14,6436.15,190.0654295698925
43,772644,2017-09-01,2017-09-01,2017-09-02,4,932,8,14,2601.78,185.265603655914
44,772587,2017-09-01,2017-09-01,2017-09-02,4,164,8,14,3873.6,186.38835268817203
45,772616,2017-09-01,2017-09-01,2017-09-02,4,870,8,14,3027.91,183.9521917204301
46,772582,2017-09-01,2017-09-01,2017-09-02,4,1306,8,14,2110.92,181.42939741935484
47,772574,2017-09-01,2017-09-01,2017-09-02,4,1306,8,14,3187.6,181.61073978494625
48,772599,2017-09-01,2017-09-01,2017-09-02,4,686,8,14,3123.62,179.42009741935485
49,772633,2017-09-01,2017-09-01,2017-09-02,4,897,8,14,2490.34,175.41084322580647
50,772624,2017-09-01,2017-09-01,2017-09-02,4,891,8,14,3857.4,175.9450129032258
51,772605,2017-09-01,2017-09-01,2017-09-02,4,89,8,14,2814.38,172.42392408602154
52,772615,2017-09-01,2017-09-01,2017-09-02,4,82,8,14,2441.89,170.8444469892473
53,772634,2017-09-01,2017-09-01,2017-09-02,4,897,8,14,1452.6,169.50154623655914
54,772584,2017-09-01,2017-09-01,2017-09-02,4,129,8,14,2253.64,168.6436701075269
55,772561,2017-09-01,2017-09-01,2017-09-02,4,8,8,14,1524.65,166.63102634408605
56,772579,2017-09-01,2017-09-01,2017-09-02,4,129,8,14,1510.44,166.33204000000003
57,772612,2017-09-01,2017-09-01,2017-09-02,4,154,8,14,2707.48,167.08220688172042
58,772607,2017-09-01,2017-09-01,2017-09-02,4,1152,8,14,1247.4,163.33608817204302
59,772557,2017-09-01,2017-09-01,2017-09-02,4,808,8,14,1660.55,163.69722741935487
60,772613,2017-09-01,2017-09-01,2017-09-02,4,1634,8,14,2288.34,180.61916580645163
