pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
772550,1638,84414.2,12472,1,2
772547,1638,36616.69,4880,1,2
772553,110,61153.34,4078,1,2
772549,1638,23562.92,3361,1,2
772555,8,63460.75,4071,2,2
772862,183,32745.13,3662,2,2
772551,1305,60318.45,3583,2,2
772552,110,55345.86,3038,2,2
772559,932,49254.58,2790,2,2
772563,710,41296.19,2409,2,2
772564,21,21243.3,2393,2,2
772635,808,36578.03,2140,2,2
772645,957,33225.67,2032,3,6
772548,1638,11700.52,1431,3,6
772592,1558,25557.67,1419,3,6
772590,1237,10433.4,1399,3,6
772569,282,22746.73,1343,3,6
772589,1380,12773.68,975,3,6
772560,8,15379.1,923,3,6
772575,684,13717.4,851,3,6
771996,745,5416.8,806,3,6
772570,1306,10101.74,773,3,6
772648,615,12130.73,748,3,6
772577,498,7314.51,746,3,6
772556,808,10967.76,731,3,6
772598,419,15032.04,708,3,6
772562,932,9301.41,627,3,6
771995,745,10326.52,622,3,6
772578,37,9311.72,605,3,6
772554,1305,10550.62,581,3,6
772591,676,11874.04,533,3,6
772199,745,3859.2,505,3,6
772581,1303,7926.18,500,3,6
772647,178,7491.86,480,3,6
772576,1485,13507.26,470,3,6
772583,1306,8476.13,420,3,6
772571,312,10836.37,377,3,6
772602,728,7217.67,355,3,6
772580,129,6811.28,330,3,6
772617,234,4023.4,314,3,6
771994,745,2144.0,281,4,3
772632,897,2728.49,273,4,3
772568,312,6436.15,258,4,3
772644,932,2601.78,257,4,3
772587,164,3873.6,254,4,3
772616,870,3027.91,244,4,3
772582,1306,2110.92,234,4,3
772574,1306,3187.6,226,4,3
772599,686,3123.62,211,4,3
772633,897,2490.34,188,4,3
772624,891,3857.4,180,4,3
772605,89,2814.38,164,4,3
772615,82,2441.89,156,4,3
772634,897,1452.6,155,4,3
772584,129,2253.64,142,4,3
772561,8,1524.65,134,4,3
772579,129,1510.44,132,4,3
772612,154,2707.48,127,4,3
772607,1152,1247.4,113,4,3
772557,808,1660.55,112,4,3
772613,1634,2288.34,90,4,3
772646,1637,2155.55,86,4,3
772606,183,2237.19,85,4,3
772608,307,1249.83,84,4,3
772603,1465,2208.83,74,4,3
772601,227,1372.53,73,4,3
772626,932,1192.06,65,4,3
772572,164,1246.0,61,4,3
772567,957,1518.83,59,4,3
772623,419,1801.95,57,4,3
772565,957,1415.83,53,4,3
772614,213,1254.3,50,4,3
772594,615,1253.81,50,4,3
772620,470,2032.88,49,4,3
772861,183,3158.71,46,4,3
772675,1628,272.58,29,4,3
772676,1628,160.0,20,4,3
768925,1506,3398.4,18,4,3
768926,1506,3398.4,18,4,3
768927,1506,3398.4,18,4,3
768928,1506,3398.4,18,4,3
768929,1506,3398.4,18,4,3
768930,1506,3398.4,18,4,3
768931,1506,3398.4,18,4,3
768932,1506,3398.4,18,4,3
768934,1506,3398.4,18,4,3
768960,1506,2124.0,11,4,3
768967,1506,2124.0,11,4,3
768969,1506,2124.0,11,4,3
768970,1506,2124.0,11,4,3
768976,1506,2124.0,11,4,3
768977,1506,2124.0,11,4,3
768978,1506,2124.0,11,4,3
768979,1506,2124.0,11,4,3
768980,1506,2124.0,11,4,3
768981,1506,2124.0,11,4,3
