,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,51,24523,2017-09-01,3,4,6519.552688172037
1,2,36,22887,2017-09-01,6,12,2607.5388817204293
2,3,18,13160,2017-09-02,5,9,8864.360640860215
3,4,3,13007,2017-09-02,7,13,2408.927081182796
4,5,54,24395,2017-09-06,3,4,23958.358064516215
5,6,33,13999,2017-09-06,1,2,4005.354838709676
6,7,55,24322,2017-09-11,3,4,23088.050537634474
7,8,35,12644,2017-09-12,1,2,4462.258064516128
8,9,29,13220,2017-09-12,5,9,5013.660746236562
9,10,24,13689,2017-09-12,5,9,4908.977529032258
10,11,30,13494,2017-09-12,1,2,3724.8387096774172
11,12,68,21766,2017-09-13,8,14,19939.957092688175
12,13,32,23222,2017-09-14,8,14,20986.243558924736
13,14,25,13100,2017-09-14,5,8,3497.057509677419
14,15,29,21990,2017-09-14,8,14,7596.3758454838735
15,16,6,12704,2017-09-15,1,2,4670.043010752688
16,17,33,29059,2017-09-15,4,6,6423.68387096774
17,18,53,22799,2017-09-18,8,14,21778.77652000001
18,19,38,26640,2017-09-19,3,4,11221.066666666677
19,20,8,12781,2017-09-19,5,8,3029.840410752688
20,21,27,21732,2017-09-19,6,12,2188.395956989247
21,22,31,23354,2017-09-19,2,3,3942.679569892472
22,23,24,12874,2017-09-20,1,2,4738.21505376344
23,24,27,29173,2017-09-20,4,6,6298.767741935485
24,25,22,26336,2017-09-20,3,4,5568.269892473117
25,26,40,25240,2017-09-21,3,4,9737.727956989253
26,27,23,12720,2017-09-21,7,13,5352.007568387098
27,28,38,24307,2017-09-22,3,4,9900.515053763444
28,29,27,21676,2017-09-22,6,12,2077.9144301075266
29,30,39,22161,2017-09-23,6,12,3073.7367204301077
30,31,22,12643,2017-09-23,7,13,5304.957918602151
31,32,10,12823,2017-09-25,7,13,5128.251598924731
32,33,15,29287,2017-09-25,4,6,5881.940860215053
33,34,10,13482,2017-09-26,5,8,3929.44160860215
34,35,24,22064,2017-09-26,8,14,7071.140191397848
35,36,14,13468,2017-09-26,5,8,3412.1444236559137
36,37,23,12676,2017-09-27,7,13,6096.832950322583
37,38,17,23827,2017-09-27,6,11,5874.8259548387105
38,39,27,22730,2017-09-27,2,3,3819.393548387097
39,40,37,21642,2017-09-27,6,12,2580.1605376344082
40,41,22,21945,2017-09-28,6,12,2798.7458064516127
41,42,18,13045,2017-09-28,5,8,3335.234956989247
42,43,36,22240,2017-09-28,6,12,2614.0699032258067
43,44,43,30802,2017-09-28,4,6,6988.852688172039
44,45,24,23068,2017-09-29,8,14,8762.879111290324
45,46,27,22054,2017-09-29,6,12,2198.6070430107525
46,47,26,13076,2017-09-29,7,13,5979.208723225806
47,48,37,25807,2017-09-29,3,4,5890.113978494623
48,49,32,23688,2017-09-30,2,3,4862.402150537637
49,50,54,23437,2017-10-02,6,12,5610.4739247311845
50,51,42,23256,2017-10-03,2,3,8480.090322580656
51,52,35,23174,2017-10-03,2,3,4081.447311827957
52,53,36,24778,2017-10-04,3,4,7038.084946236558
53,54,56,22423,2017-10-05,6,12,5784.453827956989
54,55,33,25425,2017-10-05,3,4,5804.943010752686
55,56,23,22604,2017-10-06,2,3,4482.30107526882
56,57,30,31348,2017-10-06,4,6,6715.444086021506
57,58,58,30464,2017-10-06,4,6,7344.72903225806
58,59,24,13688,2017-10-07,7,13,5767.531661182795
59,60,18,12617,2017-10-07,1,2,2885.354838709678
60,61,52,31896,2017-10-10,4,6,16999.476344086037
61,62,31,22069,2017-10-10,6,12,2477.9059354838705
62,63,17,12716,2017-10-11,1,2,3917.655913978494
63,64,33,22374,2017-10-11,8,14,8470.065437849462
64,65,32,23261,2017-10-11,2,3,3819.8623655913975
65,66,41,22007,2017-10-13,8,14,11717.887952043011
66,67,24,22792,2017-10-13,8,14,7062.23881655914
67,68,7,13765,2017-10-13,5,8,3234.7961397849463
68,69,37,22147,2017-10-13,6,12,2693.143333333334
69,70,55,23762,2017-10-16,2,3,9173.354838709698
70,71,74,24308,2017-10-16,3,4,6890.681720430105
71,72,32,12601,2017-10-17,1,2,3513.376344086021
72,73,31,22898,2017-10-17,6,12,2420.9567096774194
73,74,45,24993,2017-10-17,3,4,5983.7053763440845
74,75,34,22278,2017-10-18,8,14,10560.983034086023
75,76,46,21670,2017-10-18,8,14,10232.371563763441
76,77,15,12622,2017-10-18,5,8,3105.066511827957
77,78,22,25146,2017-10-19,3,4,8402.101075268818
78,79,41,22908,2017-10-19,2,3,4274.855913978495
