pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
768989,1506,1699.2,9,1,8
768991,1506,1699.2,9,1,8
768992,1506,1699.2,9,1,8
768993,1506,1699.2,9,1,8
768960,1506,2124.0,11,1,8
768967,1506,2124.0,11,1,8
768969,1506,2124.0,11,1,8
768970,1506,2124.0,11,1,8
768976,1506,2124.0,11,1,8
768977,1506,2124.0,11,1,8
768978,1506,2124.0,11,1,8
768979,1506,2124.0,11,1,8
768980,1506,2124.0,11,1,8
768981,1506,2124.0,11,1,8
768982,1506,2124.0,11,1,8
768983,1506,2124.0,11,1,8
768984,1506,2124.0,11,1,8
768985,1506,2124.0,11,1,8
768986,1506,2124.0,11,1,8
768987,1506,2124.0,11,1,8
768925,1506,3398.4,18,1,8
768926,1506,3398.4,18,1,8
768927,1506,3398.4,18,1,8
768928,1506,3398.4,18,1,8
768929,1506,3398.4,18,1,8
768930,1506,3398.4,18,1,8
768931,1506,3398.4,18,1,8
768932,1506,3398.4,18,1,8
768934,1506,3398.4,18,1,8
772676,1628,160.0,20,1,8
772675,1628,272.58,29,1,8
772861,183,3158.71,46,1,8
772620,470,2032.88,49,1,8
772614,213,1254.3,50,1,8
772594,615,1253.81,50,1,8
772565,957,1415.83,53,1,8
772623,419,1801.95,57,1,8
772567,957,1518.83,59,1,8
772572,164,1246.0,61,1,8
772626,932,1192.06,65,1,8
772601,227,1372.53,73,1,8
772603,1465,2208.83,74,1,8
772608,307,1249.83,84,1,8
772606,183,2237.19,85,1,8
772646,1637,2155.55,86,1,8
772613,1634,2288.34,90,1,8
772557,808,1660.55,112,1,8
772607,1152,1247.4,113,1,8
772612,154,2707.48,127,1,8
772579,129,1510.44,132,1,8
772561,8,1524.65,134,1,8
772584,129,2253.64,142,1,8
772634,897,1452.6,155,1,8
772615,82,2441.89,156,1,8
772605,89,2814.38,164,1,8
772624,891,3857.4,180,1,8
772633,897,2490.34,188,1,8
772599,686,3123.62,211,1,8
772574,1306,3187.6,226,1,8
772582,1306,2110.92,234,1,8
772616,870,3027.91,244,1,8
772587,164,3873.6,254,1,8
772644,932,2601.78,257,1,8
772568,312,6436.15,258,1,8
772632,897,2728.49,273,1,8
771994,745,2144.0,281,1,8
772617,234,4023.4,314,1,8
772580,129,6811.28,330,1,8
772602,728,7217.67,355,1,8
772571,312,10836.37,377,1,8
772583,1306,8476.13,420,1,8
772576,1485,13507.26,470,1,8
772647,178,7491.86,480,1,8
772581,1303,7926.18,500,1,8
772199,745,3859.2,505,1,8
772591,676,11874.04,533,1,8
772554,1305,10550.62,581,1,8
772578,37,9311.72,605,1,8
771995,745,10326.52,622,1,8
772562,932,9301.41,627,1,8
772598,419,15032.04,708,1,8
772556,808,10967.76,731,1,8
772577,498,7314.51,746,1,8
772648,615,12130.73,748,1,8
772570,1306,10101.74,773,1,8
771996,745,5416.8,806,1,8
772575,684,13717.4,851,1,8
772560,8,15379.1,923,1,8
772589,1380,12773.68,975,1,8
772569,282,22746.73,1343,1,8
772590,1237,10433.4,1399,1,8
772592,1558,25557.67,1419,2,2
772548,1638,11700.52,1431,2,2
772645,957,33225.67,2032,2,2
772635,808,36578.03,2140,2,2
772564,21,21243.3,2393,2,2
772563,710,41296.19,2409,2,2
772559,932,49254.58,2790,2,2
772552,110,55345.86,3038,2,2
772549,1638,23562.92,3361,2,2
772551,1305,60318.45,3583,2,2
772862,183,32745.13,3662,3,8
772555,8,63460.75,4071,3,8
772553,110,61153.34,4078,3,8
772547,1638,36616.69,4880,3,8
772550,1638,84414.2,12472,3,8
772659,1506,424.17,3,3,8
772661,1506,99.57,3,3,8
772660,1506,159.83,6,3,8
772950,36,269.12,28,3,8
772882,129,1236.76,45,3,8
772974,708,1847.98,52,3,8
772960,478,1511.11,81,3,8
772973,708,5593.16,93,3,8
772619,1152,3748.21,116,3,8
772941,1536,2724.94,118,3,8
772929,1381,3412.29,122,3,8
772600,154,4126.53,139,3,8
772955,1354,1454.78,147,3,8
772622,227,5708.49,171,3,8
772611,1139,5020.16,184,3,8
772961,305,2108.61,222,3,8
772949,1620,6014.99,255,3,8
772621,7,9728.51,339,3,8
772876,129,8467.35,350,3,8
772625,673,8419.83,368,3,8
772618,1148,6442.92,370,3,8
772918,1510,6798.53,371,3,8
772609,1385,10092.28,381,3,8
772610,453,8020.33,385,3,8
772604,168,6826.73,401,3,8
772888,767,7921.17,483,3,8
772870,1262,11441.01,622,3,8
772883,137,12212.01,644,3,8
772886,1237,19462.2,670,3,8
772880,305,10511.03,693,3,8
772879,767,17862.65,900,3,8
772881,129,14835.48,1082,3,8
772872,1492,18621.58,1157,4,7
772658,1506,28059.46,1589,4,7
772871,729,15410.52,1611,4,7
772877,529,38828.24,1974,4,7
