pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
772615,82,2441.89,156,1,6
772569,282,22746.73,1343,1,6
772601,227,1372.53,73,1,6
772199,745,3859.2,505,1,6
772861,183,3158.71,46,1,6
772635,808,36578.03,2140,1,6
772583,1306,8476.13,420,1,6
768927,1506,3398.4,18,1,6
772559,932,49254.58,2790,1,6
772648,615,12130.73,748,1,6
768926,1506,3398.4,18,1,6
772584,129,2253.64,142,1,6
772552,110,55345.86,3038,1,6
772594,615,1253.81,50,1,6
772551,1305,60318.45,3583,1,6
772602,728,7217.67,355,1,6
772862,183,32745.13,3662,1,6
772565,957,1415.83,53,1,6
768983,1506,2124.0,11,1,6
768970,1506,2124.0,11,1,6
772623,419,1801.95,57,1,6
772616,870,3027.91,244,1,6
772581,1303,7926.18,500,1,6
768977,1506,2124.0,11,1,6
772598,419,15032.04,708,1,6
772620,470,2032.88,49,1,6
768931,1506,3398.4,18,1,6
768989,1506,1699.2,9,1,6
768929,1506,3398.4,18,1,6
772644,932,2601.78,257,1,6
772591,676,11874.04,533,1,6
772564,21,21243.3,2393,1,6
772614,213,1254.3,50,2,4
772675,1628,272.58,29,2,4
772606,183,2237.19,85,2,4
772570,1306,10101.74,773,2,4
772574,1306,3187.6,226,2,4
771995,745,10326.52,622,2,4
771994,745,2144.0,281,2,4
772563,710,41296.19,2409,2,4
772549,1638,23562.92,3361,2,4
772576,1485,13507.26,470,2,4
772550,1638,84414.2,12472,2,4
772568,312,6436.15,258,2,4
772554,1305,10550.62,581,2,4
772575,684,13717.4,851,2,4
772608,307,1249.83,84,2,4
768980,1506,2124.0,11,2,4
768982,1506,2124.0,11,2,4
772582,1306,2110.92,234,2,4
772645,957,33225.67,2032,2,4
772599,686,3123.62,211,2,4
772624,891,3857.4,180,2,4
772603,1465,2208.83,74,2,4
768979,1506,2124.0,11,2,4
772646,1637,2155.55,86,2,4
772676,1628,160.0,20,2,4
768934,1506,3398.4,18,2,4
772547,1638,36616.69,4880,2,4
772577,498,7314.51,746,3,4
772587,164,3873.6,254,3,4
772553,110,61153.34,4078,3,4
768984,1506,2124.0,11,3,4
768925,1506,3398.4,18,3,4
772560,8,15379.1,923,3,4
768978,1506,2124.0,11,3,4
772626,932,1192.06,65,3,4
772607,1152,1247.4,113,3,4
772592,1558,25557.67,1419,3,4
772567,957,1518.83,59,3,4
772605,89,2814.38,164,3,4
772633,897,2490.34,188,3,4
772578,37,9311.72,605,3,4
768986,1506,2124.0,11,3,4
768932,1506,3398.4,18,3,4
772613,1634,2288.34,90,3,4
768981,1506,2124.0,11,3,4
772647,178,7491.86,480,3,4
772557,808,1660.55,112,3,4
768992,1506,1699.2,9,3,4
768928,1506,3398.4,18,3,4
772579,129,1510.44,132,3,4
768969,1506,2124.0,11,3,4
768987,1506,2124.0,11,3,4
772632,897,2728.49,273,3,4
768967,1506,2124.0,11,3,4
772562,932,9301.41,627,3,4
768985,1506,2124.0,11,3,4
772580,129,6811.28,330,3,4
772555,8,63460.75,4071,3,4
772571,312,10836.37,377,3,4
768976,1506,2124.0,11,3,4
771996,745,5416.8,806,3,4
772548,1638,11700.52,1431,3,4
772612,154,2707.48,127,3,4
768993,1506,1699.2,9,3,4
772590,1237,10433.4,1399,3,4
772589,1380,12773.68,975,3,4
772572,164,1246.0,61,3,4
772617,234,4023.4,314,3,4
768960,1506,2124.0,11,3,4
772556,808,10967.76,731,3,4
772561,8,1524.65,134,3,4
772634,897,1452.6,155,3,4
768991,1506,1699.2,9,3,4
768930,1506,3398.4,18,3,4
772618,1148,6442.92,370,3,4
772882,129,1236.76,45,3,4
772955,1354,1454.78,147,3,4
772600,154,4126.53,139,3,4
772949,1620,6014.99,255,3,4
772880,305,10511.03,693,3,4
772660,1506,159.83,6,3,4
772950,36,269.12,28,3,4
772870,1262,11441.01,622,3,4
772883,137,12212.01,644,3,4
772621,7,9728.51,339,3,4
772973,708,5593.16,93,3,4
772961,305,2108.61,222,3,4
772972,708,68652.4,3537,3,4
772918,1510,6798.53,371,3,4
772619,1152,3748.21,116,3,4
772622,227,5708.49,171,3,4
772658,1506,28059.46,1589,3,4
772974,708,1847.98,52,3,4
772625,673,8419.83,368,3,4
772888,767,7921.17,483,3,4
772604,168,6826.73,401,3,4
772876,129,8467.35,350,3,4
772659,1506,424.17,3,3,4
772872,1492,18621.58,1157,3,4
772886,1237,19462.2,670,3,4
772971,708,197917.73,11466,3,4
772881,129,14835.48,1082,3,4
772941,1536,2724.94,118,3,4
772879,767,17862.65,900,3,4
772609,1385,10092.28,381,3,4
772871,729,15410.52,1611,3,4
772610,453,8020.33,385,3,4
772611,1139,5020.16,184,4,6
772661,1506,99.57,3,4,6
772929,1381,3412.29,122,4,6
772960,478,1511.11,81,4,6
772877,529,38828.24,1974,4,6
772990,617,1398.23,63,4,6
772983,886,2676.43,234,4,6
772939,481,1228.01,31,4,6
772946,487,2141.39,83,4,6
772671,1628,848.69,198,4,6
772988,98,15878.43,1045,4,6
773535,897,11433.06,730,4,6
772999,1429,10556.39,386,4,6
772933,1210,2037.15,127,4,6
773369,337,5193.07,332,4,6
772978,584,7212.85,372,4,6
772896,21,1229.08,89,4,6
773001,615,10345.2,590,4,6
772984,886,1536.46,27,4,6
772977,584,1437.28,37,4,6
772992,617,8330.3,750,4,6
773536,1237,5784.34,535,4,6
772892,1192,6260.7,260,4,6
772959,593,1645.47,76,4,6
772954,584,1256.23,45,4,6
772891,1192,1612.13,131,4,6
772889,1625,2070.19,106,4,6
772922,382,5932.54,173,4,6
772948,8,1105.23,15,4,6
772931,679,1348.35,38,4,6
772890,8,1413.64,42,4,6
773003,615,19029.98,1039,4,6
772920,808,11592.72,502,4,6
772962,36,1832.15,27,4,6
772998,432,2972.02,101,4,6
772985,98,3935.77,198,4,6
772979,584,1225.96,85,4,6
773002,615,7856.71,300,4,6
772943,710,2720.99,101,4,6
772919,432,2446.33,95,4,6
772893,1210,2898.1,57,4,6
773000,1313,5446.75,78,4,6
772855,1491,2162.82,51,4,6
773386,1381,3765.79,187,4,6
772885,325,19625.21,1034,4,6
772894,397,2596.06,182,4,6
772909,1306,2837.61,71,4,6
773004,329,1260.32,29,4,6
773336,1237,70265.92,4070,4,6
772975,584,29036.58,1791,4,6
772927,891,2416.55,113,4,6
772953,1306,1772.45,68,4,6
772866,148,6226.46,213,4,6
772863,584,1332.55,53,4,6
772928,8,2329.94,85,4,6
772932,530,2948.42,70,4,6
772991,617,2821.13,244,4,6
772957,1247,1584.21,102,4,6
772937,615,1354.63,77,4,6
772875,40,2254.24,71,4,6
772947,328,2385.88,74,4,6
772956,1306,1582.02,17,4,6
772930,530,1288.99,48,4,6
772899,753,3313.79,87,4,6
772924,851,2614.31,92,4,6
772976,584,1470.63,66,4,6
772995,1278,3823.98,40,4,6
772897,264,1666.83,136,4,6
772981,584,1230.33,56,4,6
773005,615,3004.63,90,4,6
772907,1210,2321.1,73,4,6
772944,615,4635.0,190,4,6
772940,8,2414.73,49,4,6
772942,1642,1894.64,33,4,6
772923,1369,1932.31,67,4,6
773361,1492,5351.16,157,4,6
772898,11,1348.32,95,4,6
772913,974,1818.64,78,4,6
772935,128,4856.57,172,4,6
772910,728,1344.69,58,4,6
773331,1237,1894.69,66,4,6
773598,1220,15382.97,1121,4,6
772900,337,1698.91,47,4,6
773464,708,3998.36,141,4,6
773481,615,2333.61,94,4,6
772887,40,2406.59,74,4,6
773329,329,13833.99,946,4,6
772902,1210,1791.14,135,4,6
773330,1237,2540.59,112,4,6
772912,238,2099.34,33,4,6
772989,98,1845.11,126,4,6
772921,140,1253.02,38,4,6
772917,432,1505.42,51,4,6
772945,177,4052.57,189,4,6
773393,1303,1527.65,113,4,6
773430,173,15112.95,282,4,6
773362,371,32288.41,2224,4,6
772916,738,2505.9,70,4,6
772938,1306,2082.28,72,4,6
772980,584,16836.73,922,4,6
773537,808,3367.89,296,4,6
773484,282,6932.29,327,4,6
773372,1381,3502.39,98,4,6
773351,1492,30308.15,1343,4,6
773541,179,1223.93,112,4,6
773359,1306,1446.0,153,4,6
773335,329,2630.94,137,4,6
773353,1492,1574.9,48,4,6
773354,1364,39550.44,2171,4,6
773356,371,1725.73,44,4,6
773549,1192,1573.09,75,4,6
772915,1192,1216.18,99,4,6
772925,1542,2334.34,68,4,6
773387,110,5089.89,307,4,6
773341,1492,3493.51,114,4,6
773339,329,12779.69,637,4,6
773463,290,2104.12,179,4,6
773333,329,1581.43,51,4,6
773328,1237,2530.69,69,4,6
772926,1306,2182.19,67,4,6
773420,179,1502.59,87,4,6
772908,1192,1356.38,49,4,6
773440,1170,1389.01,97,4,6
772878,40,14567.76,578,4,6
772657,1628,2194.14,221,4,6
772874,71,1793.72,8,4,6
773540,179,3128.0,141,4,6
773538,897,5053.09,189,4,6
773428,708,3172.78,106,4,6
773587,1278,2496.0,226,4,6
772903,432,1596.8,37,4,6
773487,356,2057.04,169,4,6
773345,1492,9231.26,462,4,6
772982,886,18465.55,1284,4,6
772906,481,6205.28,232,4,6
772911,1369,2184.55,261,4,6
772952,432,2362.32,61,4,6
772904,679,2440.07,32,4,6
773338,30,58797.3,2931,4,6
772936,227,1419.3,65,4,6
773332,329,12756.12,811,4,6
772901,844,5245.57,303,5,1
773349,1306,5483.09,122,5,1
773324,329,1411.71,60,5,1
773402,957,4736.73,177,5,1
773398,178,3776.88,135,5,1
773542,1639,4474.56,225,5,1
773410,957,1470.24,58,5,1
773377,676,13883.86,993,5,1
773452,729,1472.22,88,5,1
773347,1306,4383.24,153,5,1
773413,199,2519.51,101,5,1
773388,838,15850.47,754,5,1
773407,615,1716.48,77,5,1
773476,1354,1416.7,89,5,1
773395,676,1766.16,61,5,1
773370,337,2525.2,83,5,1
773531,1628,1579.45,89,5,1
773374,59,32851.66,1951,5,1
773406,540,1448.6,49,5,1
773352,1306,2655.3,175,5,1
773384,1192,3499.78,96,5,1
773429,21,1700.31,66,5,1
773485,744,1827.07,109,5,1
773497,756,2711.46,60,5,1
773509,953,1755.81,31,5,1
773805,1217,37641.65,1964,5,1
773517,201,1145.02,38,5,1
773788,729,11491.92,469,5,1
773436,1229,2012.56,70,5,1
773414,735,1830.07,56,5,1
773350,1306,1760.73,42,5,1
773343,1306,20798.56,862,5,1
773475,122,2372.44,55,5,1
773490,66,1654.88,65,5,1
773786,238,63427.32,2534,5,1
773492,530,1685.34,68,5,1
773342,1306,2988.34,113,5,1
773312,1515,2176.22,72,5,1
773515,1274,2763.46,72,5,1
773394,285,9215.68,539,5,1
773871,1406,63386.58,4174,6,8
773383,1303,2371.55,80,6,8
773505,801,1248.33,45,6,8
773439,168,9954.35,511,6,8
773495,382,1412.62,44,6,8
773548,329,6065.45,329,6,8
773390,1192,4551.05,169,6,8
773865,897,30001.5,1653,6,8
773460,191,2062.17,122,6,8
773499,710,2387.41,61,6,8
773510,498,1423.24,39,6,8
773450,183,2925.06,159,6,8
773589,1287,12013.31,828,6,8
773496,391,1589.22,48,6,8
773468,1563,6220.79,158,6,8
773422,1229,2744.24,69,6,8
773357,1306,4365.88,120,6,8
773449,1187,4189.39,135,6,8
773403,178,1289.98,43,6,8
773378,467,14948.63,973,6,8
773519,1214,1266.32,47,6,8
773498,284,1857.25,52,6,8
773479,124,12396.08,450,6,8
773514,738,1257.49,27,6,8
773547,329,2254.16,73,6,8
773396,615,1219.63,48,6,8
773539,897,1213.49,12,6,8
773389,110,6904.02,403,6,8
773494,932,2633.29,39,6,8
773467,214,10200.72,571,6,8
773457,468,3490.99,117,6,8
773488,60,1647.09,54,6,8
773408,21,27643.98,2107,6,8
773375,1381,14667.0,821,6,8
773360,1306,3115.59,67,6,8
773473,1112,3529.86,204,6,8
773380,1303,2110.65,59,6,8
773453,416,5557.11,190,6,8
773313,1515,3386.6,105,6,8
773465,21,1342.84,48,6,8
773800,579,27636.44,1880,6,8
773591,1287,1969.74,146,6,8
773507,142,1371.71,44,6,8
773409,957,1234.66,53,6,8
773789,729,30612.47,1990,6,8
773419,808,1288.47,43,6,8
773512,514,2838.59,72,6,8
773417,172,2035.35,67,6,8
773412,728,1697.93,68,6,8
773363,1192,2268.95,120,6,8
773480,1380,3697.61,130,6,8
773486,139,3231.87,148,6,8
773500,653,1290.58,73,6,8
773590,1287,1339.47,110,6,8
773545,957,1788.8,69,6,8
773438,897,2298.16,56,6,8
773518,7,1390.28,41,6,8
773455,767,2311.87,55,6,8
773368,1524,1887.27,70,6,8
773355,1306,1983.86,54,6,8
773543,615,1608.67,86,6,8
773437,234,3125.39,177,6,8
773503,171,1204.11,29,6,8
773489,51,2116.49,72,6,8
773317,1619,1241.8,47,6,8
773504,227,1950.11,36,6,8
773508,1304,1292.37,39,6,8
773348,1306,5643.86,164,6,8
773474,565,5596.73,385,6,8
773477,282,2098.43,56,6,8
773790,129,41490.98,2471,7,2
773316,1515,2537.62,42,7,2
773364,40,4432.97,213,7,2
773472,529,2070.14,89,7,2
773803,1385,27731.47,1582,7,2
773458,735,1405.43,49,7,2
773785,238,27184.37,1246,7,2
773456,282,2540.34,102,7,2
773443,139,5080.6,296,7,2
773404,540,1666.33,48,7,2
773392,40,7055.45,382,7,2
773466,520,2581.82,165,7,2
773491,8,1347.94,58,7,2
