,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,772615,2017-09-01,2017-09-01,2017-09-01,1,82,6,12,2441.89,49.8424623655914
1,772569,2017-09-01,2017-09-01,2017-09-01,1,282,6,12,22746.73,108.43433333333334
2,772601,2017-09-01,2017-09-01,2017-09-01,1,227,6,12,1372.53,46.122290322580646
3,772199,2017-09-01,2017-09-01,2017-09-01,1,745,6,12,3859.2,62.1741935483871
4,772861,2017-09-01,2017-09-01,2017-09-01,1,183,6,12,3158.71,47.20678494623656
5,772635,2017-09-01,2017-09-01,2017-09-01,1,808,6,12,36578.03,147.98798924731184
6,772583,2017-09-01,2017-09-01,2017-09-01,1,1306,6,12,8476.13,64.50637634408602
7,768927,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,3398.4,46.59741935483871
8,772559,2017-09-01,2017-09-01,2017-09-01,1,932,6,12,49254.58,181.74772043010756
9,772648,2017-09-01,2017-09-01,2017-09-01,1,615,6,12,12130.73,78.59347311827958
10,768926,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,3398.4,46.59741935483871
11,772584,2017-09-01,2017-09-01,2017-09-01,1,129,6,12,2253.64,49.20649462365592
12,772552,2017-09-01,2017-09-01,2017-09-01,1,110,6,12,55345.86,195.9774838709677
13,772594,2017-09-01,2017-09-01,2017-09-01,1,615,6,12,1253.81,45.28237634408602
14,772551,2017-09-01,2017-09-01,2017-09-01,1,1305,6,12,60318.45,218.2017741935484
15,772602,2017-09-01,2017-09-01,2017-09-01,1,728,6,12,7217.67,61.14029032258065
16,772862,2017-09-01,2017-09-01,2017-09-01,1,183,6,12,32745.13,190.99949462365592
17,772565,2017-09-01,2017-09-01,2017-09-01,1,957,6,12,1415.83,45.54949462365592
18,768983,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
19,768970,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
20,772623,2017-09-01,2017-09-01,2017-09-01,1,419,6,12,1801.95,46.08854838709678
21,772616,2017-09-01,2017-09-01,2017-09-01,1,870,6,12,3027.91,53.197752688172045
22,772581,2017-09-01,2017-09-01,2017-09-01,1,1303,6,12,7926.18,66.39245161290323
23,768977,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
24,772598,2017-09-01,2017-09-01,2017-09-01,1,419,6,12,15032.04,80.47445161290322
25,772620,2017-09-01,2017-09-01,2017-09-01,1,470,6,12,2032.88,46.089118279569895
26,768931,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,3398.4,46.59741935483871
27,768989,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,1699.2,44.49161290322581
28,768929,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,3398.4,46.59741935483871
29,772644,2017-09-01,2017-09-01,2017-09-01,1,932,6,12,2601.78,53.14212903225806
30,772591,2017-09-01,2017-09-01,2017-09-01,1,676,6,12,11874.04,71.65939784946237
31,772564,2017-09-01,2017-09-01,2017-09-01,1,21,6,12,21243.3,139.33387096774194
32,772614,2017-09-01,2017-09-01,2017-09-01,2,213,4,6,1254.3,59.13978494623656
33,772675,2017-09-01,2017-09-01,2017-09-01,2,1628,4,6,272.58,59.13978494623656
34,772606,2017-09-01,2017-09-01,2017-09-01,2,183,4,6,2237.19,59.13978494623656
35,772570,2017-09-01,2017-09-01,2017-09-01,2,1306,4,6,10101.74,170.6763440860215
36,772574,2017-09-01,2017-09-01,2017-09-01,2,1306,4,6,3187.6,59.13978494623656
37,771995,2017-09-01,2017-09-01,2017-09-01,2,745,4,6,10326.52,142.58709677419355
38,771994,2017-09-01,2017-09-01,2017-09-01,2,745,4,6,2144.0,59.13978494623656
39,772563,2017-09-01,2017-09-01,2017-09-01,2,710,4,6,41296.19,475.0075268817204
40,772549,2017-09-01,2017-09-01,2017-09-01,2,1638,4,6,23562.92,652.1
41,772576,2017-09-01,2017-09-01,2017-09-01,2,1485,4,6,13507.26,114.31182795698923
42,772550,2017-09-01,2017-09-01,2017-09-01,2,1638,4,6,84414.2,2346.941935483871
