,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,92,23387,2017-09-01,2,3,6820.139784946249
1,2,9,23177,2017-09-01,8,14,4981.882621075269
2,3,33,22316,2017-09-02,8,14,11135.671945376342
3,4,26,12643,2017-09-04,7,13,7161.873588387095
4,5,68,22228,2017-09-05,6,12,6781.553010752688
5,6,138,12645,2017-09-06,1,2,8192.709677419343
6,7,31,25482,2017-09-06,3,4,5573.533333333332
7,8,3,13012,2017-09-08,5,8,5585.622825806452
8,9,61,23647,2017-09-11,2,3,12557.868817204326
9,10,131,22145,2017-09-12,6,12,6985.301924731188
10,11,11,13807,2017-09-12,1,2,2968.021505376344
11,12,5,12664,2017-09-12,1,1,1788.9935483870968
12,13,135,29677,2017-09-13,4,6,15185.532258064573
13,14,88,24332,2017-09-14,3,4,11476.510752688182
14,15,33,22674,2017-09-15,2,3,6846.397849462374
15,16,4,22254,2017-09-16,6,11,9576.924505376344
16,17,74,31732,2017-09-18,4,6,13216.184946236584
17,18,89,24441,2017-09-19,3,4,10293.45053763442
18,19,12,13144,2017-09-19,1,2,2866.5806451612902
19,20,12,22418,2017-09-19,8,14,5361.6429027957
20,21,9,26874,2017-09-19,3,4,5241.077419354839
21,22,60,23202,2017-09-20,2,3,6438.316129032268
22,23,11,13647,2017-09-20,7,13,3771.6305098924736
23,24,10,25450,2017-09-20,3,4,5003.064516129032
24,25,58,12714,2017-09-21,1,2,6538.516129032251
25,26,25,12754,2017-09-21,7,13,5693.473107741937
26,27,51,22074,2017-09-22,6,12,4846.3100215053755
27,28,64,29824,2017-09-23,4,6,13119.102150537663
28,29,25,31366,2017-09-25,4,6,10131.531182795698
29,30,2,13652,2017-09-25,7,13,2421.723022580645
30,31,45,23439,2017-09-26,8,14,10166.688623010752
31,32,6,13906,2017-09-26,1,1,1971.909677419355
32,33,90,23185,2017-09-27,2,3,7826.363440860237
33,34,6,13799,2017-09-28,5,8,6152.404397849464
34,35,23,12695,2017-09-28,5,8,3510.2860150537645
35,36,34,21667,2017-09-28,6,12,2457.4482365591393
36,37,43,24758,2017-09-28,3,4,5663.596774193548
37,38,9,13481,2017-09-28,1,2,2851.1612903225805
38,39,10,23923,2017-09-28,8,14,5290.201179247311
39,40,8,26954,2017-09-28,3,4,5229.077419354839
40,41,3,13181,2017-09-28,5,7,2766.507393548387
41,42,25,21695,2017-09-29,6,11,7362.549131182795
42,43,45,29830,2017-09-29,4,6,6561.206451612904
43,44,58,30612,2017-09-29,4,6,7462.490322580641
44,45,45,12724,2017-09-30,1,2,3843.0322580645143
45,46,9,13464,2017-09-30,7,13,3536.84996483871
46,47,70,12645,2017-10-02,7,13,13416.941590322582
47,48,23,24321,2017-10-02,2,3,3527.3354838709683
48,49,65,12733,2017-10-03,5,9,8042.669774193553
49,50,20,22775,2017-10-03,8,14,6583.86850139785
50,51,6,13139,2017-10-03,5,7,2830.8707698924736
51,52,55,21630,2017-10-04,8,14,11979.339252580643
52,53,12,21849,2017-10-04,8,14,5267.881180967743
53,54,94,22289,2017-10-05,8,14,16826.32042268817
54,55,45,12688,2017-10-06,1,2,6345.0752688172
55,56,14,12900,2017-10-06,5,8,3167.0393376344077
56,57,25,12758,2017-10-06,5,9,4753.30350107527
57,58,19,23899,2017-10-06,2,3,3413.395698924732
58,59,51,24488,2017-10-07,3,4,10537.840860215074
59,60,25,23244,2017-10-07,2,3,3373.430107526881
60,61,72,24345,2017-10-10,3,4,14168.389247311841
61,62,16,23818,2017-10-10,6,11,5853.907507526883
62,63,64,12653,2017-10-11,7,13,13229.825998494622
63,64,25,30049,2017-10-11,4,6,6261.803225806454
