,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,771994,2017-09-01,2017-09-01,2017-09-01,1,745,7,13,2144.0,188.0900215053764
1,772578,2017-09-01,2017-09-01,2017-09-01,1,37,7,13,9311.72,242.43789634408608
2,772607,2017-09-01,2017-09-01,2017-09-01,1,1152,7,13,1247.4,163.33608817204302
3,772675,2017-09-01,2017-09-01,2017-09-01,1,1628,7,13,272.58,67.03012408602152
4,772599,2017-09-01,2017-09-01,2017-09-01,1,686,7,13,3123.62,179.42009741935485
5,772584,2017-09-01,2017-09-01,2017-09-01,1,129,7,13,2253.64,168.6436701075269
6,772606,2017-09-01,2017-09-01,2017-09-01,1,183,7,13,2237.19,180.5570158064516
7,772594,2017-09-01,2017-09-01,2017-09-01,1,615,7,13,1253.81,68.22237129032258
8,772554,2017-09-01,2017-09-01,2017-09-01,1,1305,7,13,10550.62,240.56258129032256
9,771995,2017-09-01,2017-09-01,2017-09-01,1,745,7,13,10326.52,246.0655565591398
10,772570,2017-09-01,2017-09-01,2017-09-01,1,1306,7,13,10101.74,267.0623292473119
11,772548,2017-09-01,2017-09-01,2017-09-01,1,1638,7,13,11700.52,361.6909544086022
12,772647,2017-09-01,2017-09-01,2017-09-01,1,178,7,13,7491.86,222.6191417204301
13,768980,2017-09-01,2017-09-01,2017-09-01,1,1506,7,13,2124.0,69.27969892473119
14,772547,2017-09-01,2017-09-01,2017-09-01,1,1638,7,13,36616.69,877.7923222580645
15,768978,2017-09-01,2017-09-01,2017-09-01,1,1506,7,13,2124.0,69.27969892473119
16,772559,2017-09-01,2017-09-01,2017-09-01,1,932,7,13,49254.58,598.7501886021505
17,772613,2017-09-01,2017-09-01,2017-09-01,2,1634,6,12,2288.34,47.633483870967744
18,772601,2017-09-01,2017-09-01,2017-09-01,2,227,6,12,1372.53,46.122290322580646
19,772612,2017-09-01,2017-09-01,2017-09-01,2,154,6,12,2707.48,49.22997849462366
20,772579,2017-09-01,2017-09-01,2017-09-01,2,129,6,12,1510.44,48.097677419354845
21,772617,2017-09-01,2017-09-01,2017-09-01,2,234,6,12,4023.4,56.43591397849463
22,768934,2017-09-01,2017-09-01,2017-09-01,2,1506,6,12,3398.4,46.59741935483871
23,768970,2017-09-01,2017-09-01,2017-09-01,2,1506,6,12,2124.0,45.010322580645166
