,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,772647,2017-09-01,2017-09-01,2017-09-01,1,178,3,4,7491.86,116.17204301075267
1,772613,2017-09-01,2017-09-01,2017-09-01,1,1634,3,4,2288.34,59.13978494623656
2,772592,2017-09-01,2017-09-01,2017-09-01,1,1558,3,4,25557.67,290.8462365591397
3,772624,2017-09-01,2017-09-01,2017-09-01,1,891,3,4,3857.4,59.13978494623656
4,772591,2017-09-01,2017-09-01,2017-09-01,1,676,3,4,11874.04,126.03118279569892
5,772569,2017-09-01,2017-09-01,2017-09-01,1,282,3,4,22746.73,276.7086021505376
6,772555,2017-09-01,2017-09-01,2017-09-01,1,8,3,4,63460.75,784.1752688172043
7,768934,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,3398.4,59.13978494623656
8,772862,2017-09-01,2017-09-01,2017-09-01,1,183,3,4,32745.13,708.0924731182796
9,772572,2017-09-01,2017-09-01,2017-09-01,1,164,3,4,1246.0,59.13978494623656
10,768982,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,2124.0,59.13978494623656
11,772614,2017-09-01,2017-09-01,2017-09-01,1,213,3,4,1254.3,59.13978494623656
12,772583,2017-09-01,2017-09-01,2017-09-01,1,1306,3,4,8476.13,105.01075268817203
13,772676,2017-09-01,2017-09-01,2017-09-01,1,1628,3,4,160.0,59.13978494623656
14,768992,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,1699.2,59.13978494623656
15,772616,2017-09-01,2017-09-01,2017-09-01,1,870,3,4,3027.91,59.13978494623656
16,772577,2017-09-01,2017-09-01,2017-09-01,1,498,3,4,7314.51,165.65376344086022
17,772582,2017-09-01,2017-09-01,2017-09-01,1,1306,3,4,2110.92,59.13978494623656
18,772556,2017-09-01,2017-09-01,2017-09-01,1,808,3,4,10967.76,162.86344086021506
19,772601,2017-09-01,2017-09-01,2017-09-01,1,227,3,4,1372.53,59.13978494623656
20,768980,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,2124.0,59.13978494623656
21,768989,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,1699.2,59.13978494623656
22,772620,2017-09-01,2017-09-01,2017-09-01,1,470,3,4,2032.88,59.13978494623656
23,768927,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,3398.4,59.13978494623656
24,768967,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,2124.0,59.13978494623656
25,772635,2017-09-01,2017-09-01,2017-09-01,1,808,3,4,36578.03,424.96774193548384
26,772576,2017-09-01,2017-09-01,2017-09-01,1,1485,3,4,13507.26,114.31182795698923
27,768929,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,3398.4,59.13978494623656
28,772648,2017-09-01,2017-09-01,2017-09-01,1,615,3,4,12130.73,166.0258064516129
29,772605,2017-09-01,2017-09-01,2017-09-01,1,89,3,4,2814.38,59.13978494623656
30,768983,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,2124.0,59.13978494623656
31,772617,2017-09-01,2017-09-01,2017-09-01,1,234,3,4,4023.4,59.13978494623656
32,768932,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,3398.4,59.13978494623656
33,772557,2017-09-01,2017-09-01,2017-09-01,1,808,3,4,1660.55,59.13978494623656
34,772581,2017-09-01,2017-09-01,2017-09-01,1,1303,3,4,7926.18,119.89247311827958
35,772563,2017-09-01,2017-09-01,2017-09-01,1,710,3,4,41296.19,475.0075268817204
36,768991,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,1699.2,59.13978494623656
37,768969,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,2124.0,59.13978494623656
38,772599,2017-09-01,2017-09-01,2017-09-01,1,686,3,4,3123.62,59.13978494623656
39,772548,2017-09-01,2017-09-01,2017-09-01,1,1638,3,4,11700.52,293.0784946236559
40,772632,2017-09-01,2017-09-01,2017-09-01,1,897,3,4,2728.49,59.13978494623656
41,772199,2017-09-01,2017-09-01,2017-09-01,1,745,3,4,3859.2,120.8225806451613
42,772634,2017-09-01,2017-09-01,2017-09-01,1,897,3,4,1452.6,59.13978494623656
43,768981,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,2124.0,59.13978494623656
44,772565,2017-09-01,2017-09-01,2017-09-01,1,957,3,4,1415.83,59.13978494623656
45,772608,2017-09-01,2017-09-01,2017-09-01,1,307,3,4,1249.83,59.13978494623656
46,768960,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,2124.0,59.13978494623656
47,768987,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,2124.0,59.13978494623656
48,768926,2017-09-01,2017-09-01,2017-09-01,1,1506,3,4,3398.4,59.13978494623656
49,772646,2017-09-01,2017-09-01,2017-09-01,1,1637,3,4,2155.55,59.13978494623656
50,772644,2017-09-01,2017-09-01,2017-09-01,1,932,3,4,2601.78,59.13978494623656
51,772552,2017-09-01,2017-09-01,2017-09-01,2,110,6,12,55345.86,195.9774838709677
52,772575,2017-09-01,2017-09-01,2017-09-01,2,684,6,12,13717.4,83.48924731182797
53,768985,2017-09-01,2017-09-01,2017-09-01,2,1506,6,12,2124.0,45.010322580645166
