,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,768989,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,1699.2,44.49161290322581
1,768991,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,1699.2,44.49161290322581
2,768992,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,1699.2,44.49161290322581
3,768993,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,1699.2,44.49161290322581
4,768960,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
5,768967,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
6,768969,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
7,768970,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
8,768976,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
9,768977,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
10,768978,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
11,768979,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
12,768980,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
13,768981,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
14,768982,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
15,768983,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
16,768984,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
17,768985,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
18,768986,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
19,768987,2017-09-01,2017-09-01,2017-09-01,1,1506,6,12,2124.0,45.010322580645166
