pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
772550,1638,84414.2,12472,1,5
772548,1638,11700.52,1431,1,5
772547,1638,36616.69,4880,2,7
772553,110,61153.34,4078,2,7
772555,8,63460.75,4071,2,7
772862,183,32745.13,3662,3,8
772551,1305,60318.45,3583,3,8
772549,1638,23562.92,3361,3,8
772552,110,55345.86,3038,3,8
772559,932,49254.58,2790,3,8
772563,710,41296.19,2409,3,8
772564,21,21243.3,2393,3,8
772635,808,36578.03,2140,3,8
772645,957,33225.67,2032,4,6
772592,1558,25557.67,1419,4,6
772590,1237,10433.4,1399,4,6
772569,282,22746.73,1343,4,6
772589,1380,12773.68,975,4,6
772560,8,15379.1,923,4,6
772575,684,13717.4,851,4,6
771996,745,5416.8,806,4,6
772570,1306,10101.74,773,4,6
772648,615,12130.73,748,4,6
772577,498,7314.51,746,4,6
772556,808,10967.76,731,4,6
772598,419,15032.04,708,4,6
772562,932,9301.41,627,4,6
771995,745,10326.52,622,4,6
772578,37,9311.72,605,4,6
772554,1305,10550.62,581,4,6
772591,676,11874.04,533,4,6
772199,745,3859.2,505,4,6
772581,1303,7926.18,500,4,6
772647,178,7491.86,480,4,6
772576,1485,13507.26,470,4,6
772583,1306,8476.13,420,4,6
772571,312,10836.37,377,4,6
772602,728,7217.67,355,4,6
772580,129,6811.28,330,4,6
772617,234,4023.4,314,4,6
771994,745,2144.0,281,4,6
772632,897,2728.49,273,4,6
772568,312,6436.15,258,4,6
772644,932,2601.78,257,4,6
772587,164,3873.6,254,4,6
772616,870,3027.91,244,4,6
772582,1306,2110.92,234,5,1
772574,1306,3187.6,226,5,1
772599,686,3123.62,211,5,1
772633,897,2490.34,188,5,1
772624,891,3857.4,180,5,1
772605,89,2814.38,164,5,1
772615,82,2441.89,156,5,1
772634,897,1452.6,155,5,1
772584,129,2253.64,142,5,1
772561,8,1524.65,134,5,1
772579,129,1510.44,132,5,1
772612,154,2707.48,127,5,1
772607,1152,1247.4,113,5,1
772557,808,1660.55,112,5,1
772613,1634,2288.34,90,5,1
772646,1637,2155.55,86,5,1
772606,183,2237.19,85,5,1
772608,307,1249.83,84,5,1
772603,1465,2208.83,74,5,1
772601,227,1372.53,73,5,1
772626,932,1192.06,65,5,1
772572,164,1246.0,61,5,1
772567,957,1518.83,59,5,1
772623,419,1801.95,57,5,1
772565,957,1415.83,53,5,1
772614,213,1254.3,50,5,1
772594,615,1253.81,50,5,1
772620,470,2032.88,49,5,1
772861,183,3158.71,46,5,1
772675,1628,272.58,29,5,1
772676,1628,160.0,20,5,1
768925,1506,3398.4,18,5,1
768926,1506,3398.4,18,5,1
768927,1506,3398.4,18,5,1
768928,1506,3398.4,18,5,1
768929,1506,3398.4,18,5,1
768930,1506,3398.4,18,5,1
768931,1506,3398.4,18,5,1
768932,1506,3398.4,18,5,1
768934,1506,3398.4,18,5,1
768960,1506,2124.0,11,5,1
768967,1506,2124.0,11,5,1
768969,1506,2124.0,11,5,1
768970,1506,2124.0,11,5,1
768976,1506,2124.0,11,5,1
768977,1506,2124.0,11,5,1
768978,1506,2124.0,11,5,1
768979,1506,2124.0,11,5,1
768980,1506,2124.0,11,5,1
768981,1506,2124.0,11,5,1
768982,1506,2124.0,11,5,1
768983,1506,2124.0,11,5,1
768984,1506,2124.0,11,5,1
768985,1506,2124.0,11,5,1
768986,1506,2124.0,11,5,1
768987,1506,2124.0,11,5,1
768989,1506,1699.2,9,5,1
768991,1506,1699.2,9,5,1
768992,1506,1699.2,9,5,1
768993,1506,1699.2,9,5,1
772971,708,197917.73,11466,5,1
772877,529,38828.24,1974,5,1
772972,708,68652.4,3537,6,6
772871,729,15410.52,1611,6,6
772658,1506,28059.46,1589,6,6
772872,1492,18621.58,1157,6,6
772881,129,14835.48,1082,6,6
772879,767,17862.65,900,6,6
772880,305,10511.03,693,6,6
772886,1237,19462.2,670,6,6
772883,137,12212.01,644,6,6
772870,1262,11441.01,622,6,6
772888,767,7921.17,483,6,6
772604,168,6826.73,401,6,6
772610,453,8020.33,385,6,6
772609,1385,10092.28,381,6,6
772918,1510,6798.53,371,6,6
772618,1148,6442.92,370,6,6
772625,673,8419.83,368,6,6
772876,129,8467.35,350,6,6
772621,7,9728.51,339,6,6
772949,1620,6014.99,255,6,6
772961,305,2108.61,222,6,6
772611,1139,5020.16,184,6,6
772622,227,5708.49,171,6,6
772955,1354,1454.78,147,6,6
772600,154,4126.53,139,6,6
772929,1381,3412.29,122,6,6
772941,1536,2724.94,118,6,6
772619,1152,3748.21,116,6,6
772973,708,5593.16,93,6,6
772960,478,1511.11,81,6,6
772974,708,1847.98,52,6,6
772882,129,1236.76,45,6,6
772950,36,269.12,28,6,6
772660,1506,159.83,6,6,6
772659,1506,424.17,3,6,6
772661,1506,99.57,3,6,6
773336,1237,70265.92,4070,6,6
772975,584,29036.58,1791,6,6
772988,98,15878.43,1045,6,6
773003,615,19029.98,1039,6,6
772885,325,19625.21,1034,6,6
772992,617,8330.3,750,6,6
773535,897,11433.06,730,6,6
773001,615,10345.2,590,6,6
773536,1237,5784.34,535,6,6
772920,808,11592.72,502,6,6
772999,1429,10556.39,386,6,6
772978,584,7212.85,372,6,6
773369,337,5193.07,332,6,6
773002,615,7856.71,300,6,6
772892,1192,6260.7,260,6,6
772991,617,2821.13,244,6,6
772983,886,2676.43,234,6,6
772866,148,6226.46,213,6,6
772671,1628,848.69,198,6,6
772985,98,3935.77,198,6,6
772944,615,4635.0,190,6,6
773386,1381,3765.79,187,6,6
772894,397,2596.06,182,6,6
772922,382,5932.54,173,6,6
772897,264,1666.83,136,6,6
772891,1192,1612.13,131,6,6
772933,1210,2037.15,127,6,6
772927,891,2416.55,113,6,6
772889,1625,2070.19,106,6,6
772957,1247,1584.21,102,6,6
772998,432,2972.02,101,6,6
772943,710,2720.99,101,6,6
772919,432,2446.33,95,6,6
772924,851,2614.31,92,6,6
773005,615,3004.63,90,6,6
772896,21,1229.08,89,6,6
772899,753,3313.79,87,6,6
772928,8,2329.94,85,6,6
772979,584,1225.96,85,6,6
772946,487,2141.39,83,6,6
773000,1313,5446.75,78,6,6
772937,615,1354.63,77,6,6
772959,593,1645.47,76,6,6
772947,328,2385.88,74,6,6
772907,1210,2321.1,73,6,6
772875,40,2254.24,71,6,6
772909,1306,2837.61,71,6,6
772932,530,2948.42,70,6,6
772953,1306,1772.45,68,6,6
772976,584,1470.63,66,6,6
772990,617,1398.23,63,6,6
772893,1210,2898.1,57,6,6
772981,584,1230.33,56,6,6
772863,584,1332.55,53,6,6
772855,1491,2162.82,51,6,6
772940,8,2414.73,49,6,6
772930,530,1288.99,48,6,6
772954,584,1256.23,45,6,6
772890,8,1413.64,42,6,6
772995,1278,3823.98,40,6,6
772931,679,1348.35,38,6,6
772977,584,1437.28,37,6,6
772942,1642,1894.64,33,6,6
772939,481,1228.01,31,6,6
773004,329,1260.32,29,6,6
772962,36,1832.15,27,6,6
772984,886,1536.46,27,6,6
772956,1306,1582.02,17,6,6
772948,8,1105.23,15,6,6
773338,30,58797.3,2931,6,6
773362,371,32288.41,2224,6,6
773354,1364,39550.44,2171,6,6
773351,1492,30308.15,1343,6,6
772982,886,18465.55,1284,6,6
773598,1220,15382.97,1121,6,6
773329,329,13833.99,946,6,6
772980,584,16836.73,922,6,6
773332,329,12756.12,811,6,6
773339,329,12779.69,637,6,6
772878,40,14567.76,578,6,6
773345,1492,9231.26,462,6,6
773484,282,6932.29,327,6,6
773387,110,5089.89,307,6,6
772901,844,5245.57,303,6,6
773537,808,3367.89,296,6,6
773430,173,15112.95,282,6,6
772911,1369,2184.55,261,6,6
772906,481,6205.28,232,6,6
773587,1278,2496.0,226,6,6
772657,1628,2194.14,221,6,6
772945,177,4052.57,189,6,6
773538,897,5053.09,189,6,6
773463,290,2104.12,179,6,6
772935,128,4856.57,172,6,6
773487,356,2057.04,169,6,6
773361,1492,5351.16,157,6,6
773359,1306,1446.0,153,6,6
773540,179,3128.0,141,6,6
773464,708,3998.36,141,6,6
773335,329,2630.94,137,6,6
772902,1210,1791.14,135,6,6
772989,98,1845.11,126,6,6
773341,1492,3493.51,114,6,6
773393,1303,1527.65,113,6,6
773330,1237,2540.59,112,6,6
773541,179,1223.93,112,6,6
773428,708,3172.78,106,6,6
772915,1192,1216.18,99,6,6
773372,1381,3502.39,98,6,6
773440,1170,1389.01,97,6,6
772898,11,1348.32,95,6,6
773481,615,2333.61,94,6,6
773420,179,1502.59,87,6,6
772913,974,1818.64,78,6,6
773549,1192,1573.09,75,6,6
772887,40,2406.59,74,6,6
772938,1306,2082.28,72,6,6
772916,738,2505.9,70,6,6
773328,1237,2530.69,69,6,6
772925,1542,2334.34,68,6,6
772926,1306,2182.19,67,6,6
772923,1369,1932.31,67,6,6
773331,1237,1894.69,66,6,6
772936,227,1419.3,65,7,7
772952,432,2362.32,61,7,7
772910,728,1344.69,58,7,7
773333,329,1581.43,51,7,7
772917,432,1505.42,51,7,7
772908,1192,1356.38,49,7,7
773353,1492,1574.9,48,7,7
772900,337,1698.91,47,7,7
773356,371,1725.73,44,7,7
772921,140,1253.02,38,7,7
772903,432,1596.8,37,7,7
772912,238,2099.34,33,7,7
772904,679,2440.07,32,7,7
772874,71,1793.72,8,7,7
773546,329,48102.38,4693,7,7
773871,1406,63386.58,4174,7,7
773784,1305,52589.38,4145,7,7
773786,238,63427.32,2534,8,1
773790,129,41490.98,2471,8,1
773408,21,27643.98,2107,8,1
773789,729,30612.47,1990,8,1
773805,1217,37641.65,1964,8,1
773374,59,32851.66,1951,8,1
773800,579,27636.44,1880,9,6
773880,1464,21884.96,1734,9,6
773865,897,30001.5,1653,9,6
773803,1385,27731.47,1582,9,6
773365,581,31619.01,1343,9,6
773782,238,20150.67,1271,9,6
773785,238,27184.37,1246,9,6
773377,676,13883.86,993,9,6
773378,467,14948.63,973,9,6
773343,1306,20798.56,862,9,6
773589,1287,12013.31,828,9,6
773375,1381,14667.0,821,9,6
773388,838,15850.47,754,9,6
773385,1524,16040.58,665,9,6
773467,214,10200.72,571,9,6
773394,285,9215.68,539,9,6
773439,168,9954.35,511,9,6
773788,729,11491.92,469,9,6
773479,124,12396.08,450,9,6
773783,238,10319.34,447,9,6
773434,1271,9725.64,411,9,6
773471,1369,9614.72,409,9,6
773445,974,5416.91,404,9,6
773389,110,6904.02,403,9,6
773391,337,8213.06,400,9,6
773834,710,5693.49,397,10,3
773474,565,5596.73,385,10,3
773392,40,7055.45,382,10,3
773462,1547,8350.83,381,10,3
773846,40,6321.46,367,10,3
773548,329,6065.45,329,10,3
773443,139,5080.6,296,10,3
773544,615,5207.89,261,10,3
773542,1639,4474.56,225,10,3
773446,172,2860.34,224,10,3
773364,40,4432.97,213,10,3
773411,1202,3093.48,204,10,3
773473,1112,3529.86,204,10,3
773482,21,3378.25,201,10,3
773461,678,3945.71,200,10,3
773399,615,4999.55,194,10,3
773453,416,5557.11,190,10,3
773437,234,3125.39,177,10,3
773402,957,4736.73,177,10,3
773352,1306,2655.3,175,10,3
773390,1192,4551.05,169,10,3
773466,520,2581.82,165,10,3
773348,1306,5643.86,164,10,3
773454,37,3872.45,162,10,3
773450,183,2925.06,159,10,3
773468,1563,6220.79,158,10,3
773347,1306,4383.24,153,10,3
773486,139,3231.87,148,10,3
773591,1287,1969.74,146,10,3
773431,729,2198.18,141,10,3
773398,178,3776.88,135,10,3
773449,1187,4189.39,135,10,3
773480,1380,3697.61,130,10,3
773376,337,3516.08,130,10,3
773460,191,2062.17,122,10,3
773444,1262,2832.0,122,10,3
773349,1306,5483.09,122,10,3
773427,276,3399.6,120,10,3
773363,1192,2268.95,120,10,3
773357,1306,4365.88,120,10,3
773457,468,3490.99,117,10,3
773344,1306,5054.4,116,10,3
773342,1306,2988.34,113,10,3
773451,481,3789.02,110,10,3
773590,1287,1339.47,110,10,3
773485,744,1827.07,109,10,3
773367,676,2802.91,106,10,3
773313,1515,3386.6,105,10,3
773448,728,2417.2,104,10,3
773371,285,2827.15,103,10,3
773456,282,2540.34,102,10,3
773413,199,2519.51,101,10,3
773384,1192,3499.78,96,10,3
773382,1524,2321.3,90,10,3
773531,1628,1579.45,89,10,3
773366,337,1788.09,89,10,3
773472,529,2070.14,89,10,3
773476,1354,1416.7,89,10,3
773452,729,1472.22,88,10,3
773543,615,1608.67,86,10,3
773370,337,2525.2,83,10,3
773314,1513,1498.37,82,10,3
773418,179,5268.44,80,10,3
773383,1303,2371.55,80,10,3
773407,615,1716.48,77,10,3
773435,684,1697.91,77,10,3
773405,957,1821.0,75,10,3
773547,329,2254.16,73,10,3
773500,653,1290.58,73,10,3
773489,51,2116.49,72,10,3
773512,514,2838.59,72,10,3
773515,1274,2763.46,72,10,3
773312,1515,2176.22,72,10,3
773436,1229,2012.56,70,10,3
773516,1479,2107.66,70,10,3
773368,1524,1887.27,70,10,3
773545,957,1788.8,69,10,3
773432,122,1440.52,69,10,3
773422,1229,2744.24,69,10,3
773412,728,1697.93,68,10,3
773381,1192,2298.3,68,10,3
773492,530,1685.34,68,10,3
773417,172,2035.35,67,10,3
773360,1306,3115.59,67,10,3
773429,21,1700.31,66,10,3
773490,66,1654.88,65,10,3
