,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,91,21968,2017-09-01,6,12,4977.093774193548
1,2,4,12772,2017-09-02,5,8,5704.240664516129
2,3,31,22546,2017-09-02,2,3,3960.572043010752
3,4,10,22792,2017-09-02,8,14,4985.6963743010765
4,5,68,22228,2017-09-05,8,14,28116.881731397854
5,6,138,12645,2017-09-06,7,13,20605.277268172034
6,7,29,21651,2017-09-06,6,12,2333.267516129033
7,8,9,23216,2017-09-06,2,3,3177.34623655914
8,9,138,30097,2017-09-12,4,6,27627.04301075281
9,10,12,30504,2017-09-12,4,6,5996.98064516129
10,11,112,12883,2017-09-13,1,2,9297.827956989247
11,12,19,12735,2017-09-13,5,8,3341.248169892473
12,13,73,22770,2017-09-14,2,3,7874.27526881723
13,14,17,12686,2017-09-14,1,2,2912.3440860215055
14,15,22,12700,2017-09-15,1,2,5228.258064516127
15,16,15,21886,2017-09-15,6,11,5163.711759139784
16,17,46,29921,2017-09-16,4,6,12194.278494623673
17,18,64,12948,2017-09-18,5,9,6266.928451612901
18,19,26,12617,2017-09-19,1,2,6082.7526881720405
19,20,47,21656,2017-09-19,8,14,10370.317972688166
20,21,18,13414,2017-09-19,5,8,3432.012619354839
21,22,16,22571,2017-09-19,6,11,5449.994144086021
22,23,10,24512,2017-09-19,2,3,3362.0043010752693
23,24,46,24412,2017-09-20,3,4,8348.336559139781
24,25,29,22288,2017-09-20,8,14,7774.125778172044
25,26,11,24904,2017-09-20,2,3,3428.07311827957
26,27,87,23549,2017-09-21,2,3,8883.724731182818
27,28,4,13534,2017-09-22,7,13,5789.3011302150535
28,29,60,22091,2017-09-22,6,12,3629.445096774194
29,30,18,12632,2017-09-23,5,8,6097.480516129033
30,31,48,22657,2017-09-23,2,3,4206.410752688172
31,32,28,22551,2017-09-26,2,3,9843.522580645176
32,33,11,12661,2017-09-26,1,2,2746.2150537634407
33,34,10,13953,2017-09-26,1,2,2969.397849462366
34,35,6,13906,2017-09-26,1,1,1971.909677419355
35,36,92,24870,2017-09-27,3,4,10050.546236559145
36,37,16,30903,2017-09-27,4,6,6178.730107526881
37,38,20,12689,2017-09-28,7,13,6736.50957688172
38,39,25,21717,2017-09-28,6,11,5537.2371956989255
39,40,63,22120,2017-09-28,8,14,12797.671066451614
40,41,28,29744,2017-09-28,4,6,6285.711827956989
41,42,11,22271,2017-09-28,8,14,5154.2384027957
42,43,50,22515,2017-09-29,2,3,7690.184946236571
43,44,17,12709,2017-09-29,5,8,3141.604159139786
44,45,3,12669,2017-09-30,1,2,5541.182795698924
45,46,32,22707,2017-09-30,2,3,4255.784946236559
46,47,28,25846,2017-09-30,3,4,5510.712903225806
47,48,84,22490,2017-10-02,6,12,4977.957096774194
48,49,12,22334,2017-10-02,6,11,5360.166049462366
49,50,65,12733,2017-10-03,1,2,4714.602150537632
50,51,24,30990,2017-10-03,4,6,6409.967741935484
51,52,44,13059,2017-10-04,5,9,7702.037189247311
52,53,21,22753,2017-10-04,6,11,5527.310296774194
53,54,94,22289,2017-10-05,8,14,18366.089656344084
54,55,66,21973,2017-10-06,6,12,5192.658516129034
55,56,30,23739,2017-10-06,2,3,3511.7225806451615
56,57,11,23758,2017-10-06,8,14,5426.619308279571
57,58,4,23791,2017-10-06,8,14,4295.097759139786
58,59,67,23284,2017-10-07,2,3,4923.610752688176
59,60,9,12772,2017-10-09,1,2,5387.075268817203
60,61,24,12779,2017-10-09,1,2,3024.9677419354844
61,62,57,12696,2017-10-10,7,13,11406.432939462367
62,63,24,22581,2017-10-10,6,12,2169.9963870967745
63,64,7,12886,2017-10-10,5,8,3119.4802408602154
64,65,64,12653,2017-10-11,7,13,13229.825998494622
65,66,21,22003,2017-10-11,6,11,5479.036270967743
66,67,43,12697,2017-10-13,1,2,6526.451612903221
67,68,26,12875,2017-10-13,1,2,2887.118279569893
68,69,40,22832,2017-10-13,2,3,3520.8279569892466
69,70,17,23297,2017-10-13,8,14,6274.4001597849465
70,71,12,24427,2017-10-14,3,4,9201.693548387098
71,72,115,24322,2017-10-16,3,4,8651.590322580645
72,73,14,23748,2017-10-16,8,14,5833.213947204302
73,74,96,21761,2017-10-17,8,14,16942.389290215062
74,75,11,13205,2017-10-17,1,2,2851.505376344086
75,76,10,23120,2017-10-17,2,3,3179.3978494623657
76,77,82,22528,2017-10-18,2,3,6341.156989247317
77,78,17,26490,2017-10-18,3,4,5384.698924731182
78,79,2,13556,2017-10-19,5,7,4407.131206451613
79,80,82,22335,2017-10-19,8,14,15453.380537849464
80,81,14,22616,2017-10-19,2,3,3171.8623655913984
81,82,54,21808,2017-10-20,8,14,15133.600828172044
82,83,32,13018,2017-10-20,5,9,4898.753690322581
83,84,15,13716,2017-10-20,7,13,4425.964286989248
84,85,7,13776,2017-10-21,1,2,5500.129032258064
85,86,128,24809,2017-10-23,3,4,13386.904301075308
86,87,18,13496,2017-10-23,5,8,3461.567604301076
87,88,19,22362,2017-10-23,8,14,6335.592426129032
88,89,58,25567,2017-10-24,3,4,9685.002150537635
89,90,6,13108,2017-10-25,7,13,6076.460318064516
90,91,38,24405,2017-10-25,3,4,6110.859139784942
91,92,8,12787,2017-10-25,5,8,2775.1287225806454
92,93,48,24447,2017-10-25,3,4,5639.753763440858
93,94,11,13728,2017-10-25,7,13,3808.815329354839
94,95,41,21675,2017-10-26,6,12,4175.296817204302
95,96,3,23487,2017-10-26,2,3,3125.0258064516133
96,97,46,13142,2017-10-26,7,13,8802.00057827957
97,98,16,13237,2017-10-26,1,2,2992.107526881721
98,99,15,25400,2017-10-26,3,4,5128.1720430107525
99,100,20,13301,2017-10-27,7,13,7129.201692258067
100,101,8,12630,2017-10-27,1,2,2779.8279569892466
101,102,46,12703,2017-10-27,7,13,8962.749579462365
102,103,42,22124,2017-10-27,8,14,9669.589368494626
103,104,12,12991,2017-10-27,1,2,2836.967741935484
104,105,58,24485,2017-10-28,3,4,9612.345161290335
