pedidoNF, pedidoDestino, pedidoValor, pedidoPeso, veiculoRomaneio, veiculoTipo
772550,1638,84414.2,12472,1,6
772547,1638,36616.69,4880,1,6
772553,110,61153.34,4078,1,6
772563,710,41296.19,2409,1,6
772555,8,63460.75,4071,2,4
772862,183,32745.13,3662,2,4
772551,1305,60318.45,3583,2,4
772549,1638,23562.92,3361,2,4
772552,110,55345.86,3038,2,4
772559,932,49254.58,2790,2,4
772564,21,21243.3,2393,2,4
772635,808,36578.03,2140,2,4
772645,957,33225.67,2032,2,4
772548,1638,11700.52,1431,2,4
772592,1558,25557.67,1419,2,4
772590,1237,10433.4,1399,3,7
772569,282,22746.73,1343,3,7
772589,1380,12773.68,975,3,7
772560,8,15379.1,923,3,7
772575,684,13717.4,851,3,7
771996,745,5416.8,806,3,7
772570,1306,10101.74,773,3,7
772648,615,12130.73,748,3,7
772577,498,7314.51,746,3,7
772556,808,10967.76,731,3,7
772598,419,15032.04,708,3,7
772562,932,9301.41,627,3,7
771995,745,10326.52,622,3,7
772578,37,9311.72,605,3,7
772554,1305,10550.62,581,3,7
772591,676,11874.04,533,3,7
772199,745,3859.2,505,4,8
772581,1303,7926.18,500,4,8
772647,178,7491.86,480,4,8
772576,1485,13507.26,470,4,8
772583,1306,8476.13,420,4,8
772571,312,10836.37,377,4,8
772602,728,7217.67,355,4,8
772580,129,6811.28,330,4,8
772617,234,4023.4,314,4,8
771994,745,2144.0,281,4,8
772632,897,2728.49,273,4,8
772568,312,6436.15,258,4,8
772644,932,2601.78,257,4,8
772587,164,3873.6,254,4,8
772616,870,3027.91,244,4,8
772582,1306,2110.92,234,4,8
772574,1306,3187.6,226,4,8
772599,686,3123.62,211,4,8
772633,897,2490.34,188,4,8
772624,891,3857.4,180,4,8
772605,89,2814.38,164,4,8
772615,82,2441.89,156,4,8
772634,897,1452.6,155,4,8
772584,129,2253.64,142,4,8
772561,8,1524.65,134,4,8
772579,129,1510.44,132,4,8
772612,154,2707.48,127,4,8
772607,1152,1247.4,113,4,8
772557,808,1660.55,112,4,8
772613,1634,2288.34,90,4,8
772646,1637,2155.55,86,4,8
772606,183,2237.19,85,4,8
772608,307,1249.83,84,4,8
772603,1465,2208.83,74,4,8
772601,227,1372.53,73,4,8
772626,932,1192.06,65,4,8
772572,164,1246.0,61,4,8
772567,957,1518.83,59,4,8
772623,419,1801.95,57,4,8
772565,957,1415.83,53,4,8
772614,213,1254.3,50,4,8
772594,615,1253.81,50,4,8
772620,470,2032.88,49,4,8
772861,183,3158.71,46,4,8
772675,1628,272.58,29,4,8
772676,1628,160.0,20,4,8
768925,1506,3398.4,18,4,8
768926,1506,3398.4,18,4,8
768927,1506,3398.4,18,4,8
768928,1506,3398.4,18,4,8
768929,1506,3398.4,18,4,8
768930,1506,3398.4,18,4,8
768931,1506,3398.4,18,4,8
768932,1506,3398.4,18,4,8
768934,1506,3398.4,18,4,8
768960,1506,2124.0,11,4,8
768967,1506,2124.0,11,4,8
768969,1506,2124.0,11,4,8
768970,1506,2124.0,11,4,8
768976,1506,2124.0,11,4,8
768977,1506,2124.0,11,4,8
768978,1506,2124.0,11,4,8
768979,1506,2124.0,11,4,8
768980,1506,2124.0,11,4,8
768981,1506,2124.0,11,4,8
768982,1506,2124.0,11,4,8
768983,1506,2124.0,11,4,8
768984,1506,2124.0,11,4,8
768985,1506,2124.0,11,4,8
768986,1506,2124.0,11,4,8
768987,1506,2124.0,11,4,8
768989,1506,1699.2,9,4,8
768991,1506,1699.2,9,4,8
768992,1506,1699.2,9,4,8
768993,1506,1699.2,9,4,8
772971,708,197917.73,11466,4,8
772972,708,68652.4,3537,4,8
772877,529,38828.24,1974,4,8
772871,729,15410.52,1611,4,8
772658,1506,28059.46,1589,4,8
772872,1492,18621.58,1157,4,8
772881,129,14835.48,1082,4,8
772879,767,17862.65,900,5,4
772880,305,10511.03,693,5,4
772886,1237,19462.2,670,5,4
772883,137,12212.01,644,5,4
772870,1262,11441.01,622,5,4
772888,767,7921.17,483,5,4
772604,168,6826.73,401,5,4
772610,453,8020.33,385,5,4
772609,1385,10092.28,381,5,4
772918,1510,6798.53,371,5,4
772618,1148,6442.92,370,5,4
772625,673,8419.83,368,5,4
772876,129,8467.35,350,5,4
772621,7,9728.51,339,5,4
772949,1620,6014.99,255,5,4
772961,305,2108.61,222,5,4
772611,1139,5020.16,184,5,4
772622,227,5708.49,171,5,4
772955,1354,1454.78,147,5,4
772600,154,4126.53,139,5,4
772929,1381,3412.29,122,5,4
772941,1536,2724.94,118,5,4
772619,1152,3748.21,116,5,4
772973,708,5593.16,93,5,4
772960,478,1511.11,81,5,4
772974,708,1847.98,52,5,4
772882,129,1236.76,45,5,4
772950,36,269.12,28,5,4
772660,1506,159.83,6,5,4
772659,1506,424.17,3,5,4
772661,1506,99.57,3,5,4
773336,1237,70265.92,4070,5,4
772975,584,29036.58,1791,5,4
772988,98,15878.43,1045,5,4
773003,615,19029.98,1039,5,4
772885,325,19625.21,1034,5,4
772992,617,8330.3,750,5,4
773535,897,11433.06,730,5,4
773001,615,10345.2,590,5,4
773536,1237,5784.34,535,5,4
772920,808,11592.72,502,5,4
772999,1429,10556.39,386,5,4
772978,584,7212.85,372,5,4
773369,337,5193.07,332,5,4
773002,615,7856.71,300,5,4
772892,1192,6260.7,260,5,4
772991,617,2821.13,244,5,4
772983,886,2676.43,234,5,4
772866,148,6226.46,213,5,4
772671,1628,848.69,198,5,4
772985,98,3935.77,198,5,4
772944,615,4635.0,190,5,4
773386,1381,3765.79,187,5,4
772894,397,2596.06,182,5,4
772922,382,5932.54,173,5,4
772897,264,1666.83,136,5,4
772891,1192,1612.13,131,5,4
772933,1210,2037.15,127,5,4
772927,891,2416.55,113,5,4
772889,1625,2070.19,106,5,4
772957,1247,1584.21,102,5,4
772998,432,2972.02,101,5,4
772943,710,2720.99,101,5,4
772919,432,2446.33,95,5,4
772924,851,2614.31,92,5,4
773005,615,3004.63,90,5,4
772896,21,1229.08,89,5,4
772899,753,3313.79,87,5,4
772928,8,2329.94,85,5,4
772979,584,1225.96,85,5,4
772946,487,2141.39,83,5,4
773000,1313,5446.75,78,5,4
772937,615,1354.63,77,5,4
772959,593,1645.47,76,5,4
772947,328,2385.88,74,5,4
772907,1210,2321.1,73,5,4
772875,40,2254.24,71,5,4
772909,1306,2837.61,71,5,4
772932,530,2948.42,70,5,4
772953,1306,1772.45,68,5,4
772976,584,1470.63,66,5,4
772990,617,1398.23,63,5,4
772893,1210,2898.1,57,5,4
772981,584,1230.33,56,5,4
772863,584,1332.55,53,5,4
772855,1491,2162.82,51,5,4
772940,8,2414.73,49,5,4
772930,530,1288.99,48,5,4
